Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,150,150,71.65,63.17,19.24,19.41,1.57,1.58,0.96,0.0***,Small (0.44)
q_sys_freqUse,150,150,3.66,3.54,1.09,1.17,0.09,0.1,0.21,0.359,Very Small (0.11)
q_sys_complex,150,150,2.21,2.75,1.27,1.29,0.1,0.11,0.37,0.0***,Small (-0.42)
q_sys_easeUse,150,150,4.14,3.89,0.98,0.95,0.08,0.08,0.99,0.024*,Small (0.26)
q_sys_techNeed,150,150,1.91,2.33,1.36,1.43,0.11,0.12,0.03****,0.011*,Small (-0.3)
q_sys_funcInteg,150,150,3.73,3.55,0.94,1.05,0.08,0.09,0.05,0.119,Very Small (0.18)
q_sys_inconsist,150,150,2.49,2.9,1.31,1.35,0.11,0.11,0.79,0.007**,Small (-0.31)
q_sys_learnUse,150,150,4.1,3.77,0.99,0.95,0.08,0.08,0.98,0.004**,Small (0.34)
q_sys_cumbUse,150,150,2.25,2.86,1.33,1.32,0.11,0.11,0.74,0.0***,Small (-0.46)
q_sys_confUse,150,150,3.97,3.86,1,1.04,0.08,0.08,0.11,0.365,Very Small (0.1)
q_sys_learnToUse,150,150,2.09,2.51,1.33,1.34,0.11,0.11,0.28,0.006**,Small (-0.32)
c_moveDistanceAavg,150,150,0,5.78,0,6.84,0,0.56,0.0****,0.0***,Large (-1.2)
c_moveDistanceCavg,150,150,0,4.05,0,5.38,0,0.44,0.0****,0.0***,Large (-1.07)
c_moveDistanceDavg,150,150,0,1.73,0,4.06,0,0.33,0.0****,0.0***,Medium (-0.6)
c_clickCountAvg,150,150,0,4.05,0,5.38,0,0.44,0.0****,0.0***,Large (-1.07)
c_dragCountAvg,150,150,0,0.6,0,1.4,0,0.11,0.0****,0.0***,Medium (-0.61)
c_movieInListPosAvg,150,150,1.87,1.58,0.78,0.79,0.06,0.06,0.7,0.002**,Small (0.36)
c_moviePosAvg,150,150,2.03,1.51,1.61,2.06,0.13,0.17,0.17,0.017*,Small (0.28)
c_preferecControl,150,150,0,1.17,0,0.91,0,0.07,0.0****,0.0***,Huge (-1.82)
q_outc_satisfactionScore1,150,150,4.08,3.87,1.04,1.04,0.08,0.09,0.81,0.087,Very Small (0.2)
q_outc_satisfactionScore2,150,150,3.95,3.93,1.01,1.07,0.08,0.09,0.38,0.868,Very Small (0.02)
q_outc_satisfactionScore3,150,150,3.88,3.96,1.12,1.09,0.09,0.09,0.59,0.531,Very Small (-0.07)
q_outc_satisfactionScore4,150,150,3.83,3.91,1.1,1.08,0.09,0.09,0.59,0.56,Very Small (-0.07)
q_outc_satisfactionScore5,150,150,4.06,3.95,1.02,1.01,0.08,0.08,0.95,0.362,Very Small (0.11)
c_outc_listSatAvg,150,150,3.96,3.93,0.77,0.79,0.06,0.06,0.43,0.689,Very Small (0.05)
q_outc_diversity,150,150,3.9,3.69,0.92,0.88,0.07,0.07,0.72,0.048*,Small (0.23)
q_outc_novelty,150,150,3.89,3.74,1.05,1.04,0.09,0.08,0.4,0.224,Very Small (0.14)
q_outc_serendipity,150,150,3.75,3.54,1.01,1.02,0.08,0.08,0.43,0.079,Small (0.2)
q_outc_relevance,150,150,3.43,3.41,1.18,1.17,0.1,0.1,0.85,0.845,Very Small (0.02)
q_proc_searchSim,150,150,2.4,2.86,1.31,1.34,0.11,0.11,0.6,0.003**,Small (-0.35)
q_proc_decidDiff,150,150,2.75,2.99,1.32,1.32,0.11,0.11,0.65,0.116,Very Small (-0.18)
q_proc_recImprove,150,150,3.32,3.41,1.13,1.05,0.09,0.09,0.22,0.492,Very Small (-0.08)
q_proc_control,150,150,3.44,3.33,1.22,1.09,0.1,0.09,0.09,0.425,Very Small (0.09)
q_proc_sorting,150,150,3.52,3.55,1.12,1.1,0.09,0.09,0.92,0.794,Very Small (-0.03)
c_ageGroup,150,150,2.81,2.78,1.01,1.02,0.08,0.08,0.57,0.82,Very Small (0.03)
q_dem_onlineUsage,150,150,1.65,1.7,0.66,0.69,0.05,0.06,0.98,0.494,Very Small (-0.08)
c_dem_genderCat,150,150,1.55,1.56,0.51,0.52,0.04,0.04,0.7,0.824,Very Small (-0.03)
q_dem_movieUsage,150,150,3.17,3.01,1.91,1.74,0.16,0.14,0.09,0.449,Very Small (0.09)
c_All_IndexAvg,150,150,23.69,24.37,13.12,13.67,1.07,1.12,0.39,0.661,Very Small (-0.05)
c_Title_IndexAvg,150,150,24.66,26.43,12.48,12.23,1.02,1,0.95,0.215,Very Small (-0.14)
c_Image_IndexAvg,150,150,25.99,28.37,13.12,12.87,1.07,1.05,0.64,0.115,Very Small (-0.18)
c_Plot_IndexAvg,150,150,24.59,24.53,12.48,12.17,1.02,0.99,0.52,0.966,None (0.0)
c_Genre_IndexAvg,150,150,25.97,22.36,13.34,12.28,1.09,1,0.18,0.015*,Small (0.28)
c_Stars_IndexAvg,150,150,26.13,24.39,13.04,12.1,1.06,0.99,0.16,0.232,Very Small (0.14)
c_Director_IndexAvg,150,150,24.72,22.43,12.98,13.02,1.06,1.06,0.69,0.128,Very Small (0.18)
c_Date_IndexAvg,150,150,26.07,29.1,13.38,11.9,1.09,0.97,0.1,0.039*,Small (-0.24)
c_Tag_IndexAvg,150,150,25.13,19.33,14.36,13.36,1.17,1.09,0.37,0.0***,Small (0.42)
c_SVD_IndexAvg,150,150,25.57,22.35,13.14,13.88,1.07,1.13,0.41,0.04*,Small (0.24)
c_Baseline_IndexAvg,150,150,22.47,31.34,13.04,11.55,1.06,0.94,0.1,0.0***,Medium (-0.72)
c_All_Picked,150,150,0.51,0.49,0.95,0.86,0.08,0.07,0.42,0.849,Very Small (0.02)
c_Title_Picked,150,150,0.36,0.27,0.88,0.78,0.07,0.06,0.09,0.365,Very Small (0.1)
c_Image_Picked,150,150,0.33,0.23,0.71,0.63,0.06,0.05,0.03****,0.169,Very Small (0.16)
c_Plot_Picked,150,150,0.4,0.44,0.79,0.73,0.06,0.06,0.99,0.648,Very Small (-0.05)
c_Genre_Picked,150,150,0.35,0.44,0.75,0.85,0.06,0.07,0.19,0.313,Very Small (-0.12)
c_Stars_Picked,150,150,0.29,0.4,0.61,0.89,0.05,0.07,0.01****,0.198,Very Small (-0.15)
c_Director_Picked,150,150,0.65,0.63,1.04,1.05,0.08,0.09,1,0.869,Very Small (0.02)
c_Date_Picked,150,150,0.29,0.25,0.65,0.69,0.05,0.06,0.64,0.607,Very Small (0.06)
c_Tag_Picked,150,150,0.87,0.99,1.2,1.29,0.1,0.11,0.21,0.405,Very Small (-0.1)
c_SVD_Picked,150,150,0.65,0.75,1.14,1.12,0.09,0.09,0.95,0.475,Very Small (-0.08)
c_Baseline_Picked,150,150,0.31,0.13,0.68,0.42,0.06,0.03,0.0****,0.004**,Small (0.33)
