Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,50,50,73,62,16.51,19.21,2.34,2.72,0.2,0.003**,Medium (0.61)
q_sys_freqUse,50,50,3.78,3.18,1.09,1.14,0.15,0.16,0.46,0.008**,Medium (0.54)
q_sys_complex,50,50,2.26,2.74,1.26,1.35,0.18,0.19,0.24,0.069,Small (-0.37)
q_sys_easeUse,50,50,4.24,3.86,0.85,0.99,0.12,0.14,0.16,0.042*,Small (0.41)
q_sys_techNeed,50,50,1.94,2.16,1.36,1.28,0.19,0.18,0.84,0.408,Very Small (-0.17)
q_sys_funcInteg,50,50,3.82,3.54,0.77,1.01,0.11,0.14,0.01****,0.124,Small (0.31)
q_sys_inconsist,50,50,2.32,2.98,1.24,1.36,0.17,0.19,0.63,0.013*,Medium (-0.51)
q_sys_learnUse,50,50,4.2,3.78,0.83,0.91,0.12,0.13,0.18,0.018*,Small (0.48)
q_sys_cumbUse,50,50,2.3,3,1.31,1.41,0.19,0.2,0.5,0.012*,Medium (-0.51)
q_sys_confUse,50,50,4.1,3.84,0.76,1.09,0.11,0.15,0.01****,0.171,Small (0.28)
q_sys_learnToUse,50,50,2.12,2.52,1.27,1.34,0.18,0.19,0.41,0.13,Small (-0.31)
c_moveDistanceAavg,50,50,0,7.63,0,8.23,0,1.16,0.0****,0.0***,Very Large (-1.31)
c_moveDistanceCavg,50,50,0,4.84,0,5.85,0,0.83,0.0****,0.0***,Large (-1.17)
c_moveDistanceDavg,50,50,0,2.8,0,5.45,0,0.77,0.0****,0.001***,Medium (-0.73)
c_clickCountAvg,50,50,0,4.84,0,5.85,0,0.83,0.0****,0.0***,Large (-1.17)
c_dragCountAvg,50,50,0,0.95,0,1.83,0,0.26,0.0****,0.0***,Medium (-0.73)
c_movieInListPosAvg,50,50,1.82,1.54,0.78,0.77,0.11,0.11,0.97,0.079,Small (0.35)
c_moviePosAvg,50,50,2.31,1.64,1.74,2.29,0.25,0.32,0.2,0.102,Small (0.33)
c_preferecControl,50,50,0,1.2,0,0.88,0,0.12,0.0****,0.0***,Huge (-1.93)
q_outc_satisfactionScore1,50,50,4.22,3.7,0.93,1.09,0.13,0.15,0.13,0.012*,Medium (0.51)
q_outc_satisfactionScore2,50,50,4.04,3.74,1.03,1.12,0.15,0.16,0.31,0.167,Small (0.28)
q_outc_satisfactionScore3,50,50,3.8,3.76,1.23,1.22,0.17,0.17,0.91,0.871,Very Small (0.03)
q_outc_satisfactionScore4,50,50,3.92,3.76,0.92,1.12,0.13,0.16,0.25,0.437,Very Small (0.16)
q_outc_satisfactionScore5,50,50,4.1,3.76,1.11,1.08,0.16,0.15,0.79,0.124,Small (0.31)
c_outc_listSatAvg,50,50,4.02,3.74,0.8,0.85,0.11,0.12,0.54,0.103,Small (0.33)
q_outc_diversity,50,50,3.98,3.76,0.94,0.77,0.13,0.11,0.47,0.203,Small (0.26)
q_outc_novelty,50,50,3.98,3.76,0.91,1.04,0.13,0.15,0.11,0.264,Small (0.22)
q_outc_serendipity,50,50,3.9,3.4,1.05,0.99,0.15,0.14,0.49,0.016*,Small (0.49)
q_outc_relevance,50,50,3.48,3.2,1.18,1.05,0.17,0.15,0.25,0.213,Small (0.25)
q_proc_searchSim,50,50,2.3,2.86,1.28,1.34,0.18,0.19,0.34,0.035*,Small (-0.43)
q_proc_decidDiff,50,50,2.64,3.08,1.35,1.19,0.19,0.17,0.09,0.087,Small (-0.35)
q_proc_recImprove,50,50,3.52,3.34,1.11,0.96,0.16,0.14,0.45,0.388,Very Small (0.17)
q_proc_control,50,50,3.7,3.28,1.05,1.14,0.15,0.16,0.67,0.059,Small (0.38)
q_proc_sorting,50,50,3.84,3.58,0.96,1.01,0.14,0.14,0.23,0.19,Small (0.26)
c_ageGroup,50,50,2.78,2.78,1.06,0.95,0.15,0.13,0.67,1,None (0.0)
q_dem_onlineUsage,50,50,1.66,1.72,0.52,0.78,0.07,0.11,0.09,0.653,Very Small (-0.09)
c_dem_genderCat,50,50,1.68,1.54,0.47,0.58,0.07,0.08,0.0****,0.188,Small (0.27)
q_dem_movieUsage,50,50,2.98,3.1,1.9,1.8,0.27,0.25,0.93,0.746,Very Small (-0.06)
c_All_IndexAvg,50,50,24.12,24.88,6.19,8.32,0.88,1.18,0.06,0.606,Very Small (-0.1)
c_Title_IndexAvg,50,50,26.12,29.04,6.1,6.82,0.86,0.96,0.41,0.026*,Small (-0.45)
c_Image_IndexAvg,50,50,25.92,27.74,7.75,8.76,1.1,1.24,0.4,0.274,Small (-0.22)
c_Plot_IndexAvg,50,50,23.34,24.26,7.21,7.95,1.02,1.12,0.47,0.546,Very Small (-0.12)
