1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
1,c_sys_SUS,50,50,72.1,66.3,21.81,19.74,3.08,2.79,0.33,0.166,Small (0.28)
1,q_sys_freqUse,50,50,3.64,3.78,1.17,1.06,0.17,0.15,0.3,0.532,Very Small (-0.13)
1,q_sys_complex,50,50,2.18,2.56,1.32,1.23,0.19,0.17,0.71,0.14,Small (-0.3)
1,q_sys_easeUse,50,50,4.2,4,1.03,0.86,0.15,0.12,0.03****,0.294,Small (0.21)
1,q_sys_techNeed,50,50,1.98,2.38,1.42,1.51,0.2,0.21,0.17,0.176,Small (-0.27)
1,q_sys_funcInteg,50,50,3.78,3.66,1.13,1.04,0.16,0.15,0.74,0.582,Very Small (0.11)
1,q_sys_inconsist,50,50,2.48,2.74,1.33,1.32,0.19,0.19,0.86,0.329,Very Small (-0.2)
1,q_sys_learnUse,50,50,4.08,3.94,1.05,0.98,0.15,0.14,0.52,0.491,Very Small (0.14)
1,q_sys_cumbUse,50,50,2.26,2.7,1.43,1.31,0.2,0.19,0.33,0.112,Small (-0.32)
1,q_sys_confUse,50,50,4.06,4.02,1.13,0.91,0.16,0.13,0.39,0.846,Very Small (0.04)
1,q_sys_learnToUse,50,50,2.02,2.5,1.35,1.43,0.19,0.2,0.15,0.087,Small (-0.35)
1,c_moveDistanceAavg,50,50,0,4.62,0,5.96,0,0.84,0.0****,0.0***,Large (-1.1)
1,c_moveDistanceCavg,50,50,0,3.39,0,5.06,0,0.72,0.0****,0.0***,Large (-0.95)
1,c_moveDistanceDavg,50,50,0,1.24,0,2.98,0,0.42,0.0****,0.004**,Medium (-0.59)
1,c_clickCountAvg,50,50,0,3.39,0,5.06,0,0.72,0.0****,0.0***,Large (-0.95)
1,c_dragCountAvg,50,50,0,0.36,0,0.92,0,0.13,0.0****,0.007**,Medium (-0.55)
1,c_movieInListPosAvg,50,50,1.86,1.63,0.86,0.84,0.12,0.12,0.82,0.167,Small (0.28)
1,c_moviePosAvg,50,50,1.88,1.62,1.52,2.06,0.22,0.29,0.33,0.482,Very Small (0.14)
1,c_preferecControl,50,50,0,1.04,0,0.95,0,0.13,0.0****,0.0***,Huge (-1.55)
1,q_outc_satisfactionScore1,50,50,4.08,3.86,1.01,1.14,0.14,0.16,0.62,0.31,Small (0.2)
1,q_outc_satisfactionScore2,50,50,4,3.96,1.05,1.07,0.15,0.15,0.34,0.851,Very Small (0.04)
1,q_outc_satisfactionScore3,50,50,3.9,3.92,1.02,1.05,0.14,0.15,0.54,0.923,Very Small (-0.02)
1,q_outc_satisfactionScore4,50,50,3.68,4.06,1.22,0.98,0.17,0.14,0.01****,0.089,Small (-0.34)
1,q_outc_satisfactionScore5,50,50,4.08,3.96,0.83,0.9,0.12,0.13,0.35,0.49,Very Small (0.14)
1,c_outc_listSatAvg,50,50,3.95,3.95,0.73,0.77,0.1,0.11,0.42,0.979,None (-0.01)
1,q_outc_diversity,50,50,3.94,3.82,0.89,0.87,0.13,0.12,0.85,0.498,Very Small (0.14)
1,q_outc_novelty,50,50,3.88,3.72,1.12,0.97,0.16,0.14,0.52,0.447,Very Small (0.15)
1,q_outc_serendipity,50,50,3.68,3.64,0.98,1.06,0.14,0.15,0.52,0.845,Very Small (0.04)
1,q_outc_relevance,50,50,3.54,3.6,1.16,1.21,0.16,0.17,0.69,0.801,Very Small (-0.05)
1,q_proc_searchSim,50,50,2.32,2.78,1.35,1.37,0.19,0.19,0.89,0.094,Small (-0.34)
1,q_proc_decidDiff,50,50,2.8,3,1.31,1.47,0.19,0.21,0.13,0.474,Very Small (-0.14)
1,q_proc_recImprove,50,50,3.16,3.58,1.02,0.99,0.14,0.14,0.92,0.039*,Small (-0.42)
1,q_proc_control,50,50,3.4,3.5,1.18,1.16,0.17,0.16,0.97,0.67,Very Small (-0.09)
1,q_proc_sorting,50,50,3.4,3.48,1.2,1.22,0.17,0.17,0.67,0.741,Very Small (-0.07)
1,c_ageGroup,50,50,2.66,2.74,0.92,1.03,0.13,0.15,0.27,0.682,Very Small (-0.08)
1,q_dem_onlineUsage,50,50,1.74,1.58,0.83,0.54,0.12,0.08,0.16,0.255,Small (0.23)
