Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,135,127,73.72,65.39,18.74,19.87,1.61,1.76,0.31,0.001***,Small (0.43)
q_sys_freqUse,135,127,3.64,3.5,1.13,1.21,0.1,0.11,0.24,0.305,Very Small (0.13)
q_sys_complex,135,127,2.1,2.59,1.22,1.27,0.11,0.11,0.05****,0.002**,Small (-0.4)
q_sys_easeUse,135,127,4.18,3.89,0.99,0.98,0.09,0.09,0.73,0.019*,Small (0.29)
q_sys_techNeed,135,127,1.71,2.06,1.24,1.32,0.11,0.12,0.06,0.031*,Small (-0.27)
q_sys_funcInteg,135,127,3.72,3.54,0.95,1.07,0.08,0.1,0.04****,0.163,Very Small (0.17)
q_sys_inconsist,135,127,2.39,2.73,1.3,1.34,0.11,0.12,0.47,0.039*,Small (-0.26)
q_sys_learnUse,135,127,4.18,3.79,0.97,0.95,0.08,0.08,0.91,0.001**,Small (0.41)
q_sys_cumbUse,135,127,2.12,2.74,1.26,1.31,0.11,0.12,0.37,0.0***,Small (-0.48)
q_sys_confUse,135,127,4.01,3.89,0.97,1.06,0.08,0.09,0.05****,0.349,Very Small (0.12)
q_sys_learnToUse,135,127,1.92,2.33,1.25,1.33,0.11,0.12,0.04****,0.01*,Small (-0.32)
c_moveDistanceAavg,135,127,0,6.66,0,7,0,0.62,0.0****,0.0***,Very Large (-1.37)
c_moveDistanceCavg,135,127,0,4.62,0,5.56,0,0.49,0.0****,0.0***,Large (-1.19)
c_moveDistanceDavg,135,127,0,2.04,0,4.34,0,0.38,0.0****,0.0***,Medium (-0.68)
c_clickCountAvg,135,127,0,4.62,0,5.56,0,0.49,0.0****,0.0***,Large (-1.19)
c_dragCountAvg,135,127,0,0.71,0,1.5,0,0.13,0.0****,0.0***,Medium (-0.68)
c_movieInListPosAvg,135,127,1.86,1.55,0.77,0.75,0.07,0.07,0.92,0.001***,Small (0.41)
c_moviePosAvg,135,127,2.15,1.5,1.63,2.04,0.14,0.18,0.24,0.004**,Small (0.35)
c_preferecControl,135,127,0,1.28,0,0.87,0,0.08,0.0****,0.0***,Huge (-2.11)
q_outc_satisfactionScore1,135,127,4.02,3.8,1.06,1.09,0.09,0.1,0.3,0.088,Small (0.21)
q_outc_satisfactionScore2,135,127,3.93,3.9,1.04,1.08,0.09,0.1,0.66,0.829,Very Small (0.03)
q_outc_satisfactionScore3,135,127,3.86,3.9,1.15,1.1,0.1,0.1,0.44,0.784,Very Small (-0.03)
q_outc_satisfactionScore4,135,127,3.78,3.83,1.12,1.11,0.1,0.1,0.58,0.722,Very Small (-0.04)
q_outc_satisfactionScore5,135,127,4.06,3.86,1.04,1.01,0.09,0.09,0.95,0.115,Very Small (0.2)
c_outc_listSatAvg,135,127,3.93,3.86,0.79,0.79,0.07,0.07,0.65,0.45,Very Small (0.09)
q_outc_diversity,135,127,3.94,3.7,0.93,0.89,0.08,0.08,0.5,0.034*,Small (0.26)
q_outc_novelty,135,127,3.88,3.74,1.07,1.09,0.09,0.1,0.31,0.292,Very Small (0.13)
q_outc_serendipity,135,127,3.72,3.52,1.03,1.06,0.09,0.09,0.3,0.124,Very Small (0.19)
q_outc_relevance,135,127,3.37,3.3,1.21,1.15,0.1,0.1,0.33,0.626,Very Small (0.06)
q_proc_searchSim,135,127,2.27,2.69,1.26,1.33,0.11,0.12,0.22,0.009**,Small (-0.32)
q_proc_decidDiff,135,127,2.65,2.79,1.31,1.29,0.11,0.11,0.6,0.4,Very Small (-0.1)
q_proc_recImprove,135,127,3.26,3.38,1.17,1.08,0.1,0.1,0.29,0.395,Very Small (-0.11)
q_proc_control,135,127,3.41,3.24,1.25,1.1,0.11,0.1,0.04****,0.263,Very Small (0.14)
