Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,47,47,73.72,62.82,16.57,19.52,2.42,2.85,0.17,0.004**,Medium (0.6)
q_sys_freqUse,47,47,3.77,3.17,1.11,1.17,0.16,0.17,0.39,0.013*,Medium (0.52)
q_sys_complex,47,47,2.21,2.66,1.27,1.36,0.18,0.2,0.23,0.102,Small (-0.34)
q_sys_easeUse,47,47,4.21,3.83,0.86,1.01,0.13,0.15,0.1,0.05,Small (0.41)
q_sys_techNeed,47,47,1.85,2.04,1.33,1.22,0.19,0.18,0.92,0.469,Very Small (-0.15)
q_sys_funcInteg,47,47,3.79,3.53,0.78,1.02,0.11,0.15,0.01****,0.175,Small (0.28)
q_sys_inconsist,47,47,2.28,2.89,1.25,1.36,0.18,0.2,0.59,0.024*,Small (-0.47)
q_sys_learnUse,47,47,4.21,3.74,0.86,0.9,0.13,0.13,0.34,0.011*,Medium (0.53)
q_sys_cumbUse,47,47,2.21,2.91,1.27,1.41,0.18,0.21,0.3,0.013*,Medium (-0.52)
q_sys_confUse,47,47,4.11,3.81,0.76,1.12,0.11,0.16,0.0****,0.134,Small (0.31)
q_sys_learnToUse,47,47,2.04,2.45,1.25,1.35,0.18,0.2,0.28,0.135,Small (-0.31)
c_moveDistanceAavg,47,47,0,8.03,0,8.32,0,1.21,0.0****,0.0***,Very Large (-1.36)
c_moveDistanceCavg,47,47,0,5.05,0,5.95,0,0.87,0.0****,0.0***,Very Large (-1.2)
c_moveDistanceDavg,47,47,0,2.97,0,5.57,0,0.81,0.0****,0.0***,Medium (-0.76)
c_clickCountAvg,47,47,0,5.05,0,5.95,0,0.87,0.0****,0.0***,Very Large (-1.2)
c_dragCountAvg,47,47,0,1.01,0,1.87,0,0.27,0.0****,0.0***,Medium (-0.76)
c_movieInListPosAvg,47,47,1.81,1.51,0.78,0.77,0.11,0.11,0.95,0.063,Small (0.39)
c_moviePosAvg,47,47,2.42,1.7,1.74,2.34,0.25,0.34,0.13,0.096,Small (0.35)
c_preferecControl,47,47,0,1.23,0,0.87,0,0.13,0.0****,0.0***,Huge (-2.02)
q_outc_satisfactionScore1,47,47,4.19,3.68,0.95,1.12,0.14,0.16,0.08,0.019*,Small (0.49)
q_outc_satisfactionScore2,47,47,4.06,3.72,1.03,1.14,0.15,0.17,0.24,0.132,Small (0.31)
q_outc_satisfactionScore3,47,47,3.77,3.72,1.25,1.25,0.18,0.18,0.92,0.869,Very Small (0.03)
q_outc_satisfactionScore4,47,47,3.91,3.74,0.93,1.13,0.14,0.17,0.23,0.427,Very Small (0.16)
q_outc_satisfactionScore5,47,47,4.11,3.72,1.13,1.1,0.16,0.16,0.7,0.099,Small (0.34)
c_outc_listSatAvg,47,47,4.01,3.72,0.81,0.87,0.12,0.13,0.49,0.098,Small (0.35)
q_outc_diversity,47,47,4.02,3.77,0.94,0.79,0.14,0.11,0.55,0.158,Small (0.29)
q_outc_novelty,47,47,3.98,3.74,0.94,1.07,0.14,0.16,0.11,0.264,Small (0.23)
q_outc_serendipity,47,47,3.87,3.4,1.06,1.01,0.15,0.15,0.38,0.031*,Small (0.45)
q_outc_relevance,47,47,3.47,3.15,1.21,1.04,0.18,0.15,0.14,0.175,Small (0.28)
q_proc_searchSim,47,47,2.17,2.81,1.2,1.36,0.18,0.2,0.05,0.018*,Small (-0.5)
q_proc_decidDiff,47,47,2.57,3.02,1.33,1.21,0.19,0.18,0.11,0.092,Small (-0.35)
q_proc_recImprove,47,47,3.49,3.34,1.12,0.98,0.16,0.14,0.53,0.495,Very Small (0.14)
q_proc_control,47,47,3.72,3.23,1.06,1.15,0.15,0.17,0.76,0.034*,Small (0.44)
q_proc_sorting,47,47,3.79,3.55,0.95,1.02,0.14,0.15,0.25,0.253,Small (0.24)
c_ageGroup,47,47,2.74,2.79,1.07,0.98,0.16,0.14,0.72,0.841,Very Small (-0.04)
q_dem_onlineUsage,47,47,1.68,1.7,0.52,0.81,0.08,0.12,0.04****,0.879,Very Small (-0.03)
c_dem_genderCat,47,47,1.68,1.57,0.47,0.58,0.07,0.08,0.01****,0.332,Small (0.2)
q_dem_movieUsage,47,47,2.94,3.02,1.88,1.8,0.27,0.26,0.96,0.823,Very Small (-0.05)
c_All_IndexAvg,47,47,24.21,24.81,5.9,8.46,0.86,1.23,0.03****,0.693,Very Small (-0.08)
c_Title_IndexAvg,47,47,26.15,29.17,6.24,7,0.91,1.02,0.35,0.03*,Small (-0.46)
c_Image_IndexAvg,47,47,25.98,27.38,7.82,8.88,1.14,1.3,0.38,0.418,Very Small (-0.17)
c_Plot_IndexAvg,47,47,23.28,24.11,7.34,7.87,1.07,1.15,0.67,0.599,Very Small (-0.11)
c_Genre_IndexAvg,47,47,25.02,21.94,7.97,5.94,1.16,0.87,0.03****,0.036*,Small (0.44)
