1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,1846.089582,2,923.0447912,2.387337816,0.093634985,0.015821989,0.00916416,0.0****,0.34
0,,,,,,,,,,
1,,114832.6396,297,386.6418841,,,,,0.0****,0.34
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,4.99107681,2,2.495538405,1.965934652,0.141842889,0.013065646,0.006398362,0.0****,0.3
0,,,,,,,,,,
1,,377.0089232,297,1.269390314,,,,,0.0****,0.3
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,8.866198261,2,4.433099131,2.622924105,0.074271407,0.017356229,0.010703686,0.0****,0.72
0,,,,,,,,,,
1,,501.9704684,297,1.690136257,,,,,0.0****,0.72
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,0.775344027,2,0.387672014,0.409496199,0.664358987,0.002749967,-0.003952251,0.0****,0.19
0,,,,,,,,,,
1,,281.1713226,297,0.94670479,,,,,0.0****,0.19
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,11.43710676,2,5.718553378,2.917013454,0.055646646,0.019264767,0.01261882,0.0****,0.02****
0,,,,,,,,,,
1,,582.2428932,297,1.960413782,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,1.646926971,2,0.823463485,0.822937748,0.440138463,0.005511127,-0.00118181,0.0****,0.29
0,,,,,,,,,,
1,,297.1897397,297,1.000638854,,,,,0.0****,0.29
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,5.085827856,2,2.542913928,1.412463534,0.245173666,0.009421922,0.002742216,0.0****,0.0****
0,,,,,,,,,,
1,,534.7008388,297,1.800339525,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,2.543669728,2,1.271834864,1.314990474,0.270035352,0.008777429,0.002095536,0.0****,0.97
0,,,,,,,,,,
1,,287.2529969,297,0.967181808,,,,,0.0****,0.97
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,3.569199472,2,1.784599736,0.966182815,0.3817256,0.006464224,-0.000225499,0.0****,0.38
0,,,,,,,,,,
1,,548.5774672,297,1.847062179,,,,,0.0****,0.38
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,2.513051357,2,1.256525678,1.214672184,0.298277405,0.008113247,0.001429103,0.0****,0.78
0,,,,,,,,,,
1,,307.2336153,297,1.034456617,,,,,0.0****,0.78
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,4.64583798,2,2.32291899,1.272059824,0.281776107,0.008493305,0.001810448,0.0****,0.08
0,,,,,,,,,,
1,,542.354162,297,1.82610829,,,,,0.0****,0.08
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,53.98908628,2,26.99454314,0.851193573,0.427943818,0.005699275,-0.000993028,0.0****,0.15
0,,,,,,,,,,
1,,9418.98478,297,31.71375347,,,,,0.0****,0.15
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,100.7209562,2,50.36047811,2.752041731,0.065424944,0.018195072,0.011545424,0.0****,0.0****
0,,,,,,,,,,
1,,5434.89651,297,18.29931485,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,8.654117827,2,4.327058914,0.481541119,0.618312024,0.00323222,-0.003468381,0.0****,0.12
0,,,,,,,,,,
1,,2668.799082,297,8.985855496,,,,,0.0****,0.12
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,100.7209562,2,50.36047811,2.752041731,0.065424944,0.018195072,0.011545424,0.0****,0.0****
0,,,,,,,,,,
1,,5434.89651,297,18.29931485,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,0.364626344,2,0.182313172,0.169976765,0.843766434,0.001143316,-0.005564278,0.0****,0.48
0,,,,,,,,,,
1,,318.5553737,297,1.072577016,,,,,0.0****,0.48
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.523390592,2,0.261695296,0.411030872,0.663343001,0.002760245,-0.003941939,0.07,0.43
0,,,,,,,,,,
1,,189.0940761,297,0.636680391,,,,,0.07,0.43
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,8.16414303,2,4.082071515,1.175897348,0.309974232,0.007856291,0.001171275,0.0****,0.29
0,,,,,,,,,,
1,,1031.021324,297,3.471452268,,,,,0.0****,0.29
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,2.870471569,2,1.435235785,1.919713273,0.148464297,0.012762378,0.006094057,0.0****,0.0****
0,,,,,,,,,,
1,,222.0461951,297,0.747630287,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,0.424598233,2,0.212299117,0.193169443,0.824445768,0.001299114,-0.005407959,0.0****,0.28
0,,,,,,,,,,
1,,326.4120684,297,1.099030533,,,,,0.0****,0.28
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,1.667162834,2,0.833581417,0.772775429,0.462655915,0.005176935,-0.001517129,0.0****,0.65
0,,,,,,,,,,
1,,320.3695038,297,1.078685198,,,,,0.0****,0.65
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,1.428716276,2,0.714358138,0.585036856,0.557726011,0.003924182,-0.002774095,0.0****,0.04****
0,,,,,,,,,,
1,,362.6512837,297,1.221048093,,,,,0.0****,0.04****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,2.925347982,2,1.462673991,1.23763082,0.291562188,0.008265329,0.0015817,0.0****,0.0****
0,,,,,,,,,,
1,,351.004652,297,1.181833845,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,2.682701595,2,1.341350798,1.313471741,0.270442172,0.008767381,0.002085453,0.0****,0.0****
0,,,,,,,,,,
1,,303.3039651,297,1.021225472,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,0.492671982,2,0.246335991,0.406761728,0.666173151,0.002731654,-0.003970625,0.0****,0.0****
0,,,,,,,,,,
1,,179.8639947,297,0.605602676,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,0.798373949,2,0.399186975,0.486297628,0.615387508,0.003264043,-0.003436451,0.0****,0.98
0,,,,,,,,,,
1,,243.7982927,297,0.820869672,,,,,0.0****,0.98
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,1.779132319,2,0.88956616,0.816021131,0.443176462,0.005465061,-0.001228032,0.0****,0.65
0,,,,,,,,,,
1,,323.7675343,297,1.090126378,,,,,0.0****,0.65
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,1.666312159,2,0.83315608,0.800359258,0.450133912,0.005360732,-0.001332712,0.0****,0.33
