1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
0,,,,,,,,,,,
1,c_sys_SUS,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,5.8474,0.0755,-0.4564,12.1512,FALSE,Small (0.29),65.2703,20.1,1.6522
0,,,,,,,,,,,
1,2,4,2.1551,0.7184,-4.6654,8.9756,FALSE,Very Small (0.11),71.1176,20.301,2.2019
0,,,,,,,,,,,
1,3,4,-3.6923,0.4861,-11.2596,3.875,FALSE,Very Small (-0.19),67.4254,17.763,2.1701
0,,,,,,,,,,,
1,q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.101,0.7673,-0.2602,0.4622,FALSE,Very Small (0.09),3.6284,1.0708,0.088
0,,,,,,,,,,,
1,2,4,-0.2552,0.2749,-0.646,0.1356,FALSE,Small (-0.23),3.7294,1.2188,0.1322
0,,,,,,,,,,,
1,3,4,-0.3563,0.1305,-0.7899,0.0773,FALSE,Small (-0.3),3.3731,1.1259,0.1376
0,,,,,,,,,,,
1,q_sys_complex,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4048,0.059,-0.8216,0.0119,FALSE,Small (-0.31),2.6284,1.3108,0.1077
0,,,,,,,,,,,
1,2,4,-0.1657,0.6491,-0.6166,0.2853,FALSE,Very Small (-0.13),2.2235,1.2759,0.1384
0,,,,,,,,,,,
1,3,4,0.2392,0.5,-0.2612,0.7395,FALSE,Very Small (0.19),2.4627,1.3065,0.1596
0,,,,,,,,,,,
1,q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1144,0.65,-0.1975,0.4263,FALSE,Very Small (0.11),3.9797,0.951,0.0782
0,,,,,,,,,,,
1,2,4,0.0053,0.9,-0.3322,0.3428,FALSE,None (0.01),4.0941,1.0536,0.1143
0,,,,,,,,,,,
1,3,4,-0.109,0.7518,-0.4835,0.2654,FALSE,Very Small (-0.11),3.9851,0.9127,0.1115
0,,,,,,,,,,,
1,q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.3764,0.1203,-0.8253,0.0725,FALSE,Small (-0.27),2.3176,1.4663,0.1205
0,,,,,,,,,,,
1,2,4,-0.4071,0.1204,-0.8928,0.0785,FALSE,Small (-0.29),1.9412,1.3305,0.1443
0,,,,,,,,,,,
1,3,4,-0.0307,0.9,-0.5696,0.5081,FALSE,Very Small (-0.02),1.9104,1.3341,0.163
0,,,,,,,,,,,
1,q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1313,0.5924,-0.1894,0.452,FALSE,Very Small (0.13),3.6216,1.0061,0.0827
0,,,,,,,,,,,
1,2,4,-0.0694,0.8747,-0.4164,0.2776,FALSE,Very Small (-0.07),3.7529,1.0791,0.117
0,,,,,,,,,,,
1,3,4,-0.2007,0.4394,-0.5857,0.1843,FALSE,Small (-0.2),3.5522,0.8753,0.1069
0,,,,,,,,,,,
