1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,c_sys_SUS,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,1357.951155,2,678.9755775,1.75881372,0.174300049,0.013399586,0.005759112,0.0****,0.32
0,,,,,,,,,,
1,,99984.82079,259,386.0417791,,,,,0.0****,0.32
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,4.277161669,2,2.138580834,1.574251373,0.20913828,0.012010379,0.004364466,0.0****,0.19
0,,,,,,,,,,
1,,351.8449757,259,1.35847481,,,,,0.0****,0.19
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,8.492678492,2,4.246339246,2.669745549,0.071176074,0.02019937,0.01258573,0.0****,0.34
0,,,,,,,,,,
1,,411.9500696,259,1.590540809,,,,,0.0****,0.34
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,0.849355118,2,0.424677559,0.428367531,0.652032677,0.003296952,-0.004382731,0.0****,0.24
0,,,,,,,,,,
1,,256.7689655,259,0.991385967,,,,,0.0****,0.24
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,11.60361817,2,5.801809083,3.556713105,0.029934402,0.026730805,0.019143277,0.0****,0.0****
0,,,,,,,,,,
1,,422.4879849,259,1.631227741,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,1.61693827,2,0.808469135,0.783636366,0.457821962,0.006014849,-0.001654363,0.0****,0.35
0,,,,,,,,,,
1,,267.2074892,259,1.031689148,,,,,0.0****,0.35
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,4.963396654,2,2.481698327,1.404393728,0.247379125,0.010728393,0.003077475,0.0****,0.02****
0,,,,,,,,,,
1,,457.6778247,259,1.767095848,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,1.826475539,2,0.91323777,0.957066333,0.385371654,0.007336255,-0.000327845,0.0****,0.79
0,,,,,,,,,,
1,,247.1391733,259,0.954205302,,,,,0.0****,0.79
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,2.747597099,2,1.373798549,0.785341018,0.457046891,0.006027854,-0.001641308,0.0****,0.08
0,,,,,,,,,,
1,,453.0691968,259,1.749301918,,,,,0.0****,0.08
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,0.462576288,2,0.231288144,0.223610795,0.799780503,0.001723748,-0.00596197,0.0****,0.28
0,,,,,,,,,,
1,,267.8923855,259,1.034333535,,,,,0.0****,0.28
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,4.995186114,2,2.497593057,1.475752187,0.230522487,0.011267369,0.003618555,0.0****,0.01****
0,,,,,,,,,,
1,,438.336875,259,1.692420367,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,51.56145975,2,25.78072987,0.739693894,0.478265449,0.005679481,-0.001991026,0.0****,0.23
0,,,,,,,,,,
1,,9026.989533,259,34.85324144,,,,,0.0****,0.23
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,110.7910048,2,55.39550241,2.773886454,0.064274282,0.020970779,0.013360206,0.0****,0.0****
0,,,,,,,,,,
1,,5172.32243,259,19.97035687,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,11.60458395,2,5.802291974,0.570629094,0.565878683,0.004387071,-0.003288419,0.0****,0.09
0,,,,,,,,,,
1,,2633.573431,259,10.16823719,,,,,0.0****,0.09
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,110.7910048,2,55.39550241,2.773886454,0.064274282,0.020970779,0.013360206,0.0****,0.0****
0,,,,,,,,,,
1,,5172.32243,259,19.97035687,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,0.519287722,2,0.259643861,0.213768665,0.807677509,0.001648003,-0.006038005,0.0****,0.41
0,,,,,,,,,,
1,,314.5819337,259,1.21460206,,,,,0.0****,0.41
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.969893455,2,0.484946728,0.80673375,0.447431726,0.006191037,-0.001477495,0.06,0.18
0,,,,,,,,,,
1,,155.6910226,259,0.601123639,,,,,0.06,0.18
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,16.10318834,2,8.051594168,2.343538498,0.098019817,0.017775149,0.010151901,0.0****,0.03****
0,,,,,,,,,,
1,,889.8351323,259,3.435656881,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,1.843643582,2,0.921821791,1.193828357,0.304720858,0.009134543,0.00147742,0.0****,0.02****
0,,,,,,,,,,
1,,199.9884175,259,0.772156052,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,0.134269203,2,0.067134601,0.057414741,0.944214403,0.000443161,-0.007247455,0.0****,0.18
0,,,,,,,,,,
1,,302.8466468,259,1.169292073,,,,,0.0****,0.18
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,1.402716623,2,0.701358311,0.627297922,0.534842218,0.004820648,-0.002853171,0.0****,0.87
0,,,,,,,,,,
1,,289.5781994,259,1.118062546,,,,,0.0****,0.87
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,1.843046507,2,0.921523253,0.722711781,0.486410382,0.005549814,-0.002121194,0.0****,0.01****
0,,,,,,,,,,
1,,330.2485565,259,1.275090952,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,3.390784134,2,1.695392067,1.379586131,0.253525867,0.010540881,0.002889232,0.0****,0.0****
0,,,,,,,,,,
1,,318.2886052,259,1.228913534,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,1.567491868,2,0.783745934,0.735336307,0.480342227,0.005646212,-0.002024424,0.0****,0.03****
0,,,,,,,,,,
1,,276.0508287,259,1.065833316,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,0.289572542,2,0.144786271,0.231367799,0.793611398,0.001783438,-0.005902051,0.0****,0.0****
0,,,,,,,,,,
1,,162.078061,259,0.625784019,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,1.196833509,2,0.598416755,0.708600491,0.49328466,0.005442041,-0.002229383,0.0****,0.92
0,,,,,,,,,,
1,,218.7268306,259,0.844505138,,,,,0.0****,0.92
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,2.027080037,2,1.013540018,0.864052874,0.422661754,0.006627999,-0.001038842,0.0****,0.38
0,,,,,,,,,,
1,,303.8087978,259,1.173006941,,,,,0.0****,0.38
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,4.827045544,2,2.413522772,2.22642916,0.109974497,0.016901917,0.00927522,0.0****,0.67
0,,,,,,,,,,
1,,280.7645575,259,1.084033041,,,,,0.0****,0.67
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_relevance,12.22198434,2,6.110992172,4.519283653,0.011769843,0.033721145,0.026161927,0.0****,0.36
0,,,,,,,,,,
1,,350.2207637,259,1.352203721,,,,,0.0****,0.36
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_searchSim,11.29822464,2,5.649112321,3.356107165,0.036393832,0.025261219,0.017667786,0.0****,0.35
0,,,,,,,,,,
1,,435.9575005,259,1.683233593,,,,,0.0****,0.35
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_decidDiff,7.346132563,2,3.673066281,2.193238868,0.113622541,0.016654149,0.009026474,0.0****,0.23
0,,,,,,,,,,
1,,433.7531041,259,1.67472241,,,,,0.0****,0.23
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_recImprove,2.748370833,2,1.374185416,1.085243566,0.339350595,0.008310614,0.000650291,0.0****,0.01****
0,,,,,,,,,,
1,,327.957736,259,1.266246085,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_control,11.09138492,2,5.545692458,4.095859343,0.017731349,0.03065858,0.023086912,0.0****,0.1
0,,,,,,,,,,
1,,350.6796075,259,1.353975318,,,,,0.0****,0.1
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_sorting,3.472857846,2,1.736428923,1.354513032,0.259894828,0.01035129,0.002698903,0.0****,0.54
0,,,,,,,,,,
1,,332.0271422,259,1.281958078,,,,,0.0****,0.54
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_dem_movieUsage,6.714152059,2,3.35707603,0.945839788,0.389690513,0.007250824,-0.000413608,0.0****,0.15
0,,,,,,,,,,
1,,919.2705808,259,3.549307262,,,,,0.0****,0.15
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_dem_onlineUsage,3.607130085,2,1.803565042,3.8346465,0.022846239,0.028759566,0.021180214,0.0****,0.08
0,,,,,,,,,,
1,,121.816534,259,0.470334108,,,,,0.0****,0.08
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dem_genderCat,0.05097668,2,0.02548834,0.093235996,0.911009049,0.000719451,-0.006970109,0.0****,0.25
0,,,,,,,,,,
1,,70.80398515,259,0.27337446,,,,,0.0****,0.25
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_All_IndexAvg,13.53527676,2,6.767638379,0.041306152,0.959541641,0.000318865,-0.007372226,0.0****,0.17
0,,,,,,,,,,
1,,42434.8006,259,163.840929,,,,,0.0****,0.17
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Title_IndexAvg,178.0245063,2,89.01225313,0.613879568,0.542032597,0.004718018,-0.002956198,0.0****,0.48
0,,,,,,,,,,
1,,37554.88007,259,144.999537,,,,,0.0****,0.48
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Image_IndexAvg,129.4617078,2,64.73085389,0.393329946,0.675208449,0.0030281,-0.004652616,0.0****,0.35
0,,,,,,,,,,
1,,42623.98867,259,164.5713848,,,,,0.0****,0.35
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Plot_IndexAvg,158.0664231,2,79.03321155,0.534073139,0.58685655,0.004107178,-0.003569389,0.0****,0.46
0,,,,,,,,,,
1,,38327.33816,259,147.9820006,,,,,0.0****,0.46
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Genre_IndexAvg,3.344688863,2,1.672344431,0.010071692,0.989979246,7.78E-05,-0.007614243,0.0****,0.07
0,,,,,,,,,,
1,,43005.40722,259,166.0440433,,,,,0.0****,0.07
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Stars_IndexAvg,314.608071,2,157.3040355,1.027229138,0.359451355,0.007869846,0.000207813,0.01****,0.85
0,,,,,,,,,,
1,,39661.78888,259,153.13432,,,,,0.01****,0.85
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Director_IndexAvg,314.0679111,2,157.0339555,0.929311353,0.396137945,0.007125019,-0.000539899,0.0****,0.6
0,,,,,,,,,,
1,,43765.51988,259,168.9788412,,,,,0.0****,0.6
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Date_IndexAvg,92.27941215,2,46.13970608,0.28447225,0.752646018,0.002191882,-0.005492042,0.0****,0.7
0,,,,,,,,,,
1,,42008.25876,259,162.1940493,,,,,0.0****,0.7
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Tag_IndexAvg,384.8929193,2,192.4464597,0.969660144,0.38058418,0.007432074,-0.000231656,0.0****,0.56
0,,,,,,,,,,
1,,51403.19868,259,198.4679486,,,,,0.0****,0.56
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_SVD_IndexAvg,60.45986336,2,30.22993168,0.16859923,0.844940073,0.001300232,-0.006387107,0.0****,0.21
0,,,,,,,,,,
1,,46438.83785,259,179.3005322,,,,,0.0****,0.21
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Baseline_IndexAvg,29.39934734,2,14.69967367,0.090350315,0.91363986,0.000697199,-0.006992446,0.0****,0.83
