1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
0,,,,,,,,,,,
1,c_sys_SUS,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,5.3551,0.1515,-1.4187,12.1289,FALSE,Small (0.26),67.8543,20.1746,1.7902
0,,,,,,,,,,,
1,2,4,1.367,0.8888,-5.8485,8.5824,FALSE,Very Small (0.07),73.2095,20.3249,2.3627
0,,,,,,,,,,,
1,3,4,-3.9881,0.4717,-11.9982,4.0219,FALSE,Small (-0.21),69.2213,17.5804,2.2509
0,,,,,,,,,,,
1,q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0536,0.9,-0.3482,0.4555,FALSE,Very Small (0.04),3.622,1.1122,0.0987
0,,,,,,,,,,,
1,2,4,-0.2778,0.279,-0.7058,0.1502,FALSE,Small (-0.25),3.6757,1.2833,0.1492
0,,,,,,,,,,,
1,3,4,-0.3314,0.2293,-0.8066,0.1438,FALSE,Small (-0.27),3.3443,1.1238,0.1439
0,,,,,,,,,,,
1,q_sys_complex,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4229,0.0586,-0.8577,0.0119,FALSE,Small (-0.33),2.5039,1.2902,0.1145
0,,,,,,,,,,,
1,2,4,-0.2089,0.5362,-0.672,0.2543,FALSE,Very Small (-0.17),2.0811,1.236,0.1437
0,,,,,,,,,,,
1,3,4,0.214,0.583,-0.3002,0.7282,FALSE,Very Small (0.17),2.2951,1.2294,0.1574
0,,,,,,,,,,,
1,q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.098,0.7593,-0.2453,0.4413,FALSE,Very Small (0.1),4.0236,0.9797,0.0869
0,,,,,,,,,,,
1,2,4,-0.0564,0.9,-0.4221,0.3092,FALSE,Very Small (-0.06),4.1216,1.0721,0.1246
0,,,,,,,,,,,
1,3,4,-0.1544,0.6313,-0.5603,0.2515,FALSE,Very Small (-0.15),3.9672,0.9304,0.1191
0,,,,,,,,,,,
1,q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.4053,0.0784,-0.8456,0.035,FALSE,Small (-0.31),2.0945,1.4222,0.1262
0,,,,,,,,,,,
1,2,4,-0.4388,0.0723,-0.9078,0.0303,FALSE,Small (-0.35),1.6892,1.1459,0.1332
0,,,,,,,,,,,
1,3,4,-0.0335,0.9,-0.5541,0.4872,FALSE,Very Small (-0.03),1.6557,1.0937,0.14
0,,,,,,,,,,,
1,q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0199,0.9,-0.3303,0.3701,FALSE,Very Small (0.02),3.6693,1.0393,0.0922
0,,,,,,,,,,,
1,2,4,-0.1775,0.5026,-0.5505,0.1955,FALSE,Very Small (-0.18),3.6892,1.0718,0.1246
0,,,,,,,,,,,
1,3,4,-0.1974,0.5015,-0.6115,0.2167,FALSE,Small (-0.2),3.4918,0.8874,0.1136
0,,,,,,,,,,,
