1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,288.0650312,2,144.0325156,0.367535124,0.692753494,0.002468874,-0.004234286,0.0****,0.42
0,,,,,,,,,,
1,,116390.6641,297,391.887758,,,,,0.0****,0.42
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,17.63282592,2,8.816412958,7.186362644,0.000895712,0.04615923,0.039608853,0.0****,0.03****
0,,,,,,,,,,
1,,364.3671741,297,1.226825502,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,1.183594559,2,0.59179728,0.344869484,0.708596059,0.002316973,-0.004386696,0.0****,0.14
0,,,,,,,,,,
1,,509.6530721,297,1.71600361,,,,,0.0****,0.14
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,2.328709727,2,1.164354863,1.236735288,0.291821249,0.008259398,0.001575748,0.0****,0.54
0,,,,,,,,,,
1,,279.6179569,297,0.941474602,,,,,0.0****,0.54
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,39.60082878,2,19.80041439,10.61350684,3.53E-05,0.066703997,0.060229908,0.0****,0.0****
0,,,,,,,,,,
1,,554.0791712,297,1.865586435,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,2.290023022,2,1.145011511,1.146761988,0.31906615,0.007663126,0.000977457,0.0****,0.13
0,,,,,,,,,,
1,,296.5466436,297,0.998473548,,,,,0.0****,0.13
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,1.168796645,2,0.584398323,0.322243861,0.724774482,0.002165294,-0.004538883,0.0****,0.43
0,,,,,,,,,,
1,,538.61787,297,1.813528182,,,,,0.0****,0.43
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,0.697891751,2,0.348945875,0.358482754,0.699037594,0.002408212,-0.004295151,0.0****,0.98
0,,,,,,,,,,
1,,289.0987749,297,0.973396549,,,,,0.0****,0.98
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,9.83805349,2,4.919026745,2.69394752,0.069265831,0.017817826,0.011166876,0.0****,0.58
0,,,,,,,,,,
1,,542.3086132,297,1.825954927,,,,,0.0****,0.58
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,2.491502637,2,1.245751318,1.204172248,0.301400232,0.008043679,0.001359298,0.0****,0.06
0,,,,,,,,,,
1,,307.255164,297,1.034529172,,,,,0.0****,0.06
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,21.91529652,2,10.95764826,6.19789819,0.002306445,0.040064527,0.033492066,0.0****,0.0****
0,,,,,,,,,,
1,,525.0847035,297,1.767961965,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,107.3398505,2,53.66992524,1.701963558,0.184098505,0.011331167,0.004657959,0.0****,0.01****
0,,,,,,,,,,
1,,9365.634016,297,31.53412127,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,84.30339753,2,42.15169877,2.296520504,0.102392287,0.015229267,0.008569401,0.0****,0.0****
0,,,,,,,,,,
1,,5451.314069,297,18.35459283,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,10.46700932,2,5.23350466,0.582811748,0.558963522,0.003909316,-0.002789012,0.0****,0.13
0,,,,,,,,,,
1,,2666.986191,297,8.979751484,,,,,0.0****,0.13
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,84.30339753,2,42.15169877,2.296520504,0.102392287,0.015229267,0.008569401,0.0****,0.0****
0,,,,,,,,,,
1,,5451.314069,297,18.35459283,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,1.339405147,2,0.669702573,0.626302953,0.53526896,0.004199815,-0.002497536,0.0****,0.12
0,,,,,,,,,,
1,,317.5805949,297,1.069294932,,,,,0.0****,0.12
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.593105273,2,0.296552636,0.465951226,0.627995838,0.003127904,-0.003573046,0.09,0.0****
0,,,,,,,,,,
1,,189.0243614,297,0.636445661,,,,,0.09,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,3.647381886,2,1.823690943,0.523048083,0.593256102,0.003509847,-0.003189822,0.0****,0.42
0,,,,,,,,,,
1,,1035.538085,297,3.486660218,,,,,0.0****,0.42
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,2.466205645,2,1.233102823,1.646350997,0.194506105,0.010964975,0.004290519,0.0****,0.0****
0,,,,,,,,,,
1,,222.450461,297,0.748991451,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,12.52598976,2,6.262994879,5.91806011,0.003017947,0.038324922,0.031746203,0.0****,0.23
0,,,,,,,,,,
1,,314.3106769,297,1.058285107,,,,,0.0****,0.23
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,12.29349977,2,6.146749885,5.893865987,0.003088994,0.038174224,0.031594963,0.0****,0.01****
0,,,,,,,,,,
1,,309.7431669,297,1.042906286,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,6.44250279,2,3.221251395,2.675087684,0.070560936,0.017695294,0.011043921,0.0****,0.22
0,,,,,,,,,,
1,,357.6374972,297,1.204166657,,,,,0.0****,0.22
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,16.13296581,2,8.066482904,7.092263046,0.000979853,0.045582363,0.039029885,0.0****,0.0****
0,,,,,,,,,,
1,,337.7970342,297,1.137363751,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,7.37763769,2,3.688818845,3.668941963,0.026666392,0.024110978,0.017481892,0.0****,0.21
0,,,,,,,,,,
1,,298.609029,297,1.005417606,,,,,0.0****,0.21
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,10.36868114,2,5.184340569,9.057988093,0.000151871,0.057489869,0.050981214,0.0****,0.1
0,,,,,,,,,,
1,,169.9879855,297,0.57235012,,,,,0.0****,0.1
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,0.628040805,2,0.314020402,0.382278907,0.682639959,0.002567659,-0.00413517,0.0****,0.16
0,,,,,,,,,,
1,,243.9686259,297,0.821443185,,,,,0.0****,0.16
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,2.871941224,2,1.435970612,1.321712667,0.268242076,0.008821903,0.002140161,0.0****,0.37
0,,,,,,,,,,
1,,322.6747254,297,1.086446887,,,,,0.0****,0.37
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,8.367576847,2,4.183788423,4.108139323,0.017381623,0.02691953,0.020300288,0.0****,0.0****
0,,,,,,,,,,
