1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,c_sys_SUS,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.9635,0.9,-8.2837,6.3567,FALSE,Very Small (-0.05),68.7712,21.9442,2.8569
1,0,4,-2.555,0.6859,-10.0682,4.9583,FALSE,Very Small (-0.12),67.8077,19.3023,1.6929
1,2,4,-1.5915,0.7883,-7.618,4.435,FALSE,Very Small (-0.08),66.2162,19.164,1.819
1,q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4551,0.0251,0.0456,0.8647,TRUE,Small (0.38),3.1525,1.2705,0.1654
1,0,4,0.6763,0.001,0.2559,1.0967,TRUE,Medium (0.59),3.6077,1.1102,0.0974
1,2,4,0.2211,0.2719,-0.1161,0.5583,FALSE,Small (0.21),3.8288,1.0079,0.0957
1,q_sys_complex,-,-,-,-,-,-,-,-,-,-
1,0,2,0.007,0.9,-0.4774,0.4914,FALSE,None (0.01),2.4237,1.2622,0.1643
1,0,4,0.1348,0.7787,-0.3623,0.632,FALSE,Very Small (0.1),2.4308,1.2633,0.1108
1,2,4,0.1278,0.7124,-0.271,0.5266,FALSE,Very Small (0.1),2.5586,1.3862,0.1316
1,q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1356,0.6349,-0.2232,0.4944,FALSE,Very Small (0.14),3.8644,1.0248,0.1334
1,0,4,0.2437,0.2656,-0.1246,0.612,FALSE,Small (0.25),4,0.9804,0.086
1,2,4,0.1081,0.651,-0.1873,0.4035,FALSE,Very Small (0.11),4.1081,0.9279,0.0881
1,q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4561,0.0862,-0.049,0.9611,FALSE,Small (0.38),1.5593,1.0217,0.133
1,0,4,0.9812,0.001,0.4628,1.4996,TRUE,Medium (0.75),2.0154,1.3352,0.1171
1,2,4,0.5252,0.0089,0.1093,0.941,TRUE,Small (0.36),2.5405,1.5479,0.1469
1,q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.024,0.9,-0.3935,0.3455,FALSE,Very Small (-0.02),3.5932,1.0524,0.137
1,0,4,0.1635,0.5631,-0.2157,0.5428,FALSE,Very Small (0.17),3.5692,1.0487,0.092
1,2,4,0.1875,0.3162,-0.1167,0.4917,FALSE,Very Small (0.19),3.7568,0.9067,0.0861
1,q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0021,0.9,-0.4959,0.5001,FALSE,None (0.0),2.6441,1.2834,0.1671
1,0,4,0.1307,0.7996,-0.3804,0.6418,FALSE,Very Small (0.1),2.6462,1.3228,0.116
1,2,4,0.1286,0.7214,-0.2813,0.5386,FALSE,Very Small (0.09),2.7748,1.4057,0.1334
1,q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.091,0.8081,-0.2738,0.4558,FALSE,Very Small (0.09),3.8475,1.0139,0.132
1,0,4,0.1345,0.6601,-0.2399,0.509,FALSE,Very Small (0.13),3.9385,0.9705,0.0851
1,2,4,0.0435,0.9,-0.2568,0.3439,FALSE,Very Small (0.04),3.982,0.9907,0.094
1,q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1718,0.6808,-0.3278,0.6715,FALSE,Very Small (0.13),2.3051,1.2899,0.1679
1,0,4,0.4697,0.0805,-0.0432,0.9825,FALSE,Small (0.35),2.4769,1.3365,0.1172
1,2,4,0.2979,0.205,-0.1135,0.7092,FALSE,Small (0.22),2.7748,1.3993,0.1328
1,q_sys_confUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0726,0.884,-0.3035,0.4487,FALSE,Very Small (0.07),3.7966,1.1262,0.1466
1,0,4,0.2304,0.3398,-0.1556,0.6164,FALSE,Small (0.22),3.8692,1.0372,0.091
1,2,4,0.1578,0.4557,-0.1518,0.4674,FALSE,Very Small (0.16),4.027,0.9289,0.0882
1,q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4787,0.0583,-0.0129,0.9704,FALSE,Small (0.4),1.8136,1.0582,0.1378
1,0,4,0.754,0.0014,0.2494,1.2587,TRUE,Medium (0.59),2.2923,1.3321,0.1168
1,2,4,0.2753,0.2467,-0.1295,0.68,FALSE,Very Small (0.2),2.5676,1.4499,0.1376
1,c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-1.2708,0.3214,-3.3474,0.8057,FALSE,Small (-0.21),4.0508,7.0366,0.9161
1,0,4,-1.6472,0.1648,-3.7785,0.484,FALSE,Small (-0.26),2.78,5.0348,0.4416
1,2,4,-0.3764,0.8475,-2.0859,1.3331,FALSE,Very Small (-0.07),2.4036,5.4137,0.5138
1,c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.798,0.4639,-2.3822,0.7862,FALSE,Very Small (-0.16),2.9119,5.6861,0.7403
1,0,4,-1.4632,0.0875,-3.0892,0.1628,FALSE,Small (-0.31),2.1138,4.1817,0.3668
1,2,4,-0.6652,0.4551,-1.9694,0.639,FALSE,Very Small (-0.17),1.4486,3.4645,0.3288
1,c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.4728,0.5692,-1.5809,0.6353,FALSE,Very Small (-0.17),1.139,3.0826,0.4013
1,0,4,-0.184,0.9,-1.3213,0.9533,FALSE,Very Small (-0.06),0.6662,2.571,0.2255
1,2,4,0.2888,0.7176,-0.6235,1.2011,FALSE,Very Small (0.1),0.955,3.3887,0.3216
1,c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.798,0.4639,-2.3822,0.7862,FALSE,Very Small (-0.16),2.9119,5.6861,0.7403
1,0,4,-1.4632,0.0875,-3.0892,0.1628,FALSE,Small (-0.31),2.1138,4.1817,0.3668
1,2,4,-0.6652,0.4551,-1.9694,0.639,FALSE,Very Small (-0.17),1.4486,3.4645,0.3288
1,c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.18,0.5097,-0.5624,0.2024,FALSE,Very Small (-0.17),0.4169,1.1869,0.1545
1,0,4,-0.1052,0.7829,-0.4977,0.2872,FALSE,Very Small (-0.09),0.2369,0.8999,0.0789
1,2,4,0.0748,0.8241,-0.24,0.3896,FALSE,Very Small (0.07),0.3117,1.093,0.1037
1,c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0923,0.7228,-0.3873,0.2027,FALSE,Very Small (-0.12),1.7661,0.801,0.1043
1,0,4,-0.0039,0.9,-0.3067,0.2988,FALSE,None (-0.0),1.6738,0.677,0.0594
1,2,4,0.0883,0.6542,-0.1545,0.3312,FALSE,Very Small (0.11),1.7622,0.9179,0.0871
1,c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1653,0.8215,-0.5251,0.8558,FALSE,Very Small (0.09),1.7254,1.7019,0.2216
1,0,4,-0.0768,0.9,-0.7855,0.6319,FALSE,Very Small (-0.04),1.8908,2.0334,0.1783
1,2,4,-0.2421,0.5702,-0.8106,0.3263,FALSE,Very Small (-0.13),1.6486,1.743,0.1654
1,c_preferecControl,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0591,0.8955,-0.261,0.3791,FALSE,Very Small (0.07),0.6102,0.8713,0.1134
1,0,4,-0.1417,0.5628,-0.4702,0.1868,FALSE,Very Small (-0.17),0.6692,0.9098,0.0798
1,2,4,-0.2008,0.1732,-0.4642,0.0627,FALSE,Small (-0.23),0.4685,0.807,0.0766
1,q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3991,0.0372,0.0187,0.7795,TRUE,Small (0.37),3.5932,1.0687,0.1391
1,0,4,0.5689,0.002,0.1785,0.9594,TRUE,Medium (0.56),3.9923,1.0675,0.0936
1,2,4,0.1699,0.4106,-0.1433,0.483,FALSE,Very Small (0.17),4.1622,0.9586,0.091
1,q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4576,0.0128,0.08,0.8353,TRUE,Small (0.42),3.5424,1.1792,0.1535
1,0,4,0.5477,0.0028,0.1601,0.9353,TRUE,Medium (0.52),4,1.0192,0.0894
1,2,4,0.0901,0.7537,-0.2208,0.401,FALSE,Very Small (0.09),4.0901,0.9298,0.0883
1,q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3421,0.1175,-0.0637,0.7479,FALSE,Small (0.3),3.6271,1.097,0.1428
1,0,4,0.3909,0.071,-0.0256,0.8074,FALSE,Small (0.37),3.9692,1.1743,0.103
1,2,4,0.0488,0.9,-0.2853,0.3829,FALSE,Very Small (0.04),4.018,0.9998,0.0949
1,q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3639,0.0775,-0.0305,0.7582,FALSE,Small (0.31),3.4746,1.2227,0.1592
1,0,4,0.6425,0.001,0.2378,1.0473,TRUE,Medium (0.59),3.8385,1.0983,0.0963
1,2,4,0.2787,0.1088,-0.046,0.6033,FALSE,Small (0.27),4.1171,0.9317,0.0884
1,q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3589,0.0602,-0.0118,0.7297,FALSE,Small (0.34),3.6949,1.0868,0.1415
1,0,4,0.4222,0.0254,0.0416,0.8028,TRUE,Small (0.41),4.0538,1.0063,0.0883
1,2,4,0.0633,0.8649,-0.242,0.3685,FALSE,Very Small (0.06),4.1171,0.951,0.0903
