1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,c_sys_SUS,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,95.2773345,2,47.63866725,0.121863903,0.885319573,0.000940149,-0.006748567,0.0****,0.31
0,,,,,,,,,,
1,,101247.4946,259,390.9169676,,,,,0.0****,0.31
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,17.84431609,2,8.922158044,6.831186639,0.001284857,0.050107292,0.042615918,0.0****,0.11
0,,,,,,,,,,
1,,338.2778213,259,1.306091974,,,,,0.0****,0.11
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,0.675114863,2,0.337557431,0.208275645,0.812119048,0.001605724,-0.006080446,0.0****,0.77
0,,,,,,,,,,
1,,419.7676332,259,1.620724453,,,,,0.0****,0.77
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,4.014480485,2,2.007240243,2.049950121,0.130825061,0.015583055,0.007951159,0.0****,0.66
0,,,,,,,,,,
1,,253.6038401,259,0.979165406,,,,,0.0****,0.66
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,17.23697923,2,8.618489614,5.354837592,0.00526283,0.039708161,0.032173491,0.0****,0.0****
0,,,,,,,,,,
1,,416.8546238,259,1.609477312,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,1.465101462,2,0.732550731,0.70964661,0.492771703,0.005450031,-0.002221362,0.0****,0.31
0,,,,,,,,,,
1,,267.359326,259,1.03227539,,,,,0.0****,0.31
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,0.971550528,2,0.485775264,0.272523411,0.761673678,0.002100009,-0.005584267,0.0****,0.71
0,,,,,,,,,,
1,,461.6696708,259,1.782508382,,,,,0.0****,0.71
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,1.654912178,2,0.827456089,0.866566207,0.421607832,0.006647151,-0.001019617,0.0****,0.41
0,,,,,,,,,,
1,,247.3107367,259,0.954867709,,,,,0.0****,0.41
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,1.112640288,2,0.556320144,0.316880583,0.728699735,0.002440981,-0.005241987,0.0****,0.82
0,,,,,,,,,,
1,,454.7041536,259,1.755614493,,,,,0.0****,0.82
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,2.669225155,2,1.334612577,1.301028282,0.274024899,0.009946621,0.002292657,0.0****,0.12
0,,,,,,,,,,
1,,265.6857367,259,1.025813655,,,,,0.0****,0.12
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,8.011920003,2,4.005960001,2.383403713,0.094256424,0.018072052,0.010449978,0.0****,0.0****
0,,,,,,,,,,
1,,435.3201411,259,1.680772745,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,60.18754409,2,30.09377205,0.864268446,0.422571254,0.006629642,-0.001037193,0.0****,0.07
0,,,,,,,,,,
1,,9018.363448,259,34.81993609,,,,,0.0****,0.07
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,56.58077054,2,28.29038527,1.40192557,0.247983889,0.01070974,0.003058749,0.0****,0.01****
0,,,,,,,,,,
1,,5226.532665,259,20.1796628,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,12.67224724,2,6.336123621,0.623381737,0.536930761,0.004790697,-0.002883238,0.0****,0.09
0,,,,,,,,,,
1,,2632.505768,259,10.16411493,,,,,0.0****,0.09
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,56.58077054,2,28.29038527,1.40192557,0.247983889,0.01070974,0.003058749,0.0****,0.01****
0,,,,,,,,,,
1,,5226.532665,259,20.1796628,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,1.331174352,2,0.665587176,0.549405784,0.577964033,0.004224593,-0.003451523,0.0****,0.12
0,,,,,,,,,,
1,,313.770047,259,1.211467363,,,,,0.0****,0.12
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.856903491,2,0.428451746,0.712234559,0.491505029,0.005469798,-0.002201519,0.18,0.0****
0,,,,,,,,,,
1,,155.8040125,259,0.601559894,,,,,0.18,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,1.446204623,2,0.723102312,0.207059294,0.813105887,0.001596361,-0.006089844,0.0****,0.78
0,,,,,,,,,,
1,,904.492116,259,3.492247552,,,,,0.0****,0.78
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,0.806982699,2,0.403491349,0.519856828,0.595224775,0.003998288,-0.003678698,0.0****,0.13
0,,,,,,,,,,
1,,201.0250784,259,0.776158604,,,,,0.0****,0.13
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,9.061637034,2,4.530818517,3.992531554,0.019600065,0.029908277,0.02233357,0.0****,0.25
0,,,,,,,,,,
1,,293.919279,259,1.134823471,,,,,0.0****,0.25
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,9.738361172,2,4.869180586,4.484093001,0.012177001,0.033467353,0.025907101,0.0****,0.02****
0,,,,,,,,,,
1,,281.2425549,259,1.08587859,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,5.146070138,2,2.573035069,2.038309185,0.132332945,0.015495936,0.007863696,0.0****,0.29
0,,,,,,,,,,
1,,326.9455329,259,1.262337965,,,,,0.0****,0.29
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,10.68683445,2,5.343417227,4.450090654,0.012583892,0.033222006,0.025660754,0.0****,0.0****
0,,,,,,,,,,
1,,310.9925549,259,1.200743455,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,4.862051018,2,2.431025509,2.308418457,0.101460549,0.017513437,0.009889155,0.0****,0.36
0,,,,,,,,,,
1,,272.7562696,259,1.05311301,,,,,0.0****,0.36
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,7.323009763,2,3.661504882,6.116495632,0.002537838,0.045101413,0.037589093,0.0****,0.2
0,,,,,,,,,,
1,,155.0446238,259,0.598627891,,,,,0.0****,0.2
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,0.611751896,2,0.305875948,0.361229218,0.697169757,0.002781656,-0.004900006,0.0****,0.23
0,,,,,,,,,,
1,,219.3119122,259,0.84676414,,,,,0.0****,0.23
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,2.533761875,2,1.266880938,1.081832752,0.340500396,0.008284711,0.000624288,0.0****,0.63
0,,,,,,,,,,
1,,303.302116,259,1.171050641,,,,,0.0****,0.63
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,6.939173586,2,3.469586793,3.224888371,0.041362164,0.024297541,0.016700246,0.0****,0.04****
0,,,,,,,,,,
1,,278.6524295,259,1.075878106,,,,,0.0****,0.04****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_relevance,9.093218311,2,4.546609156,3.332597533,0.037237529,0.025088703,0.017494578,0.0****,0.06
0,,,,,,,,,,
1,,353.3495298,259,1.364283899,,,,,0.0****,0.06
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_searchSim,0.410897605,2,0.205448802,0.119082143,0.887783452,0.000918708,-0.00677009,0.0****,0.9
0,,,,,,,,,,
1,,446.8448276,259,1.725269605,,,,,0.0****,0.9
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_decidDiff,0.69210498,2,0.34605249,0.203510771,0.815991755,0.001569046,-0.006117264,0.0****,0.97
0,,,,,,,,,,
1,,440.4071317,259,1.700413636,,,,,0.0****,0.97
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_recImprove,10.96002537,2,5.480012683,4.438907517,0.012720688,0.033141285,0.025579704,0.0****,0.04****
0,,,,,,,,,,
1,,319.7460815,259,1.234540855,,,,,0.0****,0.04****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_control,15.2396444,2,7.619822202,5.695109438,0.003797413,0.042125114,0.034600432,0.0****,0.04****
0,,,,,,,,,,
1,,346.531348,259,1.337958872,,,,,0.0****,0.04****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_sorting,8.593652038,2,4.296826019,3.404271425,0.034725012,0.025614462,0.018022447,0.0****,0.83
0,,,,,,,,,,
1,,326.906348,259,1.262186672,,,,,0.0****,0.83
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_ageGroup,1.293046615,2,0.646523308,0.612997843,0.542508476,0.004711273,-0.002962968,0.0****,0.21
0,,,,,,,,,,
1,,273.1649687,259,1.054690999,,,,,0.0****,0.21
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_dem_onlineUsage,26.18071741,2,13.09035871,34.16265858,6.80E-14,0.20873826,0.202010974,0.0****,0.01****
0,,,,,,,,,,
1,,99.24294671,259,0.3831774,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dem_genderCat,0.893754936,2,0.446877468,1.654363458,0.193227824,0.012613865,0.004970313,0.0****,0.06
0,,,,,,,,,,
1,,69.9612069,259,0.27012049,,,,,0.0****,0.06
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_All_IndexAvg,78.27631673,2,39.13815837,0.239244012,0.787396545,0.001844037,-0.005841219,0.0****,0.69
0,,,,,,,,,,
1,,42370.05956,259,163.5909636,,,,,0.0****,0.69
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Title_IndexAvg,118.0640629,2,59.03203146,0.406469785,0.66642131,0.003128942,-0.004551386,0.0****,0.89
0,,,,,,,,,,
1,,37614.84052,259,145.2310445,,,,,0.0****,0.89
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Image_IndexAvg,402.8026544,2,201.4013272,1.231691758,0.293501877,0.009421524,0.001765517,0.0****,0.8
0,,,,,,,,,,
1,,42350.64773,259,163.5160144,,,,,0.0****,0.8
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Plot_IndexAvg,45.52095946,2,22.76047973,0.153355414,0.85790262,0.001182811,-0.006504977,0.0****,0.84
0,,,,,,,,,,
1,,38439.88362,259,148.4165391,,,,,0.0****,0.84
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Genre_IndexAvg,724.2311404,2,362.1155702,2.218020471,0.110887405,0.016839157,0.009212212,0.0****,0.07
0,,,,,,,,,,
1,,42284.52077,259,163.2606979,,,,,0.0****,0.07
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Stars_IndexAvg,845.3460061,2,422.6730031,2.797581592,0.062800524,0.021146128,0.013536252,0.02****,0.98
0,,,,,,,,,,
1,,39131.05094,259,151.0851388,,,,,0.02****,0.98
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Director_IndexAvg,917.8703098,2,458.9351549,2.753926675,0.065542728,0.020823024,0.013211863,0.0****,0.61
0,,,,,,,,,,
1,,43161.71748,259,166.6475578,,,,,0.0****,0.61
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Date_IndexAvg,49.84302687,2,24.92151344,0.153497391,0.85778097,0.001183905,-0.006503879,0.0****,0.87
0,,,,,,,,,,
1,,42050.69514,259,162.3578963,,,,,0.0****,0.87
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Tag_IndexAvg,97.02067829,2,48.51033914,0.243062827,0.784400925,0.001873417,-0.005811727,0.0****,0.51
0,,,,,,,,,,
1,,51691.07092,259,199.5794244,,,,,0.0****,0.51
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_SVD_IndexAvg,91.31455945,2,45.65727973,0.254810372,0.775257527,0.001963784,-0.005721014,0.0****,0.18
0,,,,,,,,,,
1,,46407.98315,259,179.1814021,,,,,0.0****,0.18
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Baseline_IndexAvg,78.15372766,2,39.07686383,0.24046089,0.786440731,0.001853399,-0.005831821,0.0****,0.68
0,,,,,,,,,,
