1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,c_sys_SUS,-,-,-,-,-,-,-,-,-,-
1,0,2,1.056,0.9,-6.4396,8.5517,FALSE,Very Small (0.05),68.6638,22.1202,2.9045
1,0,4,1.6487,0.8622,-6.2344,9.5318,FALSE,Very Small (0.08),69.7198,19.3615,1.7977
1,2,4,0.5927,0.9,-5.9964,7.1817,FALSE,Very Small (0.03),70.3125,18.646,1.9877
1,q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4397,0.0458,0.0064,0.8729,TRUE,Small (0.36),3.1379,1.2766,0.1676
1,0,4,0.7143,0.001,0.2587,1.17,TRUE,Medium (0.61),3.5776,1.1356,0.1054
1,2,4,0.2747,0.2073,-0.1062,0.6555,FALSE,Small (0.25),3.8523,1.0563,0.1126
1,q_sys_complex,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.1207,0.8071,-0.6033,0.3619,FALSE,Very Small (-0.1),2.431,1.272,0.167
1,0,4,-0.1242,0.8143,-0.6318,0.3834,FALSE,Very Small (-0.1),2.3103,1.24,0.1151
1,2,4,-0.0035,0.9,-0.4278,0.4207,FALSE,None (-0.0),2.3068,1.3162,0.1403
1,q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1466,0.6175,-0.2286,0.5217,FALSE,Very Small (0.14),3.8621,1.0336,0.1357
1,0,4,0.3311,0.1197,-0.0634,0.7256,FALSE,Small (0.33),4.0086,1,0.0928
1,2,4,0.1846,0.3871,-0.1452,0.5143,FALSE,Very Small (0.19),4.1932,0.9451,0.1008
1,q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2328,0.4913,-0.2482,0.7137,FALSE,Small (0.21),1.5517,1.0289,0.1351
1,0,4,0.6642,0.0062,0.1584,1.17,TRUE,Medium (0.52),1.7845,1.1928,0.1107
1,2,4,0.4314,0.0443,0.0086,0.8542,TRUE,Small (0.32),2.2159,1.489,0.1587
1,q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0086,0.9,-0.3938,0.3766,FALSE,None (-0.01),3.5862,1.0602,0.1392
1,0,4,0.1524,0.6368,-0.2527,0.5575,FALSE,Very Small (0.15),3.5776,1.048,0.0973
1,2,4,0.1611,0.5028,-0.1775,0.4996,FALSE,Very Small (0.16),3.7386,0.9407,0.1003
1,q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0948,0.8916,-0.601,0.4113,FALSE,Very Small (-0.07),2.6552,1.2917,0.1696
1,0,4,-0.1665,0.7224,-0.6989,0.3658,FALSE,Very Small (-0.12),2.5603,1.3272,0.1232
1,2,4,-0.0717,0.9,-0.5166,0.3732,FALSE,Very Small (-0.05),2.4886,1.3729,0.1464
1,q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1638,0.548,-0.2067,0.5342,FALSE,Very Small (0.17),3.8448,1.0226,0.1343
1,0,4,0.212,0.4079,-0.1776,0.6016,FALSE,Small (0.21),4.0086,0.9278,0.0861
1,2,4,0.0482,0.9,-0.2775,0.3738,FALSE,Very Small (0.05),4.0568,1.0098,0.1076
1,q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1121,0.8434,-0.3903,0.6144,FALSE,Very Small (0.09),2.3103,1.3006,0.1708
1,0,4,0.1783,0.6892,-0.35,0.7066,FALSE,Very Small (0.14),2.4224,1.3263,0.1231
1,2,4,0.0662,0.9,-0.3753,0.5078,FALSE,Very Small (0.05),2.4886,1.339,0.1427
1,q_sys_confUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1466,0.6296,-0.2374,0.5305,FALSE,Very Small (0.14),3.7931,1.1357,0.1491
1,0,4,0.2751,0.2453,-0.1287,0.6789,FALSE,Small (0.26),3.9397,1.0068,0.0935
1,2,4,0.1285,0.6308,-0.209,0.4661,FALSE,Very Small (0.13),4.0682,0.9321,0.0994
1,q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3362,0.2424,-0.1553,0.8277,FALSE,Small (0.28),1.8103,1.0672,0.1401
1,0,4,0.4737,0.0801,-0.0432,0.9906,FALSE,Small (0.38),2.1466,1.3072,0.1214
1,2,4,0.1375,0.715,-0.2945,0.5696,FALSE,Very Small (0.1),2.2841,1.4138,0.1507
1,c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-1.0897,0.4869,-3.3267,1.1474,FALSE,Very Small (-0.17),4.1207,7.0774,0.9293
1,0,4,-1.2207,0.4424,-3.5734,1.132,FALSE,Very Small (-0.19),3.031,5.2488,0.4873
1,2,4,-0.131,0.9,-2.0975,1.8355,FALSE,Very Small (-0.02),2.9,5.8673,0.6255
1,c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.6759,0.6091,-2.3789,1.0272,FALSE,Very Small (-0.13),2.9621,5.7225,0.7514
1,0,4,-1.2666,0.2201,-3.0577,0.5245,FALSE,Small (-0.26),2.2862,4.3635,0.4051
1,2,4,-0.5908,0.6121,-2.0878,0.9063,FALSE,Very Small (-0.15),1.6955,3.6677,0.391
1,c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.4138,0.6826,-1.6224,0.7949,FALSE,Very Small (-0.14),1.1586,3.1058,0.4078
1,0,4,0.0459,0.9,-1.2252,1.3171,FALSE,Very Small (0.01),0.7448,2.7122,0.2518
1,2,4,0.4597,0.5608,-0.6027,1.5222,FALSE,Very Small (0.14),1.2045,3.7703,0.4019
1,c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.6759,0.6091,-2.3789,1.0272,FALSE,Very Small (-0.13),2.9621,5.7225,0.7514
1,0,4,-1.2666,0.2201,-3.0577,0.5245,FALSE,Small (-0.26),2.2862,4.3635,0.4051
1,2,4,-0.5908,0.6121,-2.0878,0.9063,FALSE,Very Small (-0.15),1.6955,3.6677,0.391
1,c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.1603,0.6261,-0.5776,0.2569,FALSE,Very Small (-0.15),0.4241,1.1959,0.157
1,0,4,-0.031,0.9,-0.4698,0.4079,FALSE,Very Small (-0.03),0.2638,0.9494,0.0881
1,2,4,0.1294,0.6686,-0.2374,0.4962,FALSE,Very Small (0.12),0.3932,1.2158,0.1296
1,c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.1069,0.654,-0.4009,0.1871,FALSE,Very Small (-0.14),1.7552,0.8035,0.1055
1,0,4,0.013,0.9,-0.2962,0.3222,FALSE,Very Small (0.02),1.6483,0.6691,0.0621
1,2,4,0.1199,0.5187,-0.1386,0.3784,FALSE,Very Small (0.15),1.7682,0.8809,0.0939
1,c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1845,0.7931,-0.524,0.8929,FALSE,Very Small (0.1),1.731,1.7162,0.2253
1,0,4,0.0758,0.9,-0.6693,0.8209,FALSE,Very Small (0.04),1.9155,1.9609,0.1821
1,2,4,-0.1087,0.9,-0.7315,0.5141,FALSE,Very Small (-0.06),1.8068,1.8397,0.1961
1,c_preferecControl,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0517,0.9,-0.2823,0.3857,FALSE,Very Small (0.06),0.6207,0.8751,0.1149
1,0,4,-0.0752,0.8554,-0.4265,0.276,FALSE,Very Small (-0.09),0.6724,0.9115,0.0846
1,2,4,-0.127,0.5611,-0.4206,0.1666,FALSE,Very Small (-0.14),0.5455,0.8429,0.0899
1,q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3534,0.0996,-0.0504,0.7573,FALSE,Small (0.33),3.5862,1.0766,0.1414
1,0,4,0.5047,0.0151,0.08,0.9294,TRUE,Small (0.48),3.9397,1.0977,0.1019
1,2,4,0.1513,0.5697,-0.2038,0.5063,FALSE,Very Small (0.14),4.0909,1.013,0.108
1,q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4483,0.0216,0.0532,0.8433,TRUE,Small (0.4),3.5517,1.1872,0.1559
1,0,4,0.4824,0.0181,0.0669,0.8978,TRUE,Small (0.45),4,1.03,0.0956
1,2,4,0.0341,0.9,-0.3132,0.3814,FALSE,Very Small (0.03),4.0341,0.9523,0.1015
1,q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3017,0.219,-0.1242,0.7277,FALSE,Small (0.26),3.6207,1.1055,0.1452
1,0,4,0.3679,0.1306,-0.08,0.8159,FALSE,Small (0.34),3.9224,1.1953,0.111
1,2,4,0.0662,0.9,-0.3082,0.4406,FALSE,Very Small (0.06),3.9886,1.0338,0.1102
1,q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3017,0.2027,-0.1137,0.7171,FALSE,Small (0.26),3.4828,1.2318,0.1617
1,0,4,0.5513,0.009,0.1144,0.9882,TRUE,Small (0.5),3.7845,1.1097,0.103
1,2,4,0.2496,0.2429,-0.1156,0.6148,FALSE,Small (0.24),4.0341,0.9761,0.1041
1,q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3362,0.1055,-0.0528,0.7253,FALSE,Small (0.32),3.7069,1.0924,0.1434
1,0,4,0.3158,0.1654,-0.0933,0.725,FALSE,Small (0.3),4.0431,1.0077,0.0936
