1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_sys_SUS,137,160,65.86,68.48,21.56,18.05,1.84,1.43,0.0****,0.254,Very Small (-0.13)
0,,,,,,,,,,,,
1,q_sys_freqUse,137,160,3.49,3.7,1.16,1.09,0.1,0.09,0.29,0.108,Very Small (-0.19)
0,,,,,,,,,,,,
1,q_sys_complex,137,160,2.56,2.42,1.38,1.25,0.12,0.1,0.06,0.348,Very Small (0.11)
0,,,,,,,,,,,,
1,q_sys_easeUse,137,160,3.97,4.05,1.05,0.9,0.09,0.07,0.06,0.485,Very Small (-0.08)
0,,,,,,,,,,,,
1,q_sys_techNeed,137,160,2.07,2.18,1.39,1.43,0.12,0.11,0.32,0.511,Very Small (-0.08)
0,,,,,,,,,,,,
1,q_sys_funcInteg,137,160,3.61,3.66,1.09,0.92,0.09,0.07,0.03****,0.672,Very Small (-0.05)
0,,,,,,,,,,,,
1,q_sys_inconsist,137,160,2.8,2.62,1.39,1.3,0.12,0.1,0.22,0.26,Very Small (0.13)
0,,,,,,,,,,,,
1,q_sys_learnUse,137,160,3.82,4.03,1.08,0.9,0.09,0.07,0.0****,0.082,Small (-0.2)
0,,,,,,,,,,,,
1,q_sys_cumbUse,137,160,2.64,2.5,1.48,1.25,0.13,0.1,0.0****,0.395,Very Small (0.1)
0,,,,,,,,,,,,
1,q_sys_confUse,137,160,3.81,3.99,1.13,0.9,0.1,0.07,0.0****,0.121,Very Small (-0.18)
0,,,,,,,,,,,,
1,q_sys_learnToUse,137,160,2.3,2.32,1.39,1.33,0.12,0.11,0.62,0.902,Very Small (-0.01)
0,,,,,,,,,,,,
1,c_moveDistanceAavg,137,160,2.87,2.86,6.25,4.99,0.53,0.39,0.23,0.981,None (0.0)
0,,,,,,,,,,,,
1,c_moveDistanceCavg,137,160,2.06,2.02,4.7,3.99,0.4,0.32,0.48,0.948,None (0.01)
0,,,,,,,,,,,,
1,c_moveDistanceDavg,137,160,0.82,0.83,3.13,2.69,0.27,0.21,0.78,0.958,None (-0.01)
0,,,,,,,,,,,,
1,c_clickCountAvg,137,160,2.06,2.02,4.7,3.99,0.4,0.32,0.48,0.948,None (0.01)
0,,,,,,,,,,,,
1,c_dragCountAvg,137,160,0.24,0.32,0.96,1,0.08,0.08,0.28,0.439,Very Small (-0.09)
0,,,,,,,,,,,,
1,c_movieInListPosAvg,137,160,1.71,1.76,0.77,0.82,0.07,0.06,0.35,0.591,Very Small (-0.06)
0,,,,,,,,,,,,
1,c_moviePosAvg,137,160,1.76,1.79,1.87,1.87,0.16,0.15,0.96,0.917,Very Small (-0.01)
0,,,,,,,,,,,,
1,c_preferecControl,137,160,0.5,0.66,0.84,0.89,0.07,0.07,0.04****,0.132,Very Small (-0.18)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore1,137,160,3.96,3.99,1.08,1.02,0.09,0.08,0.19,0.804,Very Small (-0.03)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore2,137,160,3.88,4.02,1.07,1,0.09,0.08,0.11,0.237,Very Small (-0.14)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore3,137,160,3.99,3.89,1.01,1.17,0.09,0.09,0.04****,0.446,Very Small (0.09)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore4,137,160,3.85,3.88,1.09,1.1,0.09,0.09,0.83,0.869,Very Small (-0.02)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore5,137,160,3.95,4.06,1.05,0.98,0.09,0.08,0.35,0.337,Very Small (-0.11)
0,,,,,,,,,,,,
1,c_outc_listSatAvg,137,160,3.93,3.97,0.82,0.75,0.07,0.06,0.28,0.644,Very Small (-0.05)
0,,,,,,,,,,,,
1,q_outc_diversity,137,160,3.79,3.82,0.92,0.88,0.08,0.07,0.44,0.726,Very Small (-0.04)
0,,,,,,,,,,,,
1,q_outc_novelty,137,160,3.81,3.82,1.11,0.99,0.09,0.08,0.17,0.903,Very Small (-0.01)
0,,,,,,,,,,,,
1,q_outc_serendipity,137,160,3.69,3.61,1.05,0.99,0.09,0.08,0.54,0.462,Very Small (0.09)
0,,,,,,,,,,,,
1,q_outc_relevance,137,160,3.36,3.46,1.21,1.15,0.1,0.09,0.28,0.479,Very Small (-0.08)
0,,,,,,,,,,,,
1,q_proc_searchSim,137,160,2.78,2.51,1.34,1.34,0.11,0.11,0.71,0.086,Small (0.2)
0,,,,,,,,,,,,
1,q_proc_decidDiff,137,160,3.02,2.75,1.35,1.3,0.12,0.1,0.64,0.079,Small (0.21)
0,,,,,,,,,,,,
1,q_proc_recImprove,137,160,3.31,3.42,1.09,1.1,0.09,0.09,0.93,0.41,Very Small (-0.1)
0,,,,,,,,,,,,
1,q_proc_control,137,160,3.31,3.44,1.24,1.08,0.11,0.09,0.04****,0.336,Very Small (-0.11)
0,,,,,,,,,,,,
1,q_proc_sorting,137,160,3.48,3.58,1.18,1.04,0.1,0.08,0.03****,0.47,Very Small (-0.08)
0,,,,,,,,,,,,
1,c_ageGroup,137,160,2.84,2.77,1.04,0.99,0.09,0.08,0.59,0.551,Very Small (0.07)
0,,,,,,,,,,,,
1,q_dem_onlineUsage,137,160,1.61,1.71,0.64,0.68,0.06,0.05,0.64,0.198,Very Small (-0.15)
0,,,,,,,,,,,,
1,c_dem_genderCat,137,160,1,2,0,0,0,0,nan,0.0***,Huge (-inf)
0,,,,,,,,,,,,
1,q_dem_movieUsage,137,160,3.02,3.17,1.86,1.8,0.16,0.14,0.88,0.49,Very Small (-0.08)
0,,,,,,,,,,,,
1,c_All_IndexAvg,137,160,24.22,23.86,13.69,13.27,1.17,1.05,0.48,0.817,Very Small (0.03)
0,,,,,,,,,,,,
1,c_Title_IndexAvg,137,160,25.45,25.68,12.35,12.5,1.05,0.99,0.57,0.874,Very Small (-0.02)
0,,,,,,,,,,,,
1,c_Image_IndexAvg,137,160,26.72,27.65,13.34,12.89,1.14,1.02,0.56,0.54,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_Plot_IndexAvg,137,160,23.62,25.17,12.2,12.33,1.04,0.97,0.71,0.279,Very Small (-0.13)
0,,,,,,,,,,,,
1,c_Genre_IndexAvg,137,160,23.74,24.65,13.77,12.21,1.18,0.97,0.08,0.549,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_Stars_IndexAvg,137,160,25.74,24.74,13.59,11.79,1.16,0.93,0.02****,0.497,Very Small (0.08)
0,,,,,,,,,,,,
1,c_Director_IndexAvg,137,160,24.05,23.41,12.75,13.26,1.09,1.05,0.58,0.674,Very Small (0.05)
0,,,,,,,,,,,,
1,c_Date_IndexAvg,137,160,26.18,28.78,13.23,12.32,1.13,0.97,0.28,0.081,Small (-0.2)
0,,,,,,,,,,,,
1,c_Tag_IndexAvg,137,160,22.85,21.81,13.96,14.41,1.19,1.14,0.83,0.53,Very Small (0.07)
0,,,,,,,,,,,,
1,c_SVD_IndexAvg,137,160,23.99,23.74,13.74,13.51,1.17,1.07,0.77,0.879,Very Small (0.02)
0,,,,,,,,,,,,
1,c_Baseline_IndexAvg,137,160,28.45,25.51,12.76,13.33,1.09,1.05,0.54,0.055,Small (0.22)
0,,,,,,,,,,,,
1,c_All_Picked,137,160,0.54,0.46,0.98,0.85,0.08,0.07,0.15,0.43,Very Small (0.09)
0,,,,,,,,,,,,
