1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_sys_SUS,121,138,67.79,71.11,21.91,17.52,1.99,1.49,0.0****,0.178,Very Small (-0.17)
0,,,,,,,,,,,,
1,q_sys_freqUse,121,138,3.45,3.68,1.2,1.13,0.11,0.1,0.31,0.119,Very Small (-0.19)
0,,,,,,,,,,,,
1,q_sys_complex,121,138,2.42,2.28,1.36,1.19,0.12,0.1,0.01****,0.358,Very Small (0.11)
0,,,,,,,,,,,,
1,q_sys_easeUse,121,138,3.98,4.09,1.07,0.92,0.1,0.08,0.13,0.405,Very Small (-0.1)
0,,,,,,,,,,,,
1,q_sys_techNeed,121,138,1.85,1.92,1.28,1.31,0.12,0.11,0.47,0.669,Very Small (-0.05)
0,,,,,,,,,,,,
1,q_sys_funcInteg,121,138,3.59,3.67,1.12,0.92,0.1,0.08,0.01****,0.529,Very Small (-0.08)
0,,,,,,,,,,,,
1,q_sys_inconsist,121,138,2.67,2.47,1.41,1.26,0.13,0.11,0.03****,0.233,Very Small (0.15)
0,,,,,,,,,,,,
1,q_sys_learnUse,121,138,3.85,4.1,1.09,0.86,0.1,0.07,0.0****,0.04*,Small (-0.26)
0,,,,,,,,,,,,
1,q_sys_cumbUse,121,138,2.51,2.36,1.44,1.22,0.13,0.1,0.0****,0.342,Very Small (0.12)
0,,,,,,,,,,,,
1,q_sys_confUse,121,138,3.83,4.04,1.13,0.89,0.1,0.08,0.01****,0.098,Small (-0.21)
0,,,,,,,,,,,,
1,q_sys_learnToUse,121,138,2.14,2.12,1.35,1.27,0.12,0.11,0.56,0.88,Very Small (0.02)
0,,,,,,,,,,,,
1,c_moveDistanceAavg,121,138,3.12,3.28,6.53,5.24,0.59,0.45,0.27,0.828,Very Small (-0.03)
0,,,,,,,,,,,,
1,c_moveDistanceCavg,121,138,2.19,2.31,4.87,4.21,0.44,0.36,0.68,0.834,Very Small (-0.03)
0,,,,,,,,,,,,
1,c_moveDistanceDavg,121,138,0.92,0.97,3.32,2.88,0.3,0.24,0.82,0.915,Very Small (-0.01)
0,,,,,,,,,,,,
1,c_clickCountAvg,121,138,2.19,2.31,4.87,4.21,0.44,0.36,0.68,0.834,Very Small (-0.03)
0,,,,,,,,,,,,
1,c_dragCountAvg,121,138,0.27,0.37,1.02,1.07,0.09,0.09,0.26,0.409,Very Small (-0.1)
0,,,,,,,,,,,,
1,c_movieInListPosAvg,121,138,1.67,1.77,0.74,0.81,0.07,0.07,0.26,0.321,Very Small (-0.12)
0,,,,,,,,,,,,
1,c_moviePosAvg,121,138,1.83,1.87,1.79,1.94,0.16,0.17,0.65,0.868,Very Small (-0.02)
0,,,,,,,,,,,,
1,c_preferecControl,121,138,0.5,0.72,0.84,0.91,0.08,0.08,0.01****,0.045*,Small (-0.25)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore1,121,138,3.91,3.92,1.12,1.05,0.1,0.09,0.16,0.934,Very Small (-0.01)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore2,121,138,3.86,3.98,1.1,1.01,0.1,0.09,0.09,0.366,Very Small (-0.11)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore3,121,138,3.93,3.86,1.02,1.21,0.09,0.1,0.03****,0.575,Very Small (0.07)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore4,121,138,3.79,3.8,1.1,1.13,0.1,0.1,0.68,0.89,Very Small (-0.02)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore5,121,138,3.93,4,1.06,1.02,0.1,0.09,0.43,0.565,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_outc_listSatAvg,121,138,3.88,3.91,0.83,0.76,0.08,0.06,0.47,0.769,Very Small (-0.04)
0,,,,,,,,,,,,
1,q_outc_diversity,121,138,3.83,3.84,0.94,0.88,0.09,0.08,0.34,0.959,None (-0.01)
0,,,,,,,,,,,,
1,q_outc_novelty,121,138,3.8,3.83,1.16,1.02,0.11,0.09,0.09,0.815,Very Small (-0.03)
0,,,,,,,,,,,,
1,q_outc_serendipity,121,138,3.66,3.59,1.08,1.02,0.1,0.09,0.45,0.607,Very Small (0.06)
0,,,,,,,,,,,,
1,q_outc_relevance,121,138,3.3,3.36,1.22,1.15,0.11,0.1,0.31,0.661,Very Small (-0.05)
0,,,,,,,,,,,,
1,q_proc_searchSim,121,138,2.64,2.33,1.35,1.27,0.12,0.11,0.1,0.051,Small (0.24)
0,,,,,,,,,,,,
1,q_proc_decidDiff,121,138,2.9,2.56,1.34,1.26,0.12,0.11,0.87,0.035*,Small (0.26)
0,,,,,,,,,,,,
1,q_proc_recImprove,121,138,3.25,3.39,1.12,1.14,0.1,0.1,0.74,0.309,Very Small (-0.13)
0,,,,,,,,,,,,
1,q_proc_control,121,138,3.25,3.39,1.27,1.1,0.12,0.09,0.04****,0.33,Very Small (-0.12)
0,,,,,,,,,,,,
1,q_proc_sorting,121,138,3.42,3.56,1.22,1.06,0.11,0.09,0.03****,0.336,Very Small (-0.12)
0,,,,,,,,,,,,
1,c_ageGroup,121,138,2.81,2.83,1.04,1.02,0.09,0.09,0.79,0.9,Very Small (-0.02)
0,,,,,,,,,,,,
1,q_dem_onlineUsage,121,138,1.6,1.72,0.65,0.7,0.06,0.06,0.8,0.153,Very Small (-0.18)
0,,,,,,,,,,,,
1,c_dem_genderCat,121,138,1,2,0,0,0,0,nan,0.0***,Huge (-inf)
0,,,,,,,,,,,,
1,q_dem_movieUsage,121,138,2.92,3.1,1.9,1.87,0.17,0.16,0.81,0.433,Very Small (-0.1)
0,,,,,,,,,,,,
1,c_All_IndexAvg,121,138,23.74,22.9,13.59,12.15,1.24,1.03,0.11,0.598,Very Small (0.07)
0,,,,,,,,,,,,
1,c_Title_IndexAvg,121,138,26.02,26.07,12.17,12.02,1.11,1.02,0.86,0.975,None (-0.0)
0,,,,,,,,,,,,
1,c_Image_IndexAvg,121,138,26.25,27.65,12.82,12.91,1.17,1.1,0.98,0.382,Very Small (-0.11)
0,,,,,,,,,,,,
1,c_Plot_IndexAvg,121,138,23.21,25.36,12.38,11.8,1.13,1,0.79,0.153,Very Small (-0.18)
0,,,,,,,,,,,,
1,c_Genre_IndexAvg,121,138,23.88,25.3,13.84,11.93,1.26,1.02,0.04****,0.378,Very Small (-0.11)
0,,,,,,,,,,,,
1,c_Stars_IndexAvg,121,138,26.26,24.86,13.48,11.45,1.23,0.97,0.01****,0.367,Very Small (0.11)
0,,,,,,,,,,,,
1,c_Director_IndexAvg,121,138,24.36,23.73,12.88,13.09,1.17,1.11,0.79,0.697,Very Small (0.05)
0,,,,,,,,,,,,
1,c_Date_IndexAvg,121,138,26.54,29.2,13.25,12.25,1.2,1.04,0.23,0.094,Small (-0.21)
0,,,,,,,,,,,,
1,c_Tag_IndexAvg,121,138,22.83,21.16,14.26,14.04,1.3,1.2,0.63,0.345,Very Small (0.12)
0,,,,,,,,,,,,
1,c_SVD_IndexAvg,121,138,23.62,22.71,13.56,13.18,1.23,1.12,0.92,0.585,Very Small (0.07)
0,,,,,,,,,,,,
1,c_Baseline_IndexAvg,121,138,28.29,26.06,12.47,12.98,1.13,1.1,0.7,0.161,Very Small (0.18)
0,,,,,,,,,,,,
1,c_All_Picked,121,138,0.57,0.49,1.01,0.87,0.09,0.07,0.19,0.469,Very Small (0.09)
0,,,,,,,,,,,,
1,c_Title_Picked,121,138,0.26,0.28,0.71,0.73,0.06,0.06,0.66,0.77,Very Small (-0.04)
0,,,,,,,,,,,,
1,c_Image_Picked,121,138,0.29,0.26,0.68,0.52,0.06,0.04,0.21,0.703,Very Small (0.05)
0,,,,,,,,,,,,
1,c_Plot_Picked,121,138,0.45,0.4,0.73,0.71,0.07,0.06,0.39,0.595,Very Small (0.07)
0,,,,,,,,,,,,
1,c_Genre_Picked,121,138,0.49,0.32,0.91,0.65,0.08,0.06,0.0****,0.085,Small (0.22)
0,,,,,,,,,,,,
1,c_Stars_Picked,121,138,0.39,0.29,0.71,0.77,0.06,0.07,0.17,0.286,Very Small (0.13)
0,,,,,,,,,,,,
1,c_Director_Picked,121,138,0.56,0.62,0.98,0.87,0.09,0.07,0.49,0.639,Very Small (-0.06)
0,,,,,,,,,,,,
1,c_Date_Picked,121,138,0.28,0.23,0.7,0.58,0.06,0.05,0.28,0.538,Very Small (0.08)
0,,,,,,,,,,,,
1,c_Tag_Picked,121,138,0.93,1.01,1.26,1.28,0.11,0.11,0.55,0.575,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_SVD_Picked,121,138,0.68,0.79,1.17,1.14,0.11,0.1,0.87,0.435,Very Small (-0.1)
0,,,,,,,,,,,,
1,c_Baseline_Picked,121,138,0.12,0.31,0.39,0.68,0.04,0.06,0.0****,0.006**,Small (-0.35)
