1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_sys_SUS,123,162,72.48,64.34,20.06,18.75,1.81,1.47,0.3,0.001***,Small (0.42)
0,,,,,,,,,,,,
1,q_sys_freqUse,123,162,3.72,3.59,1.17,1.06,0.11,0.08,0.33,0.355,Very Small (0.11)
0,,,,,,,,,,,,
1,q_sys_complex,123,162,2.11,2.72,1.24,1.32,0.11,0.1,0.05****,0.0***,Small (-0.47)
0,,,,,,,,,,,,
1,q_sys_easeUse,123,162,4.12,3.97,1.03,0.94,0.09,0.07,0.06,0.192,Very Small (0.16)
0,,,,,,,,,,,,
1,q_sys_techNeed,123,162,1.94,2.26,1.39,1.42,0.13,0.11,0.59,0.061,Small (-0.22)
0,,,,,,,,,,,,
1,q_sys_funcInteg,123,162,3.71,3.6,1.06,0.97,0.1,0.08,0.26,0.397,Very Small (0.1)
0,,,,,,,,,,,,
1,q_sys_inconsist,123,162,2.37,2.9,1.31,1.32,0.12,0.1,0.8,0.001***,Small (-0.41)
0,,,,,,,,,,,,
1,q_sys_learnUse,123,162,4.08,3.86,1,0.95,0.09,0.07,0.41,0.062,Small (0.22)
0,,,,,,,,,,,,
1,q_sys_cumbUse,123,162,2.3,2.73,1.37,1.34,0.12,0.11,0.75,0.008**,Small (-0.32)
0,,,,,,,,,,,,
1,q_sys_confUse,123,162,4,3.9,1.05,0.99,0.09,0.08,0.58,0.416,Very Small (0.1)
0,,,,,,,,,,,,
1,q_sys_learnToUse,123,162,1.91,2.58,1.26,1.36,0.11,0.11,0.02****,0.0***,Medium (-0.51)
0,,,,,,,,,,,,
1,c_moveDistanceAavg,123,162,3.5,2.35,6.23,4.96,0.56,0.39,0.0****,0.083,Small (0.21)
0,,,,,,,,,,,,
1,c_moveDistanceCavg,123,162,2.13,1.8,4.28,4.02,0.39,0.32,0.47,0.513,Very Small (0.08)
0,,,,,,,,,,,,
1,c_moveDistanceDavg,123,162,1.38,0.55,3.81,2.29,0.34,0.18,0.0****,0.023*,Small (0.27)
0,,,,,,,,,,,,
1,c_clickCountAvg,123,162,2.13,1.8,4.28,4.02,0.39,0.32,0.47,0.513,Very Small (0.08)
0,,,,,,,,,,,,
1,c_dragCountAvg,123,162,0.42,0.23,1.2,0.93,0.11,0.07,0.01****,0.142,Very Small (0.18)
0,,,,,,,,,,,,
1,c_movieInListPosAvg,123,162,1.64,1.76,0.82,0.76,0.07,0.06,0.25,0.216,Very Small (-0.15)
0,,,,,,,,,,,,
1,c_moviePosAvg,123,162,1.6,1.87,1.89,1.83,0.17,0.14,0.57,0.236,Very Small (-0.14)
0,,,,,,,,,,,,
1,c_preferecControl,123,162,0.61,0.54,0.86,0.86,0.08,0.07,0.85,0.518,Very Small (0.08)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore1,123,162,3.96,4.06,1.13,0.94,0.1,0.07,0.02****,0.407,Very Small (-0.1)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore2,123,162,4.03,3.98,0.99,1.01,0.09,0.08,0.78,0.633,Very Small (0.06)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore3,123,162,3.88,4,1.15,1.06,0.1,0.08,0.11,0.354,Very Small (-0.11)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore4,123,162,4,3.83,1.01,1.12,0.09,0.09,0.04****,0.179,Very Small (0.16)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore5,123,162,3.98,4.06,1.08,0.94,0.1,0.07,0.01****,0.515,Very Small (-0.08)
0,,,,,,,,,,,,
1,c_outc_listSatAvg,123,162,3.97,3.99,0.76,0.76,0.07,0.06,0.85,0.874,Very Small (-0.02)
0,,,,,,,,,,,,
1,q_outc_diversity,123,162,3.89,3.71,0.87,0.92,0.08,0.07,0.39,0.103,Very Small (0.2)
0,,,,,,,,,,,,
1,q_outc_novelty,123,162,3.9,3.73,1.07,1.03,0.1,0.08,0.47,0.18,Very Small (0.16)
