1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_sys_SUS,109,139,74.59,66.83,19.69,18.9,1.89,1.6,0.57,0.002**,Small (0.4)
0,,,,,,,,,,,,
1,q_sys_freqUse,109,139,3.71,3.55,1.22,1.09,0.12,0.09,0.23,0.279,Very Small (0.14)
0,,,,,,,,,,,,
1,q_sys_complex,109,139,2.03,2.53,1.22,1.28,0.12,0.11,0.07,0.002**,Small (-0.4)
0,,,,,,,,,,,,
1,q_sys_easeUse,109,139,4.18,3.97,1.03,0.97,0.1,0.08,0.13,0.097,Small (0.21)
0,,,,,,,,,,,,
1,q_sys_techNeed,109,139,1.74,1.99,1.29,1.3,0.12,0.11,1,0.145,Very Small (-0.19)
0,,,,,,,,,,,,
1,q_sys_funcInteg,109,139,3.7,3.6,1.08,0.98,0.1,0.08,0.23,0.446,Very Small (0.1)
0,,,,,,,,,,,,
1,q_sys_inconsist,109,139,2.24,2.75,1.28,1.32,0.12,0.11,0.48,0.003**,Small (-0.39)
0,,,,,,,,,,,,
1,q_sys_learnUse,109,139,4.15,3.9,1,0.93,0.1,0.08,0.2,0.046*,Small (0.26)
0,,,,,,,,,,,,
1,q_sys_cumbUse,109,139,2.21,2.55,1.35,1.3,0.13,0.11,0.89,0.048*,Small (-0.25)
0,,,,,,,,,,,,
1,q_sys_confUse,109,139,4.07,3.91,1.01,1.01,0.1,0.09,0.75,0.198,Very Small (0.17)
0,,,,,,,,,,,,
1,q_sys_learnToUse,109,139,1.75,2.37,1.19,1.33,0.11,0.11,0.01****,0.0***,Small (-0.49)
0,,,,,,,,,,,,
1,c_moveDistanceAavg,109,139,3.8,2.7,6.46,5.26,0.62,0.45,0.01****,0.139,Very Small (0.19)
0,,,,,,,,,,,,
1,c_moveDistanceCavg,109,139,2.25,2.06,4.4,4.27,0.42,0.36,0.83,0.737,Very Small (0.04)
0,,,,,,,,,,,,
1,c_moveDistanceDavg,109,139,1.55,0.64,4.02,2.46,0.38,0.21,0.0****,0.028*,Small (0.28)
0,,,,,,,,,,,,
1,c_clickCountAvg,109,139,2.25,2.06,4.4,4.27,0.42,0.36,0.83,0.737,Very Small (0.04)
0,,,,,,,,,,,,
1,c_dragCountAvg,109,139,0.47,0.27,1.26,1,0.12,0.08,0.01****,0.161,Very Small (0.18)
0,,,,,,,,,,,,
1,c_movieInListPosAvg,109,139,1.62,1.75,0.81,0.72,0.08,0.06,0.15,0.182,Very Small (-0.17)
0,,,,,,,,,,,,
1,c_moviePosAvg,109,139,1.69,1.93,1.95,1.78,0.19,0.15,0.75,0.298,Very Small (-0.13)
0,,,,,,,,,,,,
1,c_preferecControl,109,139,0.63,0.58,0.86,0.88,0.08,0.07,0.7,0.653,Very Small (0.06)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore1,109,139,3.88,4.01,1.17,0.97,0.11,0.08,0.0****,0.354,Very Small (-0.12)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore2,109,139,4.02,3.93,1.02,1.03,0.1,0.09,0.7,0.491,Very Small (0.09)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore3,109,139,3.82,3.96,1.17,1.09,0.11,0.09,0.21,0.308,Very Small (-0.13)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore4,109,139,3.95,3.73,1.02,1.15,0.1,0.1,0.02****,0.116,Small (0.2)
0,,,,,,,,,,,,
1,q_outc_satisfactionScore5,109,139,3.95,3.99,1.09,0.97,0.1,0.08,0.02****,0.769,Very Small (-0.04)
0,,,,,,,,,,,,
