Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,23,76,69.13,64.61,22.93,19.52,4.78,2.24,0.12,0.352,Small (0.22)
q_sys_freqUse,23,76,3.26,3.47,1.39,1.16,0.29,0.13,0.29,0.464,Very Small (-0.17)
q_sys_complex,23,76,2.17,2.67,1.27,1.29,0.26,0.15,0.85,0.107,Small (-0.39)
q_sys_easeUse,23,76,4.09,3.8,1,0.99,0.21,0.11,0.89,0.232,Small (0.29)
q_sys_techNeed,23,76,1.74,1.96,1.25,1.18,0.26,0.14,0.78,0.44,Very Small (-0.18)
q_sys_funcInteg,23,76,3.39,3.45,1.08,1.05,0.22,0.12,0.94,0.824,Very Small (-0.05)
q_sys_inconsist,23,76,2.87,2.61,1.63,1.21,0.34,0.14,0.01****,0.402,Small (0.2)
q_sys_learnUse,23,76,4.13,3.66,0.92,0.99,0.19,0.11,0.23,0.044*,Small (0.49)
q_sys_cumbUse,23,76,2.52,2.76,1.5,1.28,0.31,0.15,0.14,0.45,Very Small (-0.18)
q_sys_confUse,23,76,4.04,3.83,1.02,1.09,0.21,0.12,0.73,0.403,Very Small (0.2)
q_sys_learnToUse,23,76,1.96,2.37,1.33,1.29,0.28,0.15,0.68,0.187,Small (-0.32)
c_moveDistanceAavg,23,76,11.63,7.89,6.84,6.44,1.43,0.74,0.42,0.018*,Medium (0.57)
c_moveDistanceCavg,23,76,2.37,7.28,3.09,5.66,0.65,0.65,0.0****,0.0***,Large (-0.95)
c_moveDistanceDavg,23,76,9.26,0.62,5.44,1.83,1.13,0.21,0.0****,0.0***,Huge (2.84)
c_clickCountAvg,23,76,2.37,7.28,3.09,5.66,0.65,0.65,0.0****,0.0***,Large (-0.95)
c_dragCountAvg,23,76,3.03,0.27,1.88,0.82,0.39,0.09,0.0****,0.0***,Huge (2.4)
c_movieInListPosAvg,23,76,1.49,1.52,0.61,0.77,0.13,0.09,0.22,0.846,Very Small (-0.05)
c_moviePosAvg,23,76,1.51,1.18,1.75,1.95,0.37,0.22,0.84,0.467,Very Small (0.17)
c_preferecControl,23,76,1,2,0,0,0,0,nan,0.0***,Huge (-inf)
q_outc_satisfactionScore1,23,76,3.39,3.78,1.44,1,0.3,0.11,0.0****,0.15,Small (-0.35)
q_outc_satisfactionScore2,23,76,3.61,3.83,1.12,1.09,0.23,0.12,0.85,0.4,Small (-0.2)
q_outc_satisfactionScore3,23,76,3.43,3.99,1.12,1.13,0.23,0.13,0.47,0.042*,Small (-0.49)
q_outc_satisfactionScore4,23,76,3.57,3.84,1.27,1.12,0.27,0.13,0.34,0.317,Small (-0.24)
q_outc_satisfactionScore5,23,76,3.7,3.83,1.06,1.09,0.22,0.12,0.78,0.606,Very Small (-0.12)
c_outc_listSatAvg,23,76,3.54,3.85,0.86,0.78,0.18,0.09,0.56,0.103,Small (-0.39)
q_outc_diversity,23,76,3.83,3.66,0.78,0.93,0.16,0.11,0.19,0.434,Very Small (0.19)
q_outc_novelty,23,76,3.7,3.64,1.02,1.16,0.21,0.13,0.26,0.851,Very Small (0.04)
q_outc_serendipity,23,76,3.3,3.47,1.26,1,0.26,0.11,0.08,0.505,Very Small (-0.16)
