Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,22,70,70,65.32,23.08,19.9,4.92,2.38,0.18,0.357,Small (0.23)
q_sys_freqUse,22,70,3.18,3.41,1.37,1.17,0.29,0.14,0.47,0.438,Very Small (-0.19)
q_sys_complex,22,70,2.14,2.6,1.28,1.29,0.27,0.15,0.87,0.144,Small (-0.36)
q_sys_easeUse,22,70,4.09,3.77,1.02,0.98,0.22,0.12,0.89,0.19,Small (0.32)
q_sys_techNeed,22,70,1.64,1.83,1.18,1.08,0.25,0.13,0.86,0.477,Very Small (-0.17)
q_sys_funcInteg,22,70,3.41,3.44,1.1,1.07,0.23,0.13,0.92,0.898,Very Small (-0.03)
q_sys_inconsist,22,70,2.77,2.53,1.6,1.21,0.34,0.14,0.01****,0.449,Very Small (0.19)
q_sys_learnUse,22,70,4.14,3.64,0.94,0.99,0.2,0.12,0.33,0.043*,Medium (0.5)
q_sys_cumbUse,22,70,2.45,2.69,1.5,1.26,0.32,0.15,0.13,0.475,Very Small (-0.18)
q_sys_confUse,22,70,4.09,3.77,1.02,1.09,0.22,0.13,0.65,0.228,Small (0.3)
q_sys_learnToUse,22,70,1.91,2.27,1.34,1.25,0.29,0.15,0.92,0.247,Small (-0.28)
c_moveDistanceAavg,22,70,12.15,8.27,6.53,6.47,1.39,0.77,0.61,0.016*,Medium (0.6)
c_moveDistanceCavg,22,70,2.47,7.6,3.12,5.67,0.67,0.68,0.0****,0.0***,Large (-0.99)
c_moveDistanceDavg,22,70,9.67,0.67,5.19,1.9,1.11,0.23,0.0****,0.0***,Huge (3.0)
c_clickCountAvg,22,70,2.47,7.6,3.12,5.67,0.67,0.68,0.0****,0.0***,Large (-0.99)
c_dragCountAvg,22,70,3.16,0.29,1.82,0.85,0.39,0.1,0.0****,0.0***,Huge (2.49)
c_movieInListPosAvg,22,70,1.5,1.51,0.63,0.74,0.13,0.09,0.29,0.948,Very Small (-0.02)
c_moviePosAvg,22,70,1.55,1.09,1.78,1.72,0.38,0.21,0.49,0.271,Small (0.27)
c_preferecControl,22,70,1,2,0,0,0,0,nan,0.0***,Huge (-inf)
q_outc_satisfactionScore1,22,70,3.32,3.71,1.43,1.01,0.3,0.12,0.01****,0.152,Small (-0.35)
q_outc_satisfactionScore2,22,70,3.55,3.83,1.1,1.1,0.23,0.13,0.93,0.296,Small (-0.26)
q_outc_satisfactionScore3,22,70,3.41,3.94,1.14,1.14,0.24,0.14,0.49,0.059,Small (-0.47)
q_outc_satisfactionScore4,22,70,3.5,3.8,1.26,1.12,0.27,0.13,0.38,0.292,Small (-0.26)
q_outc_satisfactionScore5,22,70,3.64,3.79,1.05,1.1,0.22,0.13,0.6,0.576,Very Small (-0.14)
c_outc_listSatAvg,22,70,3.48,3.81,0.83,0.78,0.18,0.09,0.71,0.09,Small (-0.42)
q_outc_diversity,22,70,3.77,3.64,0.75,0.95,0.16,0.11,0.14,0.559,Very Small (0.14)
q_outc_novelty,22,70,3.73,3.64,1.03,1.2,0.22,0.14,0.16,0.768,Very Small (0.07)
q_outc_serendipity,22,70,3.32,3.43,1.29,1,0.27,0.12,0.05,0.675,Very Small (-0.1)
q_outc_relevance,22,70,3.23,3.13,1.07,1.12,0.23,0.13,0.61,0.715,Very Small (0.09)
q_proc_searchSim,22,70,2.41,2.63,1.56,1.29,0.33,0.15,0.03****,0.51,Very Small (-0.16)
q_proc_decidDiff,22,70,2.59,2.69,1.4,1.22,0.3,0.15,0.21,0.76,Very Small (-0.07)
q_proc_recImprove,22,70,3.27,3.23,1.28,1.04,0.27,0.12,0.19,0.87,Very Small (0.04)
q_proc_control,22,70,3.09,3.14,1.06,1.08,0.23,0.13,0.52,0.844,Very Small (-0.05)
q_proc_sorting,22,70,3.59,3.43,1.37,1.12,0.29,0.13,0.18,0.577,Very Small (0.14)
c_ageGroup,22,70,2.5,2.93,0.8,1.07,0.17,0.13,0.14,0.086,Small (-0.42)
q_dem_onlineUsage,22,70,1.32,1.77,0.48,0.8,0.1,0.1,0.17,0.014*,Medium (-0.61)
c_dem_genderCat,22,70,1.73,1.61,0.55,0.49,0.12,0.06,0.79,0.362,Small (0.22)
q_dem_movieUsage,22,70,3.09,2.79,2.02,1.72,0.43,0.21,0.12,0.488,Very Small (0.17)
c_All_IndexAvg,22,70,22.41,23.03,12.09,13.36,2.58,1.6,0.33,0.847,Very Small (-0.05)
c_Title_IndexAvg,22,70,28.09,29.83,11.73,11.15,2.5,1.33,0.74,0.53,Very Small (-0.15)
c_Image_IndexAvg,22,70,35.05,27.19,10.29,12.35,2.19,1.48,0.16,0.008**,Medium (0.66)
c_Plot_IndexAvg,22,70,25.73,24.77,10.75,12.47,2.29,1.49,0.34,0.747,Very Small (0.08)
c_Genre_IndexAvg,22,70,23.32,21.99,10.04,11.49,2.14,1.37,0.33,0.627,Very Small (0.12)
c_Stars_IndexAvg,22,70,25.41,25.11,11.22,11.16,2.39,1.33,0.57,0.914,Very Small (0.03)
c_Director_IndexAvg,22,70,18.91,22.86,11.76,13.89,2.51,1.66,0.22,0.232,Small (-0.29)
c_Date_IndexAvg,22,70,32.05,31.31,8.87,11.63,1.89,1.39,0.03****,0.787,Very Small (0.07)
c_Tag_IndexAvg,22,70,13.77,15.94,9.59,12.01,2.04,1.44,0.19,0.442,Very Small (-0.19)
c_SVD_IndexAvg,22,70,16.41,20.23,12.25,12.1,2.61,1.45,0.93,0.201,Small (-0.31)
c_Baseline_IndexAvg,22,70,33.86,32.74,11.13,10.95,2.37,1.31,0.61,0.678,Very Small (0.1)
c_All_Picked,22,70,0.59,0.57,0.8,0.91,0.17,0.11,0.76,0.928,Very Small (0.02)
c_Title_Picked,22,70,0.14,0.17,0.35,0.61,0.07,0.07,0.53,0.799,Very Small (-0.06)
c_Image_Picked,22,70,0.18,0.2,0.5,0.55,0.11,0.07,0.78,0.891,Very Small (-0.03)
c_Plot_Picked,22,70,0.36,0.51,0.58,0.79,0.12,0.09,0.15,0.413,Small (-0.2)
c_Genre_Picked,22,70,0.32,0.39,0.72,0.69,0.15,0.08,0.58,0.692,Very Small (-0.1)
c_Stars_Picked,22,70,0.32,0.33,0.57,0.81,0.12,0.1,0.7,0.956,Very Small (-0.01)
c_Director_Picked,22,70,0.64,0.59,0.9,0.96,0.19,0.11,0.99,0.827,Very Small (0.05)
c_Date_Picked,22,70,0.09,0.19,0.29,0.6,0.06,0.07,0.16,0.476,Very Small (-0.17)
c_Tag_Picked,22,70,1.41,1.11,1.37,1.3,0.29,0.16,0.55,0.363,Small (0.22)
c_SVD_Picked,22,70,0.82,0.83,0.96,1.15,0.2,0.14,0.36,0.97,None (-0.01)
c_Baseline_Picked,22,70,0.14,0.11,0.47,0.4,0.1,0.05,0.65,0.829,Very Small (0.05)
