,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
,,,,,,,,,
c_sys_SUS,263.25,2,131.625,0.352537254,0.703495015,0.004773529,-0.008708011,0.0****,0.05
,54884.625,147,373.3647959,,,,,0.0****,0.05
q_sys_freqUse,1.24,2,0.62,0.516608094,0.597619497,0.006979624,-0.006487036,0.0****,0.71
,176.42,147,1.200136054,,,,,0.0****,0.71
q_sys_complex,0.213333333,2,0.106666667,0.065230052,0.936879015,0.000886697,-0.012620901,0.0****,0.81
,240.38,147,1.635238095,,,,,0.0****,0.81
q_sys_easeUse,1.96,2,0.98,1.028265525,0.360184387,0.013796987,0.000376732,0.0****,0.41
,140.1,147,0.953061224,,,,,0.0****,0.41
q_sys_techNeed,0.693333333,2,0.346666667,0.185187877,0.831141708,0.002513231,-0.010983488,0.0****,0.72
,275.18,147,1.871972789,,,,,0.0****,0.72
q_sys_funcInteg,1.373333333,2,0.686666667,0.776700523,0.461799081,0.010456853,-0.002986217,0.0****,0.04****
,129.96,147,0.884081633,,,,,0.0****,0.04****
q_sys_inconsist,2.893333333,2,1.446666667,0.841951065,0.432936049,0.011325383,-0.002111769,0.0****,0.42
,252.58,147,1.718231293,,,,,0.0****,0.42
q_sys_learnUse,0.84,2,0.42,0.420973681,0.657196188,0.005694915,-0.007780418,0.0****,0.05
,146.66,147,0.997687075,,,,,0.0****,0.05
q_sys_cumbUse,0.373333333,2,0.186666667,0.104136622,0.901168594,0.00141482,-0.012089249,0.0****,0.41
,263.5,147,1.792517007,,,,,0.0****,0.41
q_sys_confUse,3.893333333,2,1.946666667,1.974334207,0.142518605,0.026159015,0.012824518,0.0****,0.13
,144.94,147,0.985986395,,,,,0.0****,0.13
q_sys_learnToUse,0.333333333,2,0.166666667,0.092965015,0.911278909,0.001263232,-0.01224185,0.0****,0.72
,263.54,147,1.792789116,,,,,0.0****,0.72
c_movieInListPosAvg,0.250133333,2,0.125066667,0.205486556,0.814484527,0.002787941,-0.010706937,0.29,0.25
,89.4696,147,0.608636735,,,,,0.29,0.25
c_moviePosAvg,5.994133333,2,2.997066667,1.158813392,0.316708571,0.015521455,0.002113038,0.0****,0.86
,380.1896,147,2.58632381,,,,,0.0****,0.86
q_outc_satisfactionScore1,1.96,2,0.98,0.905582097,0.406549847,0.012170889,-0.001260492,0.0****,0.73
,159.08,147,1.082176871,,,,,0.0****,0.73
q_outc_satisfactionScore2,1.373333333,2,0.686666667,0.667151355,0.514715106,0.00899524,-0.004457765,0.0****,0.78
,151.3,147,1.029251701,,,,,0.0****,0.78
q_outc_satisfactionScore3,0.52,2,0.26,0.206237859,0.813874541,0.002798106,-0.010696704,0.0****,0.26
,185.32,147,1.260680272,,,,,0.0****,0.26
q_outc_satisfactionScore4,1.773333333,2,0.886666667,0.736134644,0.480718837,0.009916123,-0.003530626,0.0****,0.07
,177.06,147,1.204489796,,,,,0.0****,0.07
q_outc_satisfactionScore5,0.28,2,0.14,0.133480348,0.875150603,0.001812767,-0.011688641,0.0****,0.02****
,154.18,147,1.048843537,,,,,0.0****,0.02****
c_outc_listSatAvg,0.243733333,2,0.121866667,0.205884246,0.814161583,0.002793322,-0.01070152,0.0****,0.47
,87.012,147,0.591918367,,,,,0.0****,0.47
q_outc_diversity,1.12,2,0.56,0.66184274,0.517430184,0.008924303,-0.004529184,0.0****,0.89
,124.38,147,0.846122449,,,,,0.0****,0.89
q_outc_novelty,0.813333333,2,0.406666667,0.368421053,0.692462797,0.004987531,-0.008492569,0.0****,0.13
,162.26,147,1.103809524,,,,,0.0****,0.13
q_outc_serendipity,1.773333333,2,0.886666667,0.865471448,0.42298626,0.011638082,-0.001796937,0.0****,0.8
,150.6,147,1.024489796,,,,,0.0****,0.8
q_outc_relevance,1.853333333,2,0.926666667,0.65813122,0.51933705,0.008874701,-0.004579123,0.0****,0.9
,206.98,147,1.408027211,,,,,0.0****,0.9
q_proc_searchSim,2.44,2,1.22,0.712911433,0.491901791,0.009606299,-0.003842556,0.0****,0.83
,251.56,147,1.711292517,,,,,0.0****,0.83
q_proc_decidDiff,0.973333333,2,0.486666667,0.278474114,0.757336273,0.003774463,-0.009713795,0.0****,0.68
,256.9,147,1.747619048,,,,,0.0****,0.68
q_proc_recImprove,3.36,2,1.68,1.318667236,0.270636765,0.017624843,0.00423092,0.0****,0.19
,187.28,147,1.274013605,,,,,0.0****,0.19
q_proc_control,5.88,2,2.94,2.009391854,0.137736151,0.026611151,0.013279831,0.0****,0.02****
,215.08,147,1.463129252,,,,,0.0****,0.02****
q_proc_sorting,7.84,2,3.92,3.244594595,0.041793274,0.042277826,0.029058274,0.0****,0.07
,177.6,147,1.208163265,,,,,0.0****,0.07
q_dem_movieUsage,2.293333333,2,1.146666667,0.313495016,0.731375446,0.004247123,-0.009237959,0.0****,0.26
,537.68,147,3.657687075,,,,,0.0****,0.26
q_dem_onlineUsage,1.013333333,2,0.506666667,1.177363263,0.310978051,0.015765999,0.002359264,0.0****,0.12
,63.26,147,0.430340136,,,,,0.0****,0.12
c_ageGroup,2.613333333,2,1.306666667,1.273909006,0.282805704,0.017036812,0.003638831,0.0****,0.75
,150.78,147,1.025714286,,,,,0.0****,0.75
c_dem_genderCat,1.493333333,2,0.746666667,2.912951168,0.057457524,0.038121171,0.024871639,0.0****,0.01****
,37.68,147,0.256326531,,,,,0.0****,0.01****
c_All_IndexAvg,2002.813333,2,1001.406667,6.221999334,0.002547552,0.078046203,0.065094355,0.45,0.0****
,23659.08,147,160.9461224,,,,,0.45,0.0****
c_Title_IndexAvg,296.76,2,148.38,0.952695142,0.388068409,0.012795979,-0.00063113,0.04****,0.0****
,22894.9,147,155.747619,,,,,0.04****,0.0****
c_Image_IndexAvg,462.6533333,2,231.3266667,1.3505664,0.262289093,0.018043503,0.004652472,0.01****,0.0****
,25178.34,147,171.2812245,,,,,0.01****,0.0****
c_Plot_IndexAvg,128.0533333,2,64.02666667,0.40779302,0.665866601,0.005517592,-0.007958938,0.03****,0.0****
,23080.14,147,157.0077551,,,,,0.03****,0.0****
c_Genre_IndexAvg,64.89333333,2,32.44666667,0.180436969,0.835089937,0.002448913,-0.011048237,0.01****,0.0****
