,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
c_sys_SUS,752.3333333,2,376.1666667,0.998474206,0.370925877,0.013402613,-2.03E-05,0.0****,0.94
,55381,147,376.7414966,,,,,0.0****,0.94
q_sys_freqUse,10.08,2,5.04,3.835179625,0.023790451,0.049591656,0.036425427,0.0****,0.24
,193.18,147,1.31414966,,,,,0.0****,0.24
q_sys_complex,3.613333333,2,1.806666667,1.085062919,0.340571013,0.014547992,0.001132887,0.0****,0.59
,244.76,147,1.665034014,,,,,0.0****,0.59
q_sys_easeUse,1.053333333,2,0.526666667,0.577674974,0.562470453,0.007798233,-0.005662888,0.0****,0.02****
,134.02,147,0.91170068,,,,,0.0****,0.02****
q_sys_techNeed,2.173333333,2,1.086666667,0.527508091,0.591186265,0.007125839,-0.006339832,0.0****,0.08
,302.82,147,2.06,,,,,0.0****,0.08
q_sys_funcInteg,1.013333333,2,0.506666667,0.453980251,0.635982666,0.006138686,-0.007333654,0.0****,0.79
,164.06,147,1.116054422,,,,,0.0****,0.79
q_sys_inconsist,1.92,2,0.96,0.52348097,0.593554875,0.007071823,-0.006394213,0.0****,0.85
,269.58,147,1.833877551,,,,,0.0****,0.85
q_sys_learnUse,2.893333333,2,1.446666667,1.618417047,0.201723733,0.021544877,0.008178127,0.0****,0.88
,131.4,147,0.893877551,,,,,0.0****,0.88
q_sys_cumbUse,2.28,2,1.14,0.650089223,0.523493259,0.008767208,-0.004687346,0.0****,0.47
,257.78,147,1.753605442,,,,,0.0****,0.47
q_sys_confUse,2.28,2,1.14,1.062111801,0.348362765,0.014244658,0.000827472,0.0****,0.1
,157.78,147,1.073333333,,,,,0.0****,0.1
q_sys_learnToUse,0.013333333,2,0.006666667,0.003636903,0.996369792,4.95E-05,-0.013463704,0.0****,0.3
,269.46,147,1.833061224,,,,,0.0****,0.3
c_moveDistanceAavg,262.2549333,2,131.1274667,2.87528801,0.059577756,0.037646837,0.024393899,0.0****,0.0****
,6703.9328,147,45.60498503,,,,,0.0****,0.0****
c_moveDistanceCavg,53.59573333,2,26.79786667,0.926402823,0.398274754,0.012447234,-0.00098226,0.0****,0.57
,4252.2392,147,28.92679728,,,,,0.0****,0.57
c_moveDistanceDavg,85.0368,2,42.5184,2.640080533,0.074737666,0.034673992,0.021399776,0.0****,0.0****
,2367.4296,147,16.10496327,,,,,0.0****,0.0****
c_clickCountAvg,53.59573333,2,26.79786667,0.926402823,0.398274754,0.012447234,-0.00098226,0.0****,0.57
,4252.2392,147,28.92679728,,,,,0.0****,0.57
c_dragCountAvg,9.5728,2,4.7864,2.49197017,0.086236906,0.032792546,0.019504925,0.0****,0.0****
,282.3472,147,1.920729252,,,,,0.0****,0.0****
c_movieInListPosAvg,0.1936,2,0.0968,0.151753263,0.859334679,0.002060416,-0.011439335,0.13,0.8
,93.768,147,0.637877551,,,,,0.13,0.8
c_moviePosAvg,4.1808,2,2.0904,0.48849072,0.614544098,0.006602253,-0.006866957,0.0****,0.4
,629.0576,147,4.279303401,,,,,0.0****,0.4
c_preferecControl,1.293333333,2,0.646666667,0.78212934,0.459325016,0.010529172,-0.002913405,0.0****,0.45
,121.54,147,0.826802721,,,,,0.0****,0.45
q_outc_satisfactionScore1,3.253333333,2,1.626666667,1.500690348,0.22637202,0.02000902,0.0066316,0.0****,0.06
,159.34,147,1.083945578,,,,,0.0****,0.06
q_outc_satisfactionScore2,3.293333333,2,1.646666667,1.457841484,0.236082956,0.019448819,0.006067514,0.0****,0.37
,166.04,147,1.12952381,,,,,0.0****,0.37
q_outc_satisfactionScore3,4.96,2,2.48,2.109722222,0.124928837,0.02790279,0.014580558,0.0****,0.26
,172.8,147,1.175510204,,,,,0.0****,0.26
q_outc_satisfactionScore4,2.253333333,2,1.126666667,0.960450012,0.385108995,0.012898794,-0.000527611,0.0****,0.22
,172.44,147,1.173061224,,,,,0.0****,0.22
q_outc_satisfactionScore5,3.613333333,2,1.806666667,1.805929553,0.167948124,0.02398124,0.010631484,0.0****,0.24
,147.06,147,1.000408163,,,,,0.0****,0.24
c_outc_listSatAvg,2.875733333,2,1.437866667,2.345180188,0.099405942,0.030920623,0.017619713,0.0****,0.47
,90.128,147,0.613115646,,,,,0.0****,0.47
q_outc_diversity,2.893333333,2,1.446666667,1.881946903,0.155944193,0.024965486,0.011622618,0.0****,0.07
,113,147,0.768707483,,,,,0.0****,0.07
q_outc_novelty,0.04,2,0.02,0.018281308,0.981887013,0.000248663,-0.013263192,0.0****,0.65
,160.82,147,1.094013605,,,,,0.0****,0.65
q_outc_serendipity,1.56,2,0.78,0.745998699,0.47604718,0.010047662,-0.003398193,0.0****,0.95
,153.7,147,1.045578231,,,,,0.0****,0.95
q_outc_relevance,4.013333333,2,2.006666667,1.473573784,0.232469387,0.019654576,0.006274697,0.0****,0.22
,200.18,147,1.361768707,,,,,0.0****,0.22
q_proc_searchSim,0.64,2,0.32,0.175903074,0.838875546,0.002387525,-0.011110036,0.0****,0.93
,267.42,147,1.819183673,,,,,0.0****,0.93
q_proc_decidDiff,0.813333333,2,0.406666667,0.22976401,0.79500599,0.003116299,-0.010376377,0.0****,0.06
,260.18,147,1.769931973,,,,,0.0****,0.06
q_proc_recImprove,2.293333333,2,1.146666667,1.041136504,0.355641708,0.013967274,0.000548186,0.0****,0.45
,161.9,147,1.101360544,,,,,0.0****,0.45
q_proc_control,2.173333333,2,1.086666667,0.911966202,0.403994156,0.012255639,-0.001175163,0.0****,0.35
,175.16,147,1.191564626,,,,,0.0****,0.35
q_proc_sorting,0.413333333,2,0.206666667,0.170043658,0.843793686,0.002308179,-0.011189913,0.0****,0.3
,178.66,147,1.21537415,,,,,0.0****,0.3
q_dem_movieUsage,4.96,2,2.48,0.788271925,0.456541861,0.010610988,-0.002831033,0.0****,0.43
,462.48,147,3.146122449,,,,,0.0****,0.43
q_dem_onlineUsage,1.24,2,0.62,1.297181896,0.276410552,0.017342657,0.003946786,0.0****,0.44
,70.26,147,0.477959184,,,,,0.0****,0.44
c_ageGroup,0.16,2,0.08,0.07657247,0.926322705,0.001040718,-0.012465851,0.0****,0.58
,153.58,147,1.044761905,,,,,0.0****,0.58
c_dem_genderCat,0.12,2,0.06,0.21596474,0.806018909,0.002929688,-0.01056424,0.0****,0.06
,40.84,147,0.277823129,,,,,0.0****,0.06
c_All_IndexAvg,1056.093333,2,528.0466667,2.897564672,0.058314303,0.037927448,0.024676525,0.03****,0.0****
,26789,147,182.2380952,,,,,0.03****,0.0****
c_Title_IndexAvg,512.4933333,2,256.2466667,1.728985227,0.181053514,0.022982966,0.009626238,0.02****,0.0****
,21786.34,147,148.2063946,,,,,0.02****,0.0****
c_Image_IndexAvg,1015.413333,2,507.7066667,3.151271227,0.04570317,0.041111793,0.027883808,0.01****,0.0****
,23683.42,147,161.1117007,,,,,0.01****,0.0****
c_Plot_IndexAvg,50.49333333,2,25.24666667,0.168564608,0.845039751,0.002288148,-0.011210078,0.02****,0.0****
,22016.84,147,149.7744218,,,,,0.02****,0.0****
c_Genre_IndexAvg,13.72,2,6.86,0.044884817,0.956120701,0.000610305,-0.012899138,0.01****,0.0****
,22466.84,147,152.8356463,,,,,0.01****,0.0****
c_Stars_IndexAvg,60.17333333,2,30.08666667,0.203368679,0.816206539,0.002759286,-0.010735784,0.07,0.0****
,21747.4,147,147.9414966,,,,,0.07,0.0****
c_Director_IndexAvg,117.9733333,2,58.98666667,0.345092396,0.708727057,0.004673193,-0.008809023,0.0****,0.0****
,25126.72,147,170.930068,,,,,0.0****,0.0****
c_Date_IndexAvg,361.12,2,180.56,1.278878001,0.281427799,0.017102129,0.003704598,0.02****,0.0****
,20754.38,147,141.1862585,,,,,0.02****,0.0****
c_Tag_IndexAvg,618.4533333,2,309.2266667,1.750707696,0.177252006,0.023265,0.00991024,0.0****,0.0****
,25964.54,147,176.6295238,,,,,0.0****,0.0****
c_SVD_IndexAvg,229.4933333,2,114.7466667,0.592167466,0.554441075,0.007992309,-0.005467498,0.0****,0.0****
,28484.78,147,193.7740136,,,,,0.0****,0.0****
c_Baseline_IndexAvg,483.96,2,241.98,1.833210161,0.163536071,0.024334688,0.010987405,0.0****,0.0****
,19403.7,147,131.9979592,,,,,0.0****,0.0****
c_All_Picked,0.693333333,2,0.346666667,0.460010832,0.63218242,0.006219724,-0.007252069,0.0****,0.95
,110.78,147,0.753605442,,,,,0.0****,0.95
c_Title_Picked,2.613333333,2,1.306666667,2.203257628,0.114077148,0.029103868,0.015790107,0.0****,0.0****
,87.18,147,0.593061224,,,,,0.0****,0.0****
c_Image_Picked,0.893333333,2,0.446666667,1.143902439,0.321392461,0.015324794,0.001915025,0.0****,0.01****
