,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
c_sys_SUS,676.5416667,2,338.2708333,0.866073646,0.421659194,0.005798329,-0.00089364,0.0****,0.39
,116002.1875,297,390.5797559,,,,,0.0****,0.39
q_sys_freqUse,2.66,2,1.33,1.041308589,0.354277546,0.006963351,0.000275315,0.0****,0.45
,379.34,297,1.277239057,,,,,0.0****,0.45
q_sys_complex,1.886666667,2,0.943333333,0.550486295,0.577256547,0.003693287,-0.003005766,0.0****,0.71
,508.95,297,1.713636364,,,,,0.0****,0.71
q_sys_easeUse,2.406666667,2,1.203333333,1.278493239,0.27998448,0.008535893,0.001853181,0.0****,0.48
,279.54,297,0.941212121,,,,,0.0****,0.48
q_sys_techNeed,0.86,2,0.43,0.215427955,0.806322215,0.001448592,-0.005257982,0.0****,0.12
,592.82,297,1.996026936,,,,,0.0****,0.12
q_sys_funcInteg,2.006666667,2,1.003333333,1.003907961,0.367684588,0.006714928,2.61E-05,0.0****,0.33
,296.83,297,0.999427609,,,,,0.0****,0.33
q_sys_inconsist,2.486666667,2,1.243333333,0.687269682,0.503745448,0.004606758,-0.002089225,0.0****,0.83
,537.3,297,1.809090909,,,,,0.0****,0.83
q_sys_learnUse,2.426666667,2,1.213333333,1.25399311,0.286869428,0.008373687,0.001690425,0.0****,0.04****
,287.37,297,0.967575758,,,,,0.0****,0.04****
q_sys_cumbUse,1.526666667,2,0.763333333,0.411735861,0.662876807,0.002764966,-0.003937202,0.0****,0.56
,550.62,297,1.853939394,,,,,0.0****,0.56
q_sys_confUse,5.286666667,2,2.643333333,2.578565329,0.077580905,0.017067711,0.010414173,0.0****,0.17
,304.46,297,1.025117845,,,,,0.0****,0.17
q_sys_learnToUse,0.24,2,0.12,0.065183993,0.936908465,0.000438757,-0.006271189,0.0****,0.48
,546.76,297,1.840942761,,,,,0.0****,0.48
c_moveDistanceAavg,131.1274667,2,65.56373333,2.084430418,0.126193762,0.01384227,0.007177645,0.0****,0.0****
,9341.8464,297,31.45402828,,,,,0.0****,0.0****
c_moveDistanceCavg,26.79786667,2,13.39893333,0.722384011,0.486444407,0.00484099,-0.001854205,0.0****,0.21
,5508.8196,297,18.54821414,,,,,0.0****,0.21
c_moveDistanceDavg,42.5184,2,21.2592,2.396257547,0.092816622,0.015880166,0.009222537,0.0****,0.0****
,2634.9348,297,8.871834343,,,,,0.0****,0.0****
c_clickCountAvg,26.79786667,2,13.39893333,0.722384011,0.486444407,0.00484099,-0.001854205,0.0****,0.21
,5508.8196,297,18.54821414,,,,,0.0****,0.21
c_dragCountAvg,4.7864,2,2.3932,2.262669132,0.105863547,0.015008153,0.008347526,0.0****,0.0****
,314.1336,297,1.057688889,,,,,0.0****,0.0****
c_movieInListPosAvg,0.327466667,2,0.163733333,0.256901051,0.773616434,0.001726986,-0.004978657,0.05****,0.4
,189.29,297,0.637340067,,,,,0.05****,0.4
c_moviePosAvg,7.646666667,2,3.823333333,1.100811719,0.333954113,0.007358327,0.000671627,0.0****,0.32
,1031.5388,297,3.473194613,,,,,0.0****,0.32
c_preferecControl,0.646666667,2,0.323333333,0.428189236,0.652089737,0.002875139,-0.003826659,0.0****,0.32
,224.27,297,0.755117845,,,,,0.0****,0.32
q_outc_satisfactionScore1,0.086666667,2,0.043333333,0.039387911,0.961382729,0.000265168,-0.006445357,0.0****,0.49
,326.75,297,1.10016835,,,,,0.0****,0.49
q_outc_satisfactionScore2,0.446666667,2,0.223333333,0.206256413,0.813740868,0.001387006,-0.005319774,0.0****,0.44
,321.59,297,1.082794613,,,,,0.0****,0.44
q_outc_satisfactionScore3,4.22,2,2.11,1.741427222,0.177054854,0.011590859,0.004918537,0.0****,0.15
,359.86,297,1.211649832,,,,,0.0****,0.15
q_outc_satisfactionScore4,0.18,2,0.09,0.075561837,0.927240211,0.000508575,-0.006201138,0.0****,0.71
,353.75,297,1.191077441,,,,,0.0****,0.71
q_outc_satisfactionScore5,1.006666667,2,0.503333333,0.490163289,0.613020986,0.003289904,-0.003410503,0.0****,0.01****
,304.98,297,1.026868687,,,,,0.0****,0.01****
c_outc_listSatAvg,0.726666667,2,0.363333333,0.600734844,0.549073471,0.004029054,-0.002668872,0.0****,0.19
,179.63,297,0.604814815,,,,,0.0****,0.19
q_outc_diversity,3.686666667,2,1.843333333,2.272508406,0.104842548,0.015072432,0.008412027,0.0****,0.1
,240.91,297,0.811144781,,,,,0.0****,0.1
q_outc_novelty,0.526666667,2,0.263333333,0.240631346,0.786284498,0.001617792,-0.005088217,0.0****,0.27
,325.02,297,1.094343434,,,,,0.0****,0.27
q_outc_serendipity,0.086666667,2,0.043333333,0.041415929,0.959435532,0.000278817,-0.006431662,0.0****,0.94
,310.75,297,1.046296296,,,,,0.0****,0.94
q_outc_relevance,3.38,2,1.69,1.225115938,0.295203599,0.008182434,0.001498524,0.0****,0.63
,409.7,297,1.379461279,,,,,0.0****,0.63
q_proc_searchSim,2.58,2,1.29,0.715662651,0.489709127,0.004796163,-0.001899182,0.0****,0.75
,535.35,297,1.802525253,,,,,0.0****,0.75
q_proc_decidDiff,0.106666667,2,0.053333333,0.030282175,0.970174732,0.000203879,-0.006506851,0.0****,0.62
,523.08,297,1.761212121,,,,,0.0****,0.62
q_proc_recImprove,0.986666667,2,0.493333333,0.413419486,0.661764797,0.002776241,-0.003925889,0.0****,0.16
,354.41,297,1.193299663,,,,,0.0****,0.16
q_proc_control,4.246666667,2,2.123333333,1.596935933,0.204250019,0.010639364,0.003963799,0.0****,0.65
,394.9,297,1.32962963,,,,,0.0****,0.65
q_proc_sorting,4.526666667,2,2.263333333,1.866886994,0.156413909,0.012415546,0.005746039,0.0****,0.04****
,360.07,297,1.212356902,,,,,0.0****,0.04****
q_dem_movieUsage,2.666666667,2,1.333333333,0.39360687,0.674970595,0.002643544,-0.00405903,0.0****,0.36
,1006.08,297,3.387474747,,,,,0.0****,0.36
q_dem_onlineUsage,0.046666667,2,0.023333333,0.050978373,0.950307536,0.000343171,-0.006367094,0.0****,0.86
,135.94,297,0.457710438,,,,,0.0****,0.86
c_ageGroup,2.026666667,2,1.013333333,0.986236728,0.37419576,0.006597509,-9.18E-05,0.0****,0.73
,305.16,297,1.027474747,,,,,0.0****,0.73
c_dem_genderCat,0.486666667,2,0.243333333,0.907230731,0.404756068,0.006072201,-0.000618845,0.0****,0.81
,79.66,297,0.268215488,,,,,0.0****,0.81
c_All_IndexAvg,2981.786667,2,1490.893333,8.757839615,0.000201582,0.055690957,0.04917562,0.01****,0.0****
,50559.88,297,170.2352862,,,,,0.01****,0.0****
c_Title_IndexAvg,670.1666667,2,335.0833333,2.208792445,0.111634323,0.014656029,0.007994194,0.0****,0.0****
,45056.18,297,151.7043098,,,,,0.0****,0.0****
c_Image_IndexAvg,67.38,2,33.69,0.197375476,0.82098994,0.001327364,-0.005379616,0.0****,0.0****
,50694.9,297,170.689899,,,,,0.0****,0.0****
c_Plot_IndexAvg,93.52666667,2,46.76333333,0.307392922,0.735595274,0.00206571,-0.0046388,0.0****,0.0****
,45182.27,297,152.1288552,,,,,0.0****,0.0****
c_Genre_IndexAvg,63.38666667,2,31.69333333,0.188667393,0.828161045,0.001268875,-0.005438299,0.0****,0.0****
,49891.61,297,167.9852189,,,,,0.0****,0.0****
c_Stars_IndexAvg,108.5066667,2,54.25333333,0.340943528,0.71137701,0.002290657,-0.0044131,0.0****,0.0****
,47260.73,297,159.127037,,,,,0.0****,0.0****
c_Director_IndexAvg,241.2066667,2,120.6033333,0.709176019,0.49288075,0.004752898,-0.001942593,0.0****,0.0****
,50508.18,297,170.0612121,,,,,0.0****,0.0****
c_Date_IndexAvg,775.2066667,2,387.6033333,2.414212326,0.091191084,0.01599725,0.009340024,0.0****,0.0****
,47683.54,297,160.5506397,,,,,0.0****,0.0****
c_Tag_IndexAvg,1004.54,2,502.27,2.536087958,0.08088914,0.016791271,0.01013678,0.0****,0.0****
,58820.59,297,198.0491246,,,,,0.0****,0.0****
c_SVD_IndexAvg,102.8466667,2,51.42333333,0.27715311,0.758134249,0.001862874,-0.004842314,0.0****,0.0****
,55105.75,297,185.5412458,,,,,0.0****,0.0****
c_Baseline_IndexAvg,34.28666667,2,17.14333333,0.09964341,0.905190378,0.000670549,-0.006038623,0.0****,0.0****
,51097.91,297,172.046835,,,,,0.0****,0.0****
c_All_Picked,2.426666667,2,1.213333333,1.473443186,0.23080518,0.009824694,0.003146357,0.0****,0.0****
,244.57,297,0.823468013,,,,,0.0****,0.0****
c_Title_Picked,1.646666667,2,0.823333333,1.202981256,0.301756522,0.008035787,0.00135138,0.0****,0.0****
,203.27,297,0.684410774,,,,,0.0****,0.0****
c_Image_Picked,1.26,2,0.63,1.404518841,0.247110808,0.009369423,0.002689539,0.0****,0.02****
,133.22,297,0.448552189,,,,,0.0****,0.02****
c_Plot_Picked,1.04,2,0.52,0.908256881,0.404343461,0.006079027,-0.000611995,0.0****,0.08
,170.04,297,0.572525253,,,,,0.0****,0.08
c_Genre_Picked,0.886666667,2,0.443333333,0.690456214,0.50215019,0.004628019,-0.002067893,0.0****,0.97
,190.7,297,0.642087542,,,,,0.0****,0.97
c_Stars_Picked,3.806666667,2,1.903333333,3.328563858,0.037186558,0.021923173,0.015286456,0.0****,0.0****
,169.83,297,0.571818182,,,,,0.0****,0.0****
c_Director_Picked,2.286666667,2,1.143333333,1.050942404,0.350904536,0.007027321,0.000339501,0.0****,0.0****
,323.11,297,1.087912458,,,,,0.0****,0.0****
c_Date_Picked,0.246666667,2,0.123333333,0.272504092,0.761660494,0.001831683,-0.00487361,0.0****,0.18
,134.42,297,0.452592593,,,,,0.0****,0.18
c_Tag_Picked,4.686666667,2,2.343333333,1.51396563,0.221728814,0.010092165,0.003414737,0.0****,0.0****
,459.7,297,1.547811448,,,,,0.0****,0.0****
c_SVD_Picked,2.94,2,1.47,1.154816696,0.316526093,0.007716535,0.001031047,0.0****,0.0****
,378.06,297,1.272929293,,,,,0.0****,0.0****
c_Baseline_Picked,0.18,2,0.09,0.274717369,0.759979686,0.001846533,-0.00485871,0.0****,0.35
,97.3,297,0.327609428,,,,,0.0****,0.35
