group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
,,,,,,,,,,
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-3.15,0.6785,-12.3007,6.0007,FALSE,Very Small (-0.18),73,16.5138,2.3354
,,,,,,,,,,
1,3,-0.9,0.9,-10.0507,8.2507,FALSE,Very Small (-0.05),69.85,19.2818,2.7269
,,,,,,,,,,
2,3,2.25,0.8116,-6.9007,11.4007,FALSE,Very Small (0.11),72.1,21.8083,3.0842
,,,,,,,,,,
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.22,0.5705,-0.7388,0.2988,FALSE,Small (-0.21),3.78,1.0934,0.1546
,,,,,,,,,,
1,3,-0.14,0.7792,-0.6588,0.3788,FALSE,Very Small (-0.12),3.56,1.0134,0.1433
,,,,,,,,,,
2,3,0.08,0.9,-0.4388,0.5988,FALSE,Very Small (0.07),3.64,1.1739,0.166
,,,,,,,,,,
q_sys_complex,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.08,0.9,-0.6856,0.5256,FALSE,Very Small (-0.06),2.26,1.2586,0.178
,,,,,,,,,,
1,3,-0.08,0.9,-0.6856,0.5256,FALSE,Very Small (-0.06),2.18,1.2567,0.1777
,,,,,,,,,,
2,3,0,0.9,-0.6056,0.6056,FALSE,None (0.0),2.18,1.32,0.1867
,,,,,,,,,,
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.26,0.3813,-0.7223,0.2023,FALSE,Small (-0.27),4.24,0.8466,0.1197
,,,,,,,,,,
1,3,-0.04,0.9,-0.5023,0.4223,FALSE,Very Small (-0.04),3.98,1.0398,0.1471
,,,,,,,,,,
2,3,0.22,0.5003,-0.2423,0.6823,FALSE,Small (0.21),4.2,1.0302,0.1457
,,,,,,,,,,
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.12,0.8937,-0.7679,0.5279,FALSE,Very Small (-0.09),1.94,1.3614,0.1925
,,,,,,,,,,
1,3,0.04,0.9,-0.6079,0.6879,FALSE,Very Small (0.03),1.82,1.32,0.1867
,,,,,,,,,,
2,3,0.16,0.8102,-0.4879,0.8079,FALSE,Very Small (0.12),1.98,1.4213,0.201
,,,,,,,,,,
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.22,0.4747,-0.6653,0.2253,FALSE,Small (-0.27),3.82,0.7743,0.1095
,,,,,,,,,,
1,3,-0.04,0.9,-0.4853,0.4053,FALSE,Very Small (-0.04),3.6,0.8806,0.1245
,,,,,,,,,,
2,3,0.18,0.5973,-0.2653,0.6253,FALSE,Very Small (0.18),3.78,1.1301,0.1598
,,,,,,,,,,
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.34,0.4007,-0.2808,0.9608,FALSE,Small (0.26),2.32,1.2362,0.1748
,,,,,,,,,,
1,3,0.16,0.7955,-0.4608,0.7808,FALSE,Very Small (0.12),2.66,1.3644,0.193
,,,,,,,,,,
2,3,-0.18,0.7519,-0.8008,0.4408,FALSE,Very Small (-0.13),2.48,1.3285,0.1879
,,,,,,,,,,
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.18,0.6294,-0.653,0.293,FALSE,Very Small (-0.18),4.2,0.833,0.1178
,,,,,,,,,,
1,3,-0.12,0.801,-0.593,0.353,FALSE,Very Small (-0.13),4.02,1.0971,0.1552
,,,,,,,,,,
2,3,0.06,0.9,-0.413,0.533,FALSE,Very Small (0.06),4.08,1.0467,0.148
,,,,,,,,,,
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.12,0.8882,-0.754,0.514,FALSE,Very Small (-0.09),2.3,1.3132,0.1857
,,,,,,,,,,
1,3,-0.04,0.9,-0.674,0.594,FALSE,Very Small (-0.03),2.18,1.2728,0.18
,,,,,,,,,,
2,3,0.08,0.9,-0.554,0.714,FALSE,Very Small (0.06),2.26,1.4259,0.2016
,,,,,,,,,,
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.36,0.1692,-0.8302,0.1102,FALSE,Small (-0.39),4.1,0.7626,0.1079
,,,,,,,,,,
1,3,-0.04,0.9,-0.5102,0.4302,FALSE,Very Small (-0.04),3.74,1.0461,0.1479
,,,,,,,,,,
2,3,0.32,0.2443,-0.1502,0.7902,FALSE,Small (0.29),4.06,1.1323,0.1601
,,,,,,,,,,
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.9,-0.6341,0.6341,FALSE,None (0.0),2.12,1.272,0.1799
,,,,,,,,,,
1,3,-0.1,0.9,-0.7341,0.5341,FALSE,Very Small (-0.08),2.12,1.3944,0.1972
,,,,,,,,,,
2,3,-0.1,0.9,-0.7341,0.5341,FALSE,Very Small (-0.07),2.02,1.3476,0.1906
,,,,,,,,,,
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.1,0.7781,-0.2695,0.4695,FALSE,Very Small (0.14),1.816,0.7823,0.1106
,,,,,,,,,,
1,3,0.048,0.9,-0.3215,0.4175,FALSE,Very Small (0.06),1.916,0.6929,0.098
,,,,,,,,,,
2,3,-0.052,0.9,-0.4215,0.3175,FALSE,Very Small (-0.07),1.864,0.8566,0.1211
,,,,,,,,,,
c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.42,0.3957,-1.1816,0.3416,FALSE,Small (-0.25),2.308,1.7441,0.2467
,,,,,,,,,,
1,3,-0.428,0.3818,-1.1896,0.3336,FALSE,Small (-0.26),1.888,1.5488,0.219
,,,,,,,,,,
2,3,-0.008,0.9,-0.7696,0.7536,FALSE,None (-0.01),1.88,1.5226,0.2153
,,,,,,,,,,
c_preferecControl,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.28,0.3734,-0.7726,0.2126,FALSE,Small (-0.27),4.22,0.9322,0.1318
,,,,,,,,,,
1,3,-0.14,0.7598,-0.6326,0.3526,FALSE,Very Small (-0.14),3.94,1.1678,0.1651
,,,,,,,,,,
2,3,0.14,0.7598,-0.3526,0.6326,FALSE,Very Small (0.13),4.08,1.0069,0.1424
,,,,,,,,,,
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.22,0.5246,-0.7005,0.2605,FALSE,Small (-0.22),4.04,1.0294,0.1456
,,,,,,,,,,
1,3,-0.04,0.9,-0.5205,0.4405,FALSE,Very Small (-0.04),3.82,0.9624,0.1361
,,,,,,,,,,
2,3,0.18,0.6373,-0.3005,0.6605,FALSE,Very Small (0.18),4,1.0498,0.1485
,,,,,,,,,,
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.14,0.788,-0.3917,0.6717,FALSE,Very Small (0.12),3.8,1.2289,0.1738
,,,,,,,,,,
1,3,0.1,0.8899,-0.4317,0.6317,FALSE,Very Small (0.09),3.94,1.1141,0.1576
,,,,,,,,,,
2,3,-0.04,0.9,-0.5717,0.4917,FALSE,Very Small (-0.04),3.9,1.0152,0.1436
,,,,,,,,,,
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.02,0.9,-0.5397,0.4997,FALSE,Very Small (-0.02),3.92,0.9223,0.1304
,,,,,,,,,,
1,3,-0.24,0.5194,-0.7597,0.2797,FALSE,Small (-0.22),3.9,1.1294,0.1597
,,,,,,,,,,
2,3,-0.22,0.5715,-0.7397,0.2997,FALSE,Very Small (-0.19),3.68,1.2196,0.1725
,,,,,,,,,,
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1,0.8653,-0.585,0.385,FALSE,Very Small (-0.09),4.1,1.1112,0.1571
,,,,,,,,,,
1,3,-0.02,0.9,-0.505,0.465,FALSE,Very Small (-0.02),4,1.1066,0.1565
,,,,,,,,,,
2,3,0.08,0.9,-0.405,0.565,FALSE,Very Small (0.08),4.08,0.8291,0.1172
,,,,,,,,,,
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.096,0.7878,-0.4604,0.2684,FALSE,Very Small (-0.12),4.016,0.7998,0.1131
,,,,,,,,,,
1,3,-0.068,0.8918,-0.4324,0.2964,FALSE,Very Small (-0.09),3.92,0.7751,0.1096
,,,,,,,,,,
2,3,0.028,0.9,-0.3364,0.3924,FALSE,Very Small (0.04),3.948,0.7316,0.1035
,,,,,,,,,,
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2,0.523,-0.6356,0.2356,FALSE,Small (-0.21),3.98,0.9366,0.1324
,,,,,,,,,,
1,3,-0.04,0.9,-0.4756,0.3956,FALSE,Very Small (-0.04),3.78,0.9322,0.1318
,,,,,,,,,,
2,3,0.16,0.6473,-0.2756,0.5956,FALSE,Very Small (0.18),3.94,0.8901,0.1259
,,,,,,,,,,
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.18,0.6547,-0.6775,0.3175,FALSE,Very Small (-0.18),3.98,0.9145,0.1293
,,,,,,,,,,
1,3,-0.1,0.8724,-0.5975,0.3975,FALSE,Very Small (-0.1),3.8,1.1066,0.1565
,,,,,,,,,,
2,3,0.08,0.9,-0.4175,0.5775,FALSE,Very Small (0.07),3.88,1.1183,0.1582
,,,,,,,,,,
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.24,0.4654,-0.7193,0.2393,FALSE,Small (-0.23),3.9,1.0546,0.1491
,,,,,,,,,,
1,3,-0.22,0.5232,-0.6993,0.2593,FALSE,Small (-0.22),3.66,1.0022,0.1417
,,,,,,,,,,
2,3,0.02,0.9,-0.4593,0.4993,FALSE,Very Small (0.02),3.68,0.9781,0.1383
,,,,,,,,,,
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
