group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
4,5,-0.8,0.9,-9.992,8.392,False,Very Small (-0.04),62.0,19.2062,2.7162
4,6,4.3,0.5112,-4.892,13.492,False,Small (0.22),61.2,19.2741,2.7258
5,6,5.1,0.3912,-4.092,14.292,False,Small (0.26),66.3,19.7448,2.7923
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
4,5,0.48,0.0946,-0.0629,1.0229,False,Small (0.4),3.18,1.1373,0.1608
4,6,0.6,0.0263,0.0571,1.1429,True,Medium (0.55),3.66,1.239,0.1752
5,6,0.12,0.8452,-0.4229,0.6629,False,Very Small (0.1),3.78,1.0554,0.1493
q_sys_complex,-,-,-,-,-,-,-,-,-,-
4,5,0.2,0.7014,-0.4111,0.8111,False,Very Small (0.15),2.74,1.3524,0.1913
4,6,-0.18,0.7457,-0.7911,0.4311,False,Very Small (-0.14),2.94,1.2843,0.1816
5,6,-0.38,0.3076,-0.9911,0.2311,False,Small (-0.3),2.56,1.2316,0.1742
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
4,5,-0.06,0.9,-0.5122,0.3922,False,Very Small (-0.06),3.86,0.9899,0.14
4,6,0.14,0.7253,-0.3122,0.5922,False,Very Small (0.15),3.8,1.0102,0.1429
5,6,0.2,0.5458,-0.2522,0.6522,False,Small (0.21),4.0,0.8571,0.1212
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
4,5,0.28,0.5868,-0.3997,0.9597,False,Small (0.2),2.16,1.2835,0.1815
4,6,0.22,0.7063,-0.4597,0.8997,False,Very Small (0.16),2.44,1.5005,0.2122
5,6,-0.06,0.9,-0.7397,0.6197,False,Very Small (-0.04),2.38,1.5104,0.2136
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
4,5,-0.08,0.9,-0.5803,0.4203,False,Very Small (-0.08),3.54,1.0144,0.1435
4,6,0.12,0.8198,-0.3803,0.6203,False,Very Small (0.12),3.46,1.1104,0.157
5,6,0.2,0.6033,-0.3003,0.7003,False,Very Small (0.19),3.66,1.0422,0.1474
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
4,5,0.0,0.9,-0.6413,0.6413,False,None (0.0),2.98,1.3626,0.1927
4,6,-0.24,0.6379,-0.8813,0.4013,False,Very Small (-0.18),2.98,1.3775,0.1948
5,6,-0.24,0.6379,-0.8813,0.4013,False,Very Small (-0.18),2.74,1.3219,0.1869
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
4,5,-0.18,0.6003,-0.6277,0.2677,False,Very Small (-0.19),3.78,0.91,0.1287
4,6,0.16,0.6607,-0.2877,0.6077,False,Very Small (0.17),3.6,0.9476,0.134
5,6,0.34,0.174,-0.1077,0.7877,False,Small (0.35),3.94,0.9775,0.1382
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
4,5,-0.12,0.8854,-0.7471,0.5071,False,Very Small (-0.09),3.0,1.4142,0.2
4,6,-0.3,0.4968,-0.9271,0.3271,False,Small (-0.22),2.88,1.2395,0.1753
5,6,-0.18,0.7559,-0.8071,0.4471,False,Very Small (-0.14),2.7,1.3132,0.1857
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
4,5,-0.12,0.8134,-0.6106,0.3706,False,Very Small (-0.11),3.84,1.0947,0.1548
4,6,0.18,0.6478,-0.3106,0.6706,False,Very Small (0.18),3.72,1.0887,0.154
5,6,0.3,0.3197,-0.1906,0.7906,False,Small (0.3),4.02,0.9145,0.1293
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
4,5,0.0,0.9,-0.6412,0.6412,False,None (0.0),2.52,1.3438,0.19
4,6,-0.02,0.9,-0.6612,0.6212,False,Very Small (-0.01),2.52,1.2816,0.1812
5,6,-0.02,0.9,-0.6612,0.6212,False,Very Small (-0.01),2.5,1.4321,0.2025
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
4,5,-2.544,0.1471,-5.7421,0.6541,False,Small (-0.36),7.632,8.2307,1.164
4,6,-3.008,0.0701,-6.2061,0.1901,False,Small (-0.42),5.088,5.7957,0.8196
5,6,-0.464,0.9,-3.6621,2.7341,False,Very Small (-0.08),4.624,5.9565,0.8424
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
4,5,-0.912,0.6598,-3.4591,1.6351,False,Very Small (-0.16),4.836,5.8492,0.8272
4,6,-1.448,0.3733,-3.9951,1.0991,False,Small (-0.26),3.924,5.1937,0.7345
5,6,-0.536,0.8596,-3.0831,2.0111,False,Very Small (-0.1),3.388,5.0589,0.7154
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
4,5,-1.632,0.1079,-3.5325,0.2685,False,Small (-0.37),2.796,5.4456,0.7701
4,6,-1.56,0.1302,-3.4605,0.3405,False,Small (-0.36),1.164,3.1308,0.4428
5,6,0.072,0.9,-1.8285,1.9725,False,Very Small (0.02),1.236,2.9763,0.4209
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
4,5,-0.912,0.6598,-3.4591,1.6351,False,Very Small (-0.16),4.836,5.8492,0.8272
4,6,-1.448,0.3733,-3.9951,1.0991,False,Small (-0.26),3.924,5.1937,0.7345
5,6,-0.536,0.8596,-3.0831,2.0111,False,Very Small (-0.1),3.388,5.0589,0.7154
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
4,5,-0.452,0.2363,-1.1083,0.2043,False,Small (-0.29),0.948,1.8312,0.259
4,6,-0.592,0.0863,-1.2483,0.0643,False,Small (-0.41),0.496,1.2521,0.1771
5,6,-0.14,0.8557,-0.7963,0.5163,False,Very Small (-0.13),0.356,0.9172,0.1297
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
4,5,0.044,0.9,-0.3342,0.4222,False,Very Small (0.06),1.54,0.7743,0.1095
4,6,0.088,0.8295,-0.2902,0.4662,False,Very Small (0.11),1.584,0.7802,0.1103
5,6,0.044,0.9,-0.3342,0.4222,False,Very Small (0.05),1.628,0.8398,0.1188
c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
4,5,-0.36,0.647,-1.3397,0.6197,False,Very Small (-0.17),1.636,2.2906,0.3239
4,6,-0.012,0.9,-0.9917,0.9677,False,None (-0.01),1.276,1.8281,0.2585
5,6,0.348,0.6636,-0.6317,1.3277,False,Very Small (0.18),1.624,2.0614,0.2915
c_preferecControl,-,-,-,-,-,-,-,-,-,-
4,5,0.06,0.9,-0.3706,0.4906,False,Very Small (0.07),1.2,0.8806,0.1245
4,6,-0.16,0.6415,-0.5906,0.2706,False,Very Small (-0.18),1.26,0.8992,0.1272
5,6,-0.22,0.4511,-0.6506,0.2106,False,Small (-0.24),1.04,0.9467,0.1339
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
4,5,0.36,0.1981,-0.1331,0.8531,False,Small (0.37),3.7,1.0926,0.1545
4,6,0.16,0.7052,-0.3331,0.6531,False,Very Small (0.14),4.06,0.8668,0.1226
5,6,-0.2,0.5954,-0.6931,0.2931,False,Very Small (-0.2),3.86,1.143,0.1616
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
4,5,0.36,0.2113,-0.1433,0.8633,False,Small (0.34),3.74,1.1214,0.1586
4,6,0.22,0.5528,-0.2833,0.7233,False,Small (0.2),4.1,0.9949,0.1407
5,6,-0.14,0.7679,-0.6433,0.3633,False,Very Small (-0.14),3.96,1.0683,0.1511
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
4,5,0.44,0.1089,-0.0735,0.9535,False,Small (0.4),3.76,1.2216,0.1728
4,6,0.16,0.7226,-0.3535,0.6735,False,Very Small (0.14),4.2,0.9689,0.137
5,6,-0.28,0.4039,-0.7935,0.2335,False,Small (-0.28),3.92,1.0467,0.148
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
4,5,0.14,0.775,-0.3729,0.6529,False,Very Small (0.12),3.76,1.1168,0.1579
4,6,0.3,0.3523,-0.2129,0.8129,False,Small (0.29),3.9,1.1473,0.1623
5,6,0.16,0.7222,-0.3529,0.6729,False,Very Small (0.15),4.06,0.9775,0.1382
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
4,5,0.38,0.1424,-0.0937,0.8537,False,Small (0.36),3.76,1.0797,0.1527
4,6,0.2,0.5729,-0.2737,0.6737,False,Small (0.2),4.14,1.0104,0.1429
5,6,-0.18,0.6301,-0.6537,0.2937,False,Very Small (-0.19),3.96,0.9026,0.1276
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
