group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
1,2,-1.975,0.74,-8.5589,4.6089,False,Very Small (-0.1),67.5,18.6576,1.8658
1,3,1.7,0.7962,-4.8839,8.2839,False,Very Small (0.09),65.525,19.6667,1.9667
2,3,3.675,0.3894,-2.9089,10.2589,False,Very Small (0.18),69.2,20.901,2.0901
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
1,2,0.13,0.6789,-0.2465,0.5065,False,Very Small (0.11),3.48,1.1501,0.115
1,3,0.23,0.3227,-0.1465,0.6065,False,Small (0.2),3.61,1.1272,0.1127
2,3,0.1,0.7863,-0.2765,0.4765,False,Very Small (0.09),3.71,1.1128,0.1113
q_sys_complex,-,-,-,-,-,-,-,-,-,-
1,2,0.06,0.9,-0.3761,0.4961,False,Very Small (0.05),2.5,1.3219,0.1322
1,3,-0.13,0.7425,-0.5661,0.3061,False,Very Small (-0.1),2.56,1.3205,0.1321
2,3,-0.19,0.5571,-0.6261,0.2461,False,Very Small (-0.15),2.37,1.2844,0.1284
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.16,0.4761,-0.4832,0.1632,False,Very Small (-0.16),4.05,0.9361,0.0936
1,3,0.05,0.9,-0.2732,0.3732,False,Very Small (0.05),3.89,1.0239,0.1024
2,3,0.21,0.2785,-0.1132,0.5332,False,Small (0.21),4.1,0.9482,0.0948
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
1,2,0.08,0.9,-0.3907,0.5507,False,Very Small (0.06),2.05,1.321,0.1321
1,3,0.13,0.772,-0.3407,0.6007,False,Very Small (0.09),2.13,1.4401,0.144
2,3,0.05,0.9,-0.4207,0.5207,False,Very Small (0.03),2.18,1.4729,0.1473
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
1,2,-0.15,0.5373,-0.483,0.183,False,Very Small (-0.16),3.68,0.9088,0.0909
1,3,0.04,0.9,-0.293,0.373,False,Very Small (0.04),3.53,0.9995,0.1
2,3,0.19,0.3733,-0.143,0.523,False,Very Small (0.18),3.72,1.0832,0.1083
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
1,2,0.17,0.6329,-0.2781,0.6181,False,Very Small (0.13),2.65,1.3362,0.1336
1,3,-0.04,0.9,-0.4881,0.4081,False,Very Small (-0.03),2.82,1.3735,0.1373
2,3,-0.21,0.5126,-0.6581,0.2381,False,Very Small (-0.16),2.61,1.3249,0.1325
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.18,0.4013,-0.5077,0.1477,False,Very Small (-0.19),3.99,0.8932,0.0893
1,3,0.02,0.9,-0.3077,0.3477,False,Very Small (0.02),3.81,1.0415,0.1042
2,3,0.2,0.3234,-0.1277,0.5277,False,Very Small (0.19),4.01,1.01,0.101
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.12,0.7877,-0.5736,0.3336,False,Very Small (-0.09),2.65,1.4026,0.1403
1,3,-0.17,0.6392,-0.6236,0.2836,False,Very Small (-0.12),2.53,1.2984,0.1298
2,3,-0.05,0.9,-0.5036,0.4036,False,Very Small (-0.04),2.48,1.3816,0.1382
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.24,0.2163,-0.5773,0.0973,False,Small (-0.24),3.97,0.9477,0.0948
1,3,0.07,0.8645,-0.2673,0.4073,False,Very Small (0.07),3.73,1.0623,0.1062
2,3,0.31,0.0791,-0.0273,0.6473,False,Small (0.3),4.04,1.0242,0.1024
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
1,2,0.0,0.9,-0.452,0.452,False,None (0.0),2.32,1.3172,0.1317
1,3,-0.06,0.9,-0.512,0.392,False,Very Small (-0.04),2.32,1.3475,0.1348
2,3,-0.06,0.9,-0.512,0.392,False,Very Small (-0.04),2.26,1.4043,0.1404
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
1,2,-1.272,0.2459,-3.1404,0.5964,False,Small (-0.21),3.816,6.9454,0.6945
1,3,-1.504,0.1416,-3.3724,0.3644,False,Small (-0.25),2.544,4.8128,0.4813
2,3,-0.232,0.9,-2.1004,1.6364,False,Very Small (-0.05),2.312,4.7917,0.4792
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
1,2,-0.456,0.7159,-1.8908,0.9788,False,Very Small (-0.1),2.418,4.7791,0.4779
1,3,-0.724,0.4627,-2.1588,0.7108,False,Very Small (-0.17),1.962,4.152,0.4152
2,3,-0.268,0.8925,-1.7028,1.1668,False,Very Small (-0.07),1.694,3.9453,0.3945
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
1,2,-0.816,0.1301,-1.8083,0.1763,False,Small (-0.25),1.398,4.0807,0.4081
1,3,-0.78,0.1549,-1.7723,0.2123,False,Small (-0.24),0.582,2.2789,0.2279
2,3,0.036,0.9,-0.9563,1.0283,False,Very Small (0.02),0.618,2.1841,0.2184
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.456,0.7159,-1.8908,0.9788,False,Very Small (-0.1),2.418,4.7791,0.4779
1,3,-0.724,0.4627,-2.1588,0.7108,False,Very Small (-0.17),1.962,4.152,0.4152
2,3,-0.268,0.8925,-1.7028,1.1668,False,Very Small (-0.07),1.694,3.9453,0.3945
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.226,0.2679,-0.5686,0.1166,False,Very Small (-0.19),0.474,1.3735,0.1374
1,3,-0.296,0.1057,-0.6386,0.0466,False,Small (-0.27),0.248,0.9155,0.0915
2,3,-0.07,0.8689,-0.4126,0.2726,False,Very Small (-0.09),0.178,0.6696,0.067
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.072,0.7794,-0.194,0.338,False,Very Small (0.09),1.678,0.7867,0.0787
1,3,0.068,0.7997,-0.198,0.334,False,Very Small (0.08),1.75,0.7528,0.0753
2,3,-0.004,0.9,-0.27,0.262,False,None (-0.0),1.746,0.8523,0.0852
