1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
0,c_sys_SUS,1007.065465,2,503.5327326,1.4436249,0.239772881,0.021404913,0.006529309,0.0****,0.34
1,,46041.26787,132,348.7974838,,,,,0.0****,0.34
2,,-,-,-,-,-,-,-,-,-
0,q_sys_freqUse,1.084405973,2,0.542202987,0.421379136,0.657020749,0.006344029,-0.008646278,0.0****,0.43
1,,169.8489274,132,1.286734298,,,,,0.0****,0.43
2,,-,-,-,-,-,-,-,-,-
0,q_sys_complex,2.321977495,2,1.160988747,0.776242147,0.46222068,0.011624526,-0.003325956,0.0****,0.61
1,,197.4261707,132,1.495652808,,,,,0.0****,0.61
2,,-,-,-,-,-,-,-,-,-
0,q_sys_easeUse,3.239874895,2,1.619937448,1.664144974,0.19330018,0.024594192,0.009743318,0.0****,0.53
1,,128.4934584,132,0.973435291,,,,,0.0****,0.53
2,,-,-,-,-,-,-,-,-,-
0,q_sys_techNeed,1.548143254,2,0.774071627,0.500415602,0.607424101,0.007525,-0.007456437,0.0****,0.49
1,,204.1851901,132,1.546857501,,,,,0.0****,0.49
2,,-,-,-,-,-,-,-,-,-
0,q_sys_funcInteg,1.650824976,2,0.825412488,0.910587773,0.404799512,0.013609024,-0.001326383,0.0****,0.08
1,,119.6528787,132,0.906461202,,,,,0.0****,0.08
2,,-,-,-,-,-,-,-,-,-
0,q_sys_inconsist,5.60821305,2,2.804106525,1.662929187,0.19352955,0.024576666,0.009725656,0.0****,0.24
1,,222.5843795,132,1.6862453,,,,,0.0****,0.24
2,,-,-,-,-,-,-,-,-,-
0,q_sys_learnUse,1.376520858,2,0.688260429,0.730562121,0.483575235,0.010947939,-0.00400767,0.0****,0.07
1,,124.3568125,132,0.942097064,,,,,0.0****,0.07
2,,-,-,-,-,-,-,-,-,-
0,q_sys_cumbUse,2.786228703,2,1.393114351,0.870212434,0.421251399,0.013013454,-0.001926483,0.0****,0.76
1,,211.317475,132,1.600889962,,,,,0.0****,0.76
2,,-,-,-,-,-,-,-,-,-
0,q_sys_confUse,2.880615147,2,1.440307573,1.531847317,0.219953143,0.022683332,0.007817623,0.0****,0.16
1,,124.1119774,132,0.940242253,,,,,0.0****,0.16
2,,-,-,-,-,-,-,-,-,-
0,q_sys_learnToUse,4.632909466,2,2.316454733,1.502780907,0.226292348,0.022262504,0.007393535,0.0****,0.11
1,,203.4707942,132,1.541445411,,,,,0.0****,0.11
2,,-,-,-,-,-,-,-,-,-
0,c_movieInListPosAvg,0.337654514,2,0.168827257,0.283546555,0.753565594,0.004277782,-0.010727993,0.4,0.3
1,,78.59449363,132,0.595412831,,,,,0.4,0.3
2,,-,-,-,-,-,-,-,-,-
0,c_moviePosAvg,5.012437357,2,2.506218679,0.943415854,0.391904634,0.014092736,-0.000838987,0.0****,0.95
1,,350.6628219,132,2.65653653,,,,,0.0****,0.95
2,,-,-,-,-,-,-,-,-,-
0,q_outc_satisfactionScore1,2.439346284,2,1.219673142,1.084197805,0.341165032,0.016161747,0.001245821,0.0****,0.63
1,,148.493987,132,1.124954447,,,,,0.0****,0.63
2,,-,-,-,-,-,-,-,-,-
0,q_outc_satisfactionScore2,1.838947379,2,0.919473689,0.846257587,0.431331593,0.01265976,-0.002282865,0.0****,0.97
1,,143.4203119,132,1.086517514,,,,,0.0****,0.97
2,,-,-,-,-,-,-,-,-,-
0,q_outc_satisfactionScore3,0.629172479,2,0.314586239,0.233686788,0.791936511,0.003528217,-0.011483154,0.0****,0.41
1,,177.6967534,132,1.346187526,,,,,0.0****,0.41
2,,-,-,-,-,-,-,-,-,-
0,q_outc_satisfactionScore4,2.779348927,2,1.389674464,1.114752887,0.331064066,0.016609655,0.001697158,0.0****,0.03****
1,,164.5539844,132,1.246621094,,,,,0.0****,0.03****
2,,-,-,-,-,-,-,-,-,-
0,q_outc_satisfactionScore5,0.174818045,2,0.087409023,0.079380138,0.923732788,0.001201285,-0.013827402,0.0****,0.07
1,,145.3511079,132,1.101144757,,,,,0.0****,0.07
2,,-,-,-,-,-,-,-,-,-
0,c_outc_listSatAvg,0.458460156,2,0.229230078,0.367664454,0.69305621,0.005539813,-0.009456522,0.0****,0.67
1,,82.29887318,132,0.623476312,,,,,0.0****,0.67
2,,-,-,-,-,-,-,-,-,-
0,q_outc_diversity,1.744925089,2,0.872462544,1.012164202,0.366234491,0.015104186,0.000180178,0.0****,0.77
1,,113.7810008,132,0.861977279,,,,,0.0****,0.77
2,,-,-,-,-,-,-,-,-,-
0,q_outc_novelty,0.742992722,2,0.371496361,0.319752819,0.72688954,0.004821381,-0.010180331,0.0****,0.19
1,,153.360711,132,1.161823568,,,,,0.0****,0.19
2,,-,-,-,-,-,-,-,-,-
0,q_outc_serendipity,1.779806078,2,0.889903039,0.841914562,0.433185192,0.012595608,-0.002347504,0.0****,0.71
1,,139.5238976,132,1.056999224,,,,,0.0****,0.71
2,,-,-,-,-,-,-,-,-,-
0,q_outc_relevance,1.290740985,2,0.645370493,0.438686751,0.645819482,0.006602881,-0.008385483,0.0****,0.93
1,,194.1907405,132,1.471141973,,,,,0.0****,0.93
2,,-,-,-,-,-,-,-,-,-
0,q_proc_searchSim,3.856940223,2,1.928470111,1.209054599,0.301762899,0.01798946,0.003087543,0.0****,0.57
1,,210.5430598,132,1.59502318,,,,,0.0****,0.57
2,,-,-,-,-,-,-,-,-,-
0,q_proc_decidDiff,1.202540759,2,0.60127038,0.345927449,0.708203324,0.005213997,-0.009784778,0.0****,0.82
1,,229.4344963,132,1.738140123,,,,,0.0****,0.82
2,,-,-,-,-,-,-,-,-,-
0,q_proc_recImprove,4.835489381,2,2.417744691,1.802143048,0.168979476,0.026579441,0.011744039,0.0****,0.11
1,,177.0904365,132,1.341594216,,,,,0.0****,0.11
2,,-,-,-,-,-,-,-,-,-
0,q_proc_control,7.920221331,2,3.960110666,2.604915687,0.077705944,0.037969811,0.023224335,0.0****,0.01****
1,,200.6723713,132,1.520245237,,,,,0.0****,0.01****
2,,-,-,-,-,-,-,-,-,-
