1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,c_sys_SUS,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,1513.305515,2,756.6527577,1.944880469,0.147341944,0.030414952,0.014661839,0.01****,0.96
0,,,,,,,,,,
1,,48242.00945,124,389.0484633,,,,,0.01****,0.96
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,8.336550666,2,4.168275333,2.946592429,0.056206925,0.045369469,0.02974322,0.0****,0.34
0,,,,,,,,,,
1,,175.4114808,124,1.414608716,,,,,0.0****,0.34
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,7.453715542,2,3.726857771,2.342807485,0.100296167,0.036411334,0.020708657,0.0****,0.22
0,,,,,,,,,,
1,,197.2549459,124,1.590765693,,,,,0.0****,0.22
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,1.447467723,2,0.723733861,0.754084389,0.472586063,0.012016499,-0.003887743,0.0****,0.17
0,,,,,,,,,,
1,,119.0092252,124,0.959751816,,,,,0.0****,0.17
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,0.106547782,2,0.053273891,0.029957977,0.970493337,0.00048296,-0.015513236,0.0****,0.36
0,,,,,,,,,,
1,,220.5076254,124,1.778287302,,,,,0.0****,0.36
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,1.874846271,2,0.937423136,0.8092657,0.447521958,0.012884495,-0.003012739,0.0****,0.55
0,,,,,,,,,,
1,,143.6369648,124,1.158362619,,,,,0.0****,0.55
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,4.558625371,2,2.279312685,1.271188398,0.284127495,0.02009111,0.004252522,0.0****,0.94
0,,,,,,,,,,
1,,222.3390124,124,1.793056552,,,,,0.0****,0.94
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,4.309887846,2,2.154943923,2.452621915,0.090233589,0.038053098,0.022364331,0.0****,0.45
0,,,,,,,,,,
1,,108.9499547,124,0.878628667,,,,,0.0****,0.45
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,3.646574763,2,1.823287382,1.062548639,0.348698917,0.016849123,0.000984049,0.0****,0.53
0,,,,,,,,,,
1,,212.7786221,124,1.71595663,,,,,0.0****,0.53
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,1.940748798,2,0.970374399,0.868682853,0.422040693,0.013817418,-0.002072272,0.0****,0.13
0,,,,,,,,,,
1,,138.5159441,124,1.117064065,,,,,0.0****,0.13
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,1.449355295,2,0.724677647,0.403573488,0.668803035,0.006467153,-0.0094816,0.0****,0.74
0,,,,,,,,,,
1,,222.6608809,124,1.795652266,,,,,0.0****,0.74
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,139.804557,2,69.90227848,1.435959381,0.241814858,0.022636363,0.006818688,0.0****,0.0****
0,,,,,,,,,,
1,,6036.30064,124,48.67984387,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,17.74358846,2,8.871794228,0.284177199,0.753122096,0.004562591,-0.011401325,0.0****,0.69
0,,,,,,,,,,
1,,3871.184915,124,31.21923319,,,,,0.0****,0.69
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,65.78526305,2,32.89263152,1.768752493,0.174821019,0.027736978,0.011961528,0.0****,0.0****
0,,,,,,,,,,
1,,2305.967808,124,18.59651458,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,17.74358846,2,8.871794228,0.284177199,0.753122096,0.004562591,-0.011401325,0.0****,0.69
0,,,,,,,,,,
1,,3871.184915,124,31.21923319,,,,,0.0****,0.69
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,7.053492468,2,3.526746234,1.588335188,0.208392723,0.024978405,0.009180067,0.0****,0.0****
0,,,,,,,,,,
1,,275.3301296,124,2.220404271,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.13279236,2,0.06639618,0.115626439,0.890903864,0.001861471,-0.014123848,0.11,0.96
0,,,,,,,,,,
1,,71.20453048,124,0.574230084,,,,,0.11,0.96
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,4.215644455,2,2.107822228,0.504328253,0.605144429,0.008068693,-0.007867265,0.0****,0.24
0,,,,,,,,,,
1,,518.2536469,124,4.179464894,,,,,0.0****,0.24
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,1.590452929,2,0.795226465,1.05166386,0.352450841,0.016679399,0.000812943,0.0****,0.4
0,,,,,,,,,,
1,,93.76387778,124,0.756160305,,,,,0.0****,0.4
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,2.119787868,2,1.059893934,0.896760368,0.410517419,0.014257656,-0.001628469,0.0****,0.03****
0,,,,,,,,,,
1,,146.5573775,124,1.181914335,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,2.465537273,2,1.232768636,1.067453237,0.347021618,0.01692558,0.001061129,0.0****,0.39
0,,,,,,,,,,
1,,143.2037541,124,1.154868984,,,,,0.0****,0.39
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,3.067041032,2,1.533520516,1.262640788,0.286517469,0.019958711,0.004119039,0.0****,0.15
0,,,,,,,,,,
1,,150.6022503,124,1.214534277,,,,,0.0****,0.15
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,0.531001654,2,0.265500827,0.214255736,0.80744012,0.003443837,-0.012528958,0.0****,0.33
0,,,,,,,,,,
1,,153.6579747,124,1.239177216,,,,,0.0****,0.33
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,2.015741523,2,1.007870762,0.980718484,0.377931318,0.015571726,-0.000303738,0.0****,0.17
0,,,,,,,,,,
1,,127.4330774,124,1.027686108,,,,,0.0****,0.17
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,1.752986218,2,0.876493109,1.402367496,0.249887938,0.022118535,0.006296598,0.0****,0.35
0,,,,,,,,,,
1,,77.50118701,124,0.625009573,,,,,0.0****,0.35
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,2.651757766,2,1.325878883,1.678016566,0.19095632,0.026351583,0.010564623,0.0****,0.09
0,,,,,,,,,,
1,,97.97816349,124,0.79014648,,,,,0.0****,0.09
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,0.001557966,2,0.000778983,0.000642146,0.999358064,1.04E-05,-0.015989561,0.0****,0.87
0,,,,,,,,,,
1,,150.4236389,124,1.213093862,,,,,0.0****,0.87
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,1.016976811,2,0.508488406,0.448186341,0.639816298,0.007176931,-0.008766157,0.0****,0.73
0,,,,,,,,,,
1,,140.6838106,124,1.13454686,,,,,0.0****,0.73
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_relevance,1.766459414,2,0.883229707,0.664310226,0.51645015,0.010601094,-0.005314548,0.0****,0.24
0,,,,,,,,,,
1,,164.8634618,124,1.329544047,,,,,0.0****,0.24
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_searchSim,2.532247229,2,1.266123614,0.717319918,0.490072436,0.01143735,-0.004471561,0.0****,0.49
0,,,,,,,,,,
1,,218.8693276,124,1.765075222,,,,,0.0****,0.49
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_decidDiff,4.085630394,2,2.042815197,1.234604884,0.294500865,0.019524197,0.003680966,0.0****,0.03****
0,,,,,,,,,,
1,,205.1742121,124,1.654630743,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_recImprove,1.259963445,2,0.629981723,0.532869285,0.58825638,0.008521427,-0.007410907,0.0****,0.64
0,,,,,,,,,,
1,,146.5983043,124,1.182244389,,,,,0.0****,0.64
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_control,1.022576545,2,0.511288273,0.421511452,0.656990924,0.006752663,-0.009193812,0.0****,0.33
0,,,,,,,,,,
1,,150.4104943,124,1.212987857,,,,,0.0****,0.33
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_proc_sorting,1.251725393,2,0.625862697,0.484018602,0.617461184,0.007746278,-0.008192259,0.0****,0.13
0,,,,,,,,,,
1,,160.3388258,124,1.293055047,,,,,0.0****,0.13
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_dem_movieUsage,5.273934543,2,2.636967272,0.816267424,0.444439741,0.012994523,-0.002901823,0.0****,0.32
0,,,,,,,,,,
1,,400.5843332,124,3.230518816,,,,,0.0****,0.32
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_dem_onlineUsage,1.621912882,2,0.810956441,1.576656189,0.210779532,0.024799294,0.008999474,0.0****,0.38
0,,,,,,,,,,
1,,63.77966192,124,0.514352112,,,,,0.0****,0.38
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_ageGroup,0.771562639,2,0.38578132,0.364312786,0.695414918,0.005841687,-0.010112052,0.0****,0.85
0,,,,,,,,,,
1,,131.3071775,124,1.058928851,,,,,0.0****,0.85
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dem_genderCat,0.099008831,2,0.049504415,0.174976658,0.839683527,0.002814262,-0.013163521,0.0****,0.14
0,,,,,,,,,,
1,,35.08209353,124,0.282920109,,,,,0.0****,0.14
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_All_IndexAvg,250.1912076,2,125.0956038,0.723088089,0.487286026,0.01152826,-0.004379918,0.01****,0.0****
0,,,,,,,,,,
1,,21452.23399,124,173.001887,,,,,0.01****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Title_IndexAvg,338.7959077,2,169.3979539,1.219329277,0.29894545,0.019287286,0.003442115,0.03****,0.0****
0,,,,,,,,,,
1,,17226.96787,124,138.9271603,,,,,0.03****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Image_IndexAvg,541.6550087,2,270.8275043,1.736093664,0.180462646,0.027238784,0.011459191,0.05****,0.0****
0,,,,,,,,,,
1,,19343.77806,124,155.9982102,,,,,0.05****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Plot_IndexAvg,33.41987298,2,16.70993649,0.113772821,0.892553735,0.001831684,-0.01415387,0.03****,0.0****
0,,,,,,,,,,
1,,18212.0132,124,146.8710742,,,,,0.03****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Genre_IndexAvg,188.2528041,2,94.12640203,0.662730433,0.517258027,0.01057615,-0.005339693,0.02****,0.0****
0,,,,,,,,,,
1,,17611.49523,124,142.0281873,,,,,0.02****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Stars_IndexAvg,83.44023234,2,41.72011617,0.288647326,0.749778469,0.004634028,-0.01132932,0.18,0.0****
0,,,,,,,,,,
1,,17922.54402,124,144.5366453,,,,,0.18,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Director_IndexAvg,57.37436635,2,28.68718317,0.164031549,0.848899101,0.002638689,-0.013340483,0.0****,0.0****
0,,,,,,,,,,
1,,21686.13744,124,174.8882052,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Date_IndexAvg,434.2847992,2,217.1423996,1.667769939,0.192871108,0.026194885,0.010406625,0.01****,0.0****
0,,,,,,,,,,
1,,16144.70733,124,130.1992526,,,,,0.01****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Tag_IndexAvg,311.6768158,2,155.8384079,0.955799838,0.387318733,0.015182078,-0.00069655,0.0****,0.0****
0,,,,,,,,,,
1,,20217.58303,124,163.0450244,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_SVD_IndexAvg,86.91570525,2,43.45785262,0.251967822,0.777666736,0.004047548,-0.011920458,0.0****,0.0****
