1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_sys_SUS,2326.416772,2,1163.208386,3.042638476,0.049417788,0.022955922,0.015353262,0.0****,0.72
0,,,,,,,,,,
1,,99016.35517,259,382.3025296,,,,,0.0****,0.72
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_freqUse,1.895154813,2,0.947577406,0.69283979,0.501078257,0.005321643,-0.002350245,0.0****,0.83
0,,,,,,,,,,
1,,354.2269826,259,1.367671747,,,,,0.0****,0.83
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_complex,8.68368136,2,4.34184068,2.73105519,0.067027262,0.02065366,0.013041825,0.0****,0.01****
0,,,,,,,,,,
1,,411.7590667,259,1.589803346,,,,,0.0****,0.01****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_easeUse,4.193828348,2,2.096914174,2.143047683,0.119372232,0.016279232,0.008650078,0.0****,0.4
0,,,,,,,,,,
1,,253.4244923,259,0.978472943,,,,,0.0****,0.4
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_techNeed,0.9325605,2,0.46628025,0.278804256,0.756914813,0.002148303,-0.005535787,0.0****,0.99
0,,,,,,,,,,
1,,433.1590426,259,1.672428736,,,,,0.0****,0.99
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_funcInteg,3.241908139,2,1.620954069,1.580778377,0.207794001,0.012059574,0.004413854,0.0****,0.29
0,,,,,,,,,,
1,,265.5825193,259,1.025415133,,,,,0.0****,0.29
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_inconsist,7.283436074,2,3.641718037,2.071349172,0.128098198,0.015743163,0.008111897,0.0****,0.49
0,,,,,,,,,,
1,,455.3577853,259,1.758138167,,,,,0.0****,0.49
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnUse,5.015020228,2,2.507510114,2.662199,0.071704324,0.020143422,0.01252956,0.0****,0.02****
0,,,,,,,,,,
1,,243.9506286,259,0.941894319,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_cumbUse,6.557727162,2,3.278863581,1.890280532,0.15310714,0.014386761,0.00675016,0.0****,0.6
0,,,,,,,,,,
1,,449.2590667,259,1.734590991,,,,,0.0****,0.6
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_confUse,3.609265507,2,1.804632754,1.765467351,0.173159637,0.013449595,0.005809317,0.0****,0.36
0,,,,,,,,,,
1,,264.7456963,259,1.022184156,,,,,0.0****,0.36
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_sys_learnToUse,5.668811552,2,2.834405776,1.677342333,0.188893411,0.01278683,0.005143955,0.0****,0.46
0,,,,,,,,,,
1,,437.6632495,259,1.689819496,,,,,0.0****,0.46
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceAavg,90.63517515,2,45.31758758,1.30589287,0.272708337,0.009983441,0.00232962,0.0****,0.0****
0,,,,,,,,,,
1,,8987.915817,259,34.70237767,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceCavg,14.05816626,2,7.029083128,0.345514032,0.708182165,0.002660962,-0.005021162,0.0****,0.44
0,,,,,,,,,,
1,,5269.055269,259,20.34384274,,,,,0.0****,0.44
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moveDistanceDavg,36.66110714,2,18.33055357,1.820043167,0.164084792,0.013859599,0.006220929,0.0****,0.0****
0,,,,,,,,,,
1,,2608.516908,259,10.07149385,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_clickCountAvg,14.05816626,2,7.029083128,0.345514032,0.708182165,0.002660962,-0.005021162,0.0****,0.44
0,,,,,,,,,,
1,,5269.055269,259,20.34384274,,,,,0.0****,0.44
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dragCountAvg,3.960241684,2,1.980120842,1.648292355,0.194389639,0.012568157,0.004924427,0.0****,0.0****
0,,,,,,,,,,
1,,311.1409797,259,1.201316524,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_movieInListPosAvg,0.493561098,2,0.246780549,0.409279918,0.66455707,0.003150506,-0.00452974,0.17,0.47
0,,,,,,,,,,
1,,156.1673549,259,0.60296276,,,,,0.17,0.47
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_moviePosAvg,7.618710359,2,3.80935518,1.098298401,0.33498578,0.008409745,0.000749807,0.0****,0.29
0,,,,,,,,,,
1,,898.3196103,259,3.468415484,,,,,0.0****,0.29
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_preferecControl,0.72838602,2,0.36419301,0.469041601,0.626131901,0.003608872,-0.004069612,0.0****,0.2
0,,,,,,,,,,
1,,201.103675,259,0.776462066,,,,,0.0****,0.2
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore1,0.170712936,2,0.085356468,0.0730072,0.92961326,0.000563445,-0.007126712,0.0****,0.5
0,,,,,,,,,,
1,,302.8102031,259,1.169151363,,,,,0.0****,0.5
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore2,0.084518545,2,0.042259273,0.0376256,0.963078711,0.000290461,-0.007400738,0.0****,0.75
0,,,,,,,,,,
1,,290.8963975,259,1.123152114,,,,,0.0****,0.75
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore3,3.019262628,2,1.509631314,1.188171907,0.306433584,0.009091656,0.001434366,0.0****,0.09
0,,,,,,,,,,
1,,329.0723404,259,1.270549577,,,,,0.0****,0.09
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore4,0.680066296,2,0.340033148,0.274357542,0.760280887,0.002114112,-0.00557011,0.0****,0.4
0,,,,,,,,,,
1,,320.999323,259,1.239379626,,,,,0.0****,0.4
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_satisfactionScore5,0.54462622,2,0.27231311,0.254549952,0.77545905,0.001961781,-0.005723025,0.0****,0.02****
0,,,,,,,,,,
1,,277.0736944,259,1.069782604,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_outc_listSatAvg,0.282475948,2,0.141237974,0.225687754,0.798123986,0.001739731,-0.005945926,0.0****,0.18
0,,,,,,,,,,
1,,162.0851576,259,0.625811419,,,,,0.0****,0.18
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_diversity,4.220448455,2,2.110224227,2.533796602,0.08132294,0.019190515,0.011572872,0.0****,0.08
0,,,,,,,,,,
1,,215.7032157,259,0.832830949,,,,,0.0****,0.08
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_novelty,0.379204748,2,0.189602374,0.160765893,0.851576292,0.001239896,-0.006447673,0.0****,0.33
0,,,,,,,,,,
1,,305.4566731,259,1.179369394,,,,,0.0****,0.33
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,q_outc_serendipity,0.129248121,2,0.064624061,0.058633411,0.943064932,0.000452563,-0.007238017,0.0****,0.89
0,,,,,,,,,,
