group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
,,,,,,,,,,
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-3.2343,0.6672,-12.4168,5.9483,FALSE,Very Small (-0.18),73.7234,16.5739,2.4175
,,,,,,,,,,
1,3,3.5385,0.6345,-5.8624,12.9394,FALSE,Very Small (0.19),70.4891,19.7035,2.9051
,,,,,,,,,,
2,3,6.7728,0.2095,-2.6763,16.2218,FALSE,Small (0.34),77.2619,19.7145,3.042
,,,,,,,,,,
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2007,0.6568,-0.7585,0.357,FALSE,Very Small (-0.19),3.766,1.1075,0.1616
,,,,,,,,,,
1,3,-0.1707,0.7393,-0.7417,0.4003,FALSE,Very Small (-0.14),3.5652,1.0467,0.1543
,,,,,,,,,,
2,3,0.03,0.9,-0.5439,0.6039,FALSE,Very Small (0.03),3.5952,1.2506,0.193
,,,,,,,,,,
q_sys_complex,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.0606,0.9,-0.6619,0.5407,FALSE,Very Small (-0.05),2.2128,1.2672,0.1848
,,,,,,,,,,
1,3,-0.308,0.4653,-0.9236,0.3076,FALSE,Small (-0.26),2.1522,1.2643,0.1864
,,,,,,,,,,
2,3,-0.2474,0.6027,-0.8662,0.3713,FALSE,Small (-0.21),1.9048,1.1221,0.1731
,,,,,,,,,,
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2345,0.4891,-0.7196,0.2506,FALSE,Small (-0.24),4.2128,0.8581,0.1252
,,,,,,,,,,
1,3,0.1444,0.7506,-0.3523,0.641,FALSE,Very Small (0.15),3.9783,1.085,0.16
,,,,,,,,,,
2,3,0.3789,0.174,-0.1203,0.8781,FALSE,Small (0.36),4.3571,1.0078,0.1555
,,,,,,,,,,
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1772,0.7519,-0.7887,0.4344,FALSE,Very Small (-0.14),1.8511,1.3348,0.1947
,,,,,,,,,,
1,3,-0.2558,0.5908,-0.8819,0.3702,FALSE,Small (-0.21),1.6739,1.2303,0.1814
,,,,,,,,,,
2,3,-0.0787,0.9,-0.7079,0.5506,FALSE,Very Small (-0.07),1.5952,1.1489,0.1773
,,,,,,,,,,
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.222,0.5019,-0.6901,0.2461,FALSE,Small (-0.27),3.7872,0.7784,0.1135
,,,,,,,,,,
1,3,0.0223,0.9,-0.457,0.5015,FALSE,Very Small (0.02),3.5652,0.8857,0.1306
,,,,,,,,,,
2,3,0.2443,0.4557,-0.2374,0.726,FALSE,Small (0.23),3.8095,1.1737,0.1811
,,,,,,,,,,
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.3973,0.3066,-0.2411,1.0358,FALSE,Small (0.3),2.2766,1.2459,0.1817
,,,,,,,,,,
1,3,-0.0623,0.9,-0.716,0.5913,FALSE,Very Small (-0.05),2.6739,1.3833,0.204
,,,,,,,,,,
2,3,-0.4596,0.2254,-1.1166,0.1974,FALSE,Small (-0.35),2.2143,1.2598,0.1944
,,,,,,,,,,
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1693,0.6638,-0.6465,0.3079,FALSE,Very Small (-0.17),4.2128,0.8581,0.1252
,,,,,,,,,,
1,3,0.0729,0.9,-0.4156,0.5615,FALSE,Very Small (0.08),4.0435,1.0946,0.1614
,,,,,,,,,,
2,3,0.2422,0.4752,-0.2488,0.7333,FALSE,Small (0.24),4.2857,0.9445,0.1457
,,,,,,,,,,
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.0046,0.9,-0.6175,0.6267,FALSE,None (0.0),2.2128,1.2672,0.1848
,,,,,,,,,,
1,3,-0.308,0.4888,-0.9449,0.3289,FALSE,Small (-0.25),2.2174,1.2981,0.1914
,,,,,,,,,,
2,3,-0.3126,0.4821,-0.9528,0.3275,FALSE,Small (-0.25),1.9048,1.2259,0.1892
,,,,,,,,,,
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.302,0.2939,-0.7788,0.1747,FALSE,Small (-0.34),4.1064,0.7585,0.1106
,,,,,,,,,,
1,3,0.0127,0.9,-0.4754,0.5008,FALSE,Very Small (0.01),3.8043,1.0027,0.1478
,,,,,,,,,,
2,3,0.3147,0.285,-0.1759,0.8053,FALSE,Small (0.29),4.119,1.1306,0.1744
,,,,,,,,,,
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.0009,0.9,-0.6095,0.6114,FALSE,None (0.0),2.0426,1.2503,0.1824
,,,,,,,,,,
1,3,-0.3997,0.2871,-1.0247,0.2253,FALSE,Small (-0.35),2.0435,1.3817,0.2037
,,,,,,,,,,
2,3,-0.4006,0.2891,-1.0288,0.2275,FALSE,Small (-0.33),1.6429,1.0551,0.1628
,,,,,,,,,,
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.1177,0.7242,-0.2617,0.4971,FALSE,Very Small (0.16),1.8128,0.784,0.1144
,,,,,,,,,,
1,3,0.0349,0.9,-0.3536,0.4233,FALSE,Very Small (0.04),1.9304,0.6736,0.0993
,,,,,,,,,,
2,3,-0.0828,0.857,-0.4732,0.3076,FALSE,Very Small (-0.11),1.8476,0.854,0.1318
,,,,,,,,,,
c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.3866,0.4905,-1.188,0.4148,FALSE,Small (-0.24),2.417,1.737,0.2534
,,,,,,,,,,
1,3,-0.4218,0.4461,-1.2422,0.3986,FALSE,Small (-0.25),2.0304,1.533,0.226
,,,,,,,,,,
2,3,-0.0352,0.9,-0.8598,0.7894,FALSE,Very Small (-0.02),1.9952,1.6088,0.2482
,,,,,,,,,,
c_preferecControl,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
1,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
2,3,0,0.5566,0,0,FALSE,Huge (nan),0,0,0
,,,,,,,,,,
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.3219,0.3124,-0.8434,0.1996,FALSE,Small (-0.3),4.1915,0.9473,0.1382
,,,,,,,,,,
1,3,-0.1915,0.6585,-0.7254,0.3424,FALSE,Very Small (-0.19),3.8696,1.1853,0.1748
,,,,,,,,,,
2,3,0.1304,0.8151,-0.4062,0.6671,FALSE,Very Small (0.12),4,1.0359,0.1598
,,,,,,,,,,
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2812,0.3988,-0.7937,0.2313,FALSE,Small (-0.28),4.0638,1.0301,0.1503
,,,,,,,,,,
1,3,-0.1353,0.7952,-0.6599,0.3894,FALSE,Very Small (-0.13),3.7826,0.9869,0.1455
,,,,,,,,,,
2,3,0.146,0.7694,-0.3814,0.6733,FALSE,Very Small (0.14),3.9286,1.113,0.1717
,,,,,,,,,,
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.1471,0.7951,-0.4234,0.7176,FALSE,Very Small (0.12),3.766,1.2548,0.183
,,,,,,,,,,
1,3,0.1388,0.8224,-0.4452,0.7228,FALSE,Very Small (0.12),3.913,1.1319,0.1669
,,,,,,,,,,
2,3,-0.0083,0.9,-0.5953,0.5787,FALSE,None (-0.01),3.9048,1.0777,0.1663
,,,,,,,,,,
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.0888,0.9,-0.6378,0.4602,FALSE,Very Small (-0.09),3.9149,0.9285,0.1354
,,,,,,,,,,
1,3,-0.3435,0.3196,-0.9055,0.2186,FALSE,Small (-0.31),3.8261,1.1412,0.1683
,,,,,,,,,,
2,3,-0.2547,0.5337,-0.8196,0.3102,FALSE,Small (-0.21),3.5714,1.2715,0.1962
,,,,,,,,,,
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.0846,0.9,-0.6006,0.4313,FALSE,Very Small (-0.08),4.1064,1.1274,0.1644
,,,,,,,,,,
1,3,-0.0588,0.9,-0.587,0.4694,FALSE,Very Small (-0.06),4.0217,1.1053,0.163
,,,,,,,,,,
2,3,0.0259,0.9,-0.505,0.5568,FALSE,Very Small (0.03),4.0476,0.8821,0.1361
,,,,,,,,,,
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1259,0.7051,-0.5141,0.2623,FALSE,Very Small (-0.16),4.0085,0.8075,0.1178
,,,,,,,,,,
1,3,-0.118,0.7421,-0.5155,0.2794,FALSE,Very Small (-0.15),3.8826,0.7895,0.1164
,,,,,,,,,,
2,3,0.0079,0.9,-0.3916,0.4074,FALSE,Very Small (0.01),3.8905,0.7692,0.1187
,,,,,,,,,,
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2387,0.434,-0.6952,0.2178,FALSE,Small (-0.25),4.0213,0.9438,0.1377
,,,,,,,,,,
1,3,0.0025,0.9,-0.4648,0.4699,FALSE,None (0.0),3.7826,0.9408,0.1387
,,,,,,,,,,
2,3,0.2412,0.4469,-0.2285,0.7109,FALSE,Small (0.26),4.0238,0.8968,0.1384
,,,,,,,,,,
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1744,0.6987,-0.7043,0.3556,FALSE,Very Small (-0.17),3.9787,0.9438,0.1377
,,,,,,,,,,
1,3,-0.1216,0.8408,-0.6641,0.421,FALSE,Very Small (-0.12),3.8043,1.1474,0.1692
,,,,,,,,,,
2,3,0.0528,0.9,-0.4926,0.5981,FALSE,Very Small (0.05),3.8571,1.1385,0.1757
,,,,,,,,,,
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.2636,0.4357,-0.7691,0.2418,FALSE,Small (-0.26),3.8723,1.0554,0.1539
,,,,,,,,,,
1,3,-0.2057,0.606,-0.7232,0.3118,FALSE,Very Small (-0.2),3.6087,0.9995,0.1474
,,,,,,,,,,
