group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
,,,,,,,,,,
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.6928,0.9,-9.2431,10.6286,FALSE,Very Small (0.04),62.8191,19.523,2.8477
,,,,,,,,,,
4,6,7.8387,0.1669,-2.3696,18.047,FALSE,Small (0.4),63.5119,19.947,3.0779
,,,,,,,,,,
5,6,7.146,0.242,-3.3304,17.6224,FALSE,Small (0.36),70.6579,19.7252,3.1998
,,,,,,,,,,
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.4488,0.1816,-0.1503,1.048,FALSE,Small (0.37),3.1702,1.1669,0.1702
,,,,,,,,,,
4,6,0.5929,0.0617,-0.0226,1.2085,FALSE,Medium (0.52),3.619,1.2869,0.1986
,,,,,,,,,,
5,6,0.1441,0.8352,-0.4876,0.7758,FALSE,Very Small (0.12),3.7632,1.1012,0.1786
,,,,,,,,,,
q_sys_complex,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1738,0.7737,-0.4616,0.8091,FALSE,Very Small (0.13),2.6596,1.3558,0.1978
,,,,,,,,,,
4,6,-0.4227,0.278,-1.0755,0.23,FALSE,Small (-0.34),2.8333,1.2672,0.1955
,,,,,,,,,,
5,6,-0.5965,0.0914,-1.2664,0.0734,FALSE,Small (-0.5),2.2368,1.1255,0.1826
,,,,,,,,,,
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0203,0.9,-0.5138,0.4732,FALSE,Very Small (-0.02),3.8298,1.0069,0.1469
,,,,,,,,,,
4,6,0.2228,0.5487,-0.2842,0.7299,FALSE,Small (0.23),3.8095,1.0178,0.1571
,,,,,,,,,,
5,6,0.2431,0.5111,-0.2772,0.7635,FALSE,Small (0.25),4.0526,0.8989,0.1458
,,,,,,,,,,
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.0527,0.9,-0.6191,0.7244,FALSE,Very Small (0.04),2.0426,1.2151,0.1772
,,,,,,,,,,
4,6,-0.0162,0.9,-0.7064,0.6739,FALSE,Very Small (-0.01),2.0952,1.34,0.2068
,,,,,,,,,,
5,6,-0.0689,0.9,-0.7772,0.6394,FALSE,Very Small (-0.05),2.0263,1.461,0.237
,,,,,,,,,,
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1272,0.8265,-0.6693,0.415,FALSE,Very Small (-0.12),3.5319,1.0183,0.1485
,,,,,,,,,,
4,6,0.1786,0.7097,-0.3784,0.7356,FALSE,Very Small (0.17),3.4048,1.1699,0.1805
,,,,,,,,,,
5,6,0.3058,0.4171,-0.2659,0.8774,FALSE,Small (0.28),3.7105,1.0374,0.1683
,,,,,,,,,,
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0841,0.9,-0.7586,0.5904,FALSE,Very Small (-0.06),2.8936,1.3551,0.1977
,,,,,,,,,,
4,6,-0.4462,0.282,-1.1393,0.2468,FALSE,Small (-0.33),2.8095,1.3478,0.208
,,,,,,,,,,
5,6,-0.3622,0.4525,-1.0734,0.3491,FALSE,Small (-0.27),2.4474,1.309,0.2123
,,,,,,,,,,
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1494,0.7154,-0.6216,0.3227,FALSE,Very Small (-0.16),3.7447,0.8961,0.1307
,,,,,,,,,,
4,6,0.308,0.2921,-0.1772,0.7931,FALSE,Small (0.34),3.5952,1.0136,0.1564
,,,,,,,,,,
5,6,0.4574,0.0788,-0.0405,0.9553,FALSE,Small (0.48),4.0526,0.8989,0.1458
,,,,,,,,,,
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.153,0.8301,-0.8129,0.5069,FALSE,Very Small (-0.12),2.9149,1.4116,0.2059
,,,,,,,,,,
4,6,-0.4149,0.3183,-1.0929,0.2631,FALSE,Small (-0.31),2.7619,1.2259,0.1892
,,,,,,,,,,
5,6,-0.2619,0.6342,-0.9577,0.4339,FALSE,Small (-0.21),2.5,1.2681,0.2057
,,,,,,,,,,
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.001,0.9,-0.5314,0.5334,FALSE,None (0.0),3.8085,1.1159,0.1628
,,,,,,,,,,
4,6,0.2704,0.4732,-0.2766,0.8174,FALSE,Small (0.27),3.8095,1.1313,0.1746
,,,,,,,,,,
5,6,0.2694,0.4936,-0.2919,0.8308,FALSE,Small (0.27),4.0789,0.8817,0.143
,,,,,,,,,,
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1135,0.9,-0.7885,0.5615,FALSE,Very Small (-0.09),2.4468,1.3482,0.1967
,,,,,,,,,,
4,6,-0.2626,0.6312,-0.9561,0.4309,FALSE,Very Small (-0.19),2.3333,1.2815,0.1977
,,,,,,,,,,
5,6,-0.1491,0.8604,-0.8609,0.5626,FALSE,Very Small (-0.11),2.1842,1.3922,0.2258
,,,,,,,,,,
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-2.0827,0.3418,-5.5973,1.4319,FALSE,Small (-0.29),8.0255,8.3213,1.2138
,,,,,,,,,,
4,6,-2.2624,0.3015,-5.8734,1.3486,FALSE,Small (-0.31),5.9429,5.9177,0.9131
,,,,,,,,,,
5,6,-0.1797,0.9,-3.8855,3.5261,FALSE,Very Small (-0.03),5.7632,6.1847,1.0033
,,,,,,,,,,
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.4892,0.9,-3.3038,2.3254,FALSE,Very Small (-0.09),5.0511,5.9478,0.8676
,,,,,,,,,,
4,6,-0.9142,0.7159,-3.806,1.9775,FALSE,Very Small (-0.16),4.5619,5.4019,0.8335
,,,,,,,,,,
5,6,-0.4251,0.9,-3.3928,2.5427,FALSE,Very Small (-0.08),4.1368,5.3207,0.8631
,,,,,,,,,,
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-1.5935,0.1946,-3.7658,0.5788,FALSE,Small (-0.35),2.9745,5.5719,0.8127
,,,,,,,,,,
4,6,-1.3482,0.3277,-3.58,0.8837,FALSE,Small (-0.29),1.381,3.3782,0.5213
,,,,,,,,,,
5,6,0.2454,0.9,-2.0451,2.5358,FALSE,Very Small (0.07),1.6263,3.3286,0.54
,,,,,,,,,,
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.4892,0.9,-3.3038,2.3254,FALSE,Very Small (-0.09),5.0511,5.9478,0.8676
,,,,,,,,,,
4,6,-0.9142,0.7159,-3.806,1.9775,FALSE,Very Small (-0.16),4.5619,5.4019,0.8335
,,,,,,,,,,
5,6,-0.4251,0.9,-3.3928,2.5427,FALSE,Very Small (-0.08),4.1368,5.3207,0.8631
,,,,,,,,,,
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.4228,0.3791,-1.1734,0.3278,FALSE,Small (-0.26),1.0085,1.8734,0.2733
,,,,,,,,,,
4,6,-0.5401,0.2245,-1.3113,0.2311,FALSE,Small (-0.36),0.5857,1.3495,0.2082
,,,,,,,,,,
5,6,-0.1173,0.9,-0.9088,0.6742,FALSE,Very Small (-0.1),0.4684,1.0296,0.167
,,,,,,,,,,
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.0751,0.8778,-0.3066,0.4568,FALSE,Very Small (0.1),1.5106,0.7721,0.1126
,,,,,,,,,,
4,6,0.0525,0.9,-0.3397,0.4447,FALSE,Very Small (0.07),1.5857,0.737,0.1137
,,,,,,,,,,
5,6,-0.0226,0.9,-0.425,0.3799,FALSE,Very Small (-0.03),1.5632,0.7624,0.1237
,,,,,,,,,,
c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.4355,0.5712,-1.4653,0.5944,FALSE,Small (-0.21),1.7021,2.3435,0.3418
,,,,,,,,,,
4,6,-0.1863,0.9,-1.2444,0.8717,FALSE,Very Small (-0.09),1.2667,1.8645,0.2877
,,,,,,,,,,
5,6,0.2491,0.8334,-0.8367,1.335,FALSE,Very Small (0.14),1.5158,1.8239,0.2959
,,,,,,,,,,
c_preferecControl,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1945,0.5424,-0.2435,0.6326,FALSE,Small (0.23),1.234,0.8651,0.1262
,,,,,,,,,,
4,6,-0.0761,0.9,-0.5262,0.3739,FALSE,Very Small (-0.09),1.4286,0.8306,0.1282
,,,,,,,,,,
5,6,-0.2707,0.3499,-0.7325,0.1912,FALSE,Small (-0.31),1.1579,0.9161,0.1486
,,,,,,,,,,
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.2953,0.4111,-0.2523,0.843,FALSE,Small (0.29),3.6809,1.1249,0.1641
,,,,,,,,,,
4,6,0.056,0.9,-0.5067,0.6186,FALSE,Very Small (0.05),3.9762,0.8968,0.1384
,,,,,,,,,,
5,6,-0.2393,0.5825,-0.8168,0.3381,FALSE,Small (-0.22),3.7368,1.2233,0.1984
,,,,,,,,,,
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.3242,0.3339,-0.2171,0.8656,FALSE,Small (0.3),3.7234,1.1364,0.1658
,,,,,,,,,,
4,6,0.224,0.5986,-0.3322,0.7801,FALSE,Small (0.21),4.0476,1.0348,0.1597
,,,,,,,,,,
5,6,-0.1003,0.9,-0.671,0.4705,FALSE,Very Small (-0.1),3.9474,1.0384,0.1684
,,,,,,,,,,
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.3718,0.2545,-0.1833,0.927,FALSE,Small (0.33),3.7234,1.2459,0.1817
,,,,,,,,,,
4,6,0.1713,0.7372,-0.399,0.7417,FALSE,Very Small (0.15),4.0952,1.0075,0.1555
,,,,,,,,,,
5,6,-0.2005,0.6801,-0.7859,0.3848,FALSE,Very Small (-0.2),3.8947,1.0078,0.1635
,,,,,,,,,,
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1125,0.8725,-0.4483,0.6732,FALSE,Very Small (0.1),3.7447,1.1319,0.1651
,,,,,,,,,,
4,6,0.1501,0.7913,-0.4261,0.7262,FALSE,Very Small (0.14),3.8571,1.1806,0.1822
,,,,,,,,,,
5,6,0.0376,0.9,-0.5537,0.6289,FALSE,Very Small (0.03),3.8947,1.0078,0.1635
,,,,,,,,,,
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.3004,0.3471,-0.2103,0.8111,FALSE,Small (0.28),3.7234,1.0975,0.1601
,,,,,,,,,,
4,6,0.1187,0.8377,-0.406,0.6434,FALSE,Very Small (0.12),4.0238,1.0474,0.1616
,,,,,,,,,,
5,6,-0.1817,0.687,-0.7201,0.3567,FALSE,Very Small (-0.19),3.8421,0.8551,0.1387
,,,,,,,,,,
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.2809,0.2199,-0.1174,0.6791,FALSE,Small (0.35),3.7191,0.8684,0.1267
,,,,,,,,,,
4,6,0.144,0.6673,-0.2652,0.5532,FALSE,Very Small (0.18),4,0.7391,0.1141
,,,,,,,,,,
5,6,-0.1368,0.7027,-0.5568,0.2831,FALSE,Very Small (-0.18),3.8632,0.7427,0.1205
,,,,,,,,,,
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.266,0.34,-0.7137,0.1818,FALSE,Small (-0.3),3.766,0.7861,0.1147
,,,,,,,,,,
4,6,0.0761,0.9,-0.3839,0.5362,FALSE,Very Small (0.09),3.5,0.9939,0.1534
,,,,,,,,,,
5,6,0.3421,0.2024,-0.13,0.8142,FALSE,Small (0.36),3.8421,0.8861,0.1437
,,,,,,,,,,
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
