group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
c_sys_SUS,-,-,-,-,-,-,-,-,-,-
1,2,-1.1122,0.9,-7.9492,5.7249,False,Very Small (-0.06),68.2713,18.8266,1.9418
1,3,5.8537,0.1224,-1.1577,12.8651,False,Small (0.3),67.1591,20.015,2.1336
2,3,6.9659,0.0567,-0.1545,14.0863,False,Small (0.35),74.125,19.8734,2.2219
q_sys_freqUse,-,-,-,-,-,-,-,-,-,-
1,2,0.1228,0.7392,-0.2861,0.5318,False,Very Small (0.11),3.4681,1.1704,0.1207
1,3,0.2069,0.478,-0.2124,0.6263,False,Very Small (0.18),3.5909,1.161,0.1238
2,3,0.0841,0.878,-0.3418,0.51,False,Very Small (0.07),3.675,1.1776,0.1317
q_sys_complex,-,-,-,-,-,-,-,-,-,-
1,2,0.0411,0.9,-0.3998,0.482,False,Very Small (0.03),2.4362,1.3244,0.1366
1,3,-0.3737,0.1274,-0.8258,0.0785,False,Small (-0.3),2.4773,1.3041,0.139
2,3,-0.4148,0.086,-0.8739,0.0444,False,Small (-0.34),2.0625,1.1289,0.1262
q_sys_easeUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.1235,0.6626,-0.4694,0.2223,False,Very Small (-0.12),4.0213,0.9501,0.098
1,3,0.1912,0.4146,-0.1635,0.5459,False,Very Small (0.2),3.8977,1.0509,0.112
2,3,0.3148,0.1003,-0.0455,0.675,False,Small (0.31),4.2125,0.9638,0.1078
q_sys_techNeed,-,-,-,-,-,-,-,-,-,-
1,2,-0.0718,0.9,-0.524,0.3804,False,Very Small (-0.06),1.9468,1.2731,0.1313
1,3,-0.1468,0.7174,-0.6105,0.3169,False,Very Small (-0.11),1.875,1.2938,0.1379
2,3,-0.075,0.9,-0.546,0.396,False,Very Small (-0.06),1.8,1.3159,0.1471
q_sys_funcInteg,-,-,-,-,-,-,-,-,-,-
1,2,-0.1709,0.493,-0.525,0.1832,False,Very Small (-0.18),3.6596,0.9105,0.0939
1,3,0.1029,0.762,-0.2602,0.466,False,Very Small (0.1),3.4886,1.0283,0.1096
2,3,0.2739,0.1887,-0.0949,0.6426,False,Small (0.26),3.7625,1.1052,0.1236
q_sys_inconsist,-,-,-,-,-,-,-,-,-,-
1,2,0.1535,0.6977,-0.3101,0.6172,False,Very Small (0.11),2.5851,1.3313,0.1373
1,3,-0.2601,0.4039,-0.7356,0.2154,False,Very Small (-0.2),2.7386,1.3603,0.145
2,3,-0.4136,0.1096,-0.8965,0.0692,False,Small (-0.31),2.325,1.2806,0.1432
q_sys_learnUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.1492,0.5515,-0.4885,0.1902,False,Very Small (-0.15),3.9787,0.9037,0.0932
1,3,0.1963,0.3814,-0.1517,0.5443,False,Small (0.21),3.8295,1.0745,0.1145
2,3,0.3455,0.057,-0.008,0.6989,False,Small (0.34),4.175,0.9247,0.1034
q_sys_cumbUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.0866,0.8908,-0.5471,0.374,False,Very Small (-0.06),2.5638,1.38,0.1423
1,3,-0.3763,0.1471,-0.8486,0.0959,False,Small (-0.28),2.4773,1.2863,0.1371
2,3,-0.2898,0.3305,-0.7694,0.1899,False,Small (-0.23),2.1875,1.2738,0.1424
q_sys_confUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.1506,0.5697,-0.5042,0.2029,False,Very Small (-0.15),3.9574,0.9607,0.0991
1,3,0.1426,0.614,-0.22,0.5051,False,Very Small (0.14),3.8068,1.0598,0.113
2,3,0.2932,0.1475,-0.075,0.6614,False,Small (0.28),4.1,1.0138,0.1133
q_sys_learnToUse,-,-,-,-,-,-,-,-,-,-
1,2,-0.0629,0.9,-0.5174,0.3917,False,Very Small (-0.05),2.2447,1.3091,0.135
1,3,-0.3447,0.1914,-0.8108,0.1215,False,Small (-0.27),2.1818,1.3352,0.1423
2,3,-0.2818,0.3414,-0.7552,0.1916,False,Small (-0.22),1.9,1.2488,0.1396
c_moveDistanceAavg,-,-,-,-,-,-,-,-,-,-
1,2,-1.1764,0.3721,-3.2363,0.8835,False,Very Small (-0.19),4.0128,7.1081,0.7331
1,3,-1.2753,0.3311,-3.3877,0.8371,False,Small (-0.21),2.8364,5.0414,0.5374
2,3,-0.0989,0.9,-2.2441,2.0464,False,Very Small (-0.02),2.7375,5.1286,0.5734
c_moveDistanceCavg,-,-,-,-,-,-,-,-,-,-
1,2,-0.3483,0.8465,-1.9254,1.2289,False,Very Small (-0.08),2.5255,4.8934,0.5047
1,3,-0.5605,0.6769,-2.1779,1.0569,False,Very Small (-0.12),2.1773,4.3593,0.4647
2,3,-0.2123,0.9,-1.8548,1.4303,False,Very Small (-0.05),1.965,4.1929,0.4688
c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
1,2,-0.8281,0.1856,-1.9379,0.2816,False,Small (-0.24),1.4872,4.1943,0.4326
1,3,-0.7147,0.3024,-1.8527,0.4233,False,Small (-0.21),0.6591,2.4206,0.258
2,3,0.1134,0.9,-1.0423,1.2691,False,Very Small (0.05),0.7725,2.4201,0.2706
c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.3483,0.8465,-1.9254,1.2289,False,Very Small (-0.08),2.5255,4.8934,0.5047
1,3,-0.5605,0.6769,-2.1779,1.0569,False,Very Small (-0.12),2.1773,4.3593,0.4647
2,3,-0.2123,0.9,-1.8548,1.4303,False,Very Small (-0.05),1.965,4.1929,0.4688
c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
1,2,-0.2247,0.3526,-0.608,0.1585,False,Very Small (-0.19),0.5043,1.4117,0.1456
1,3,-0.2818,0.2112,-0.6748,0.1113,False,Small (-0.25),0.2795,0.972,0.1036
2,3,-0.057,0.9,-0.4562,0.3421,False,Very Small (-0.07),0.2225,0.7429,0.0831
c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.1042,0.6267,-0.1673,0.3757,False,Very Small (0.14),1.6617,0.7886,0.0813
1,3,0.0508,0.8983,-0.2277,0.3292,False,Very Small (0.06),1.7659,0.7216,0.0769
