sessionName,time,condition,v_attention1,v_refMovie_1,v_preListOrder_1,v_postListOrder_1,v_listSelectedFrom1,v_movieSelected1,v_moviePosition1,v_clickCount1,v_dragCount1,v_moveDistanceA1,v_moveDistanceC1,v_moveDistanceD1,v_browsingTime1,v_zoomPressed1,q_outc_satisfactionScore1,c_movieInListPos1,v_refMovie_2,v_preListOrder_2,v_postListOrder_2,v_listSelectedFrom2,v_movieSelected2,v_moviePosition2,v_clickCount2,v_dragCount2,v_moveDistanceA2,v_moveDistanceC2,v_moveDistanceD2,v_browsingTime2,v_zoomPressed2,q_outc_satisfactionScore2,c_movieInListPos2,v_refMovie_3,v_preListOrder_3,v_postListOrder_3,v_listSelectedFrom3,v_movieSelected3,v_moviePosition3,v_clickCount3,v_dragCount3,v_moveDistanceA3,v_moveDistanceC3,v_moveDistanceD3,v_browsingTime3,v_zoomPressed3,q_outc_satisfactionScore3,c_movieInListPos3,v_refMovie_4,v_preListOrder_4,v_postListOrder_4,v_listSelectedFrom4,v_movieSelected4,v_moviePosition4,v_clickCount4,v_dragCount4,v_moveDistanceA4,v_moveDistanceC4,v_moveDistanceD4,v_browsingTime4,v_zoomPressed4,q_outc_satisfactionScore4,c_movieInListPos4,v_refMovie_5,v_preListOrder_5,v_postListOrder_5,v_listSelectedFrom5,v_movieSelected5,v_moviePosition5,v_clickCount5,v_dragCount5,v_moveDistanceA5,v_moveDistanceC5,v_moveDistanceD5,v_browsingTime5,v_zoomPressed5,q_outc_satisfactionScore5,c_movieInListPos5,c_moveDistanceAavg,c_moveDistanceCavg,c_moveDistanceDavg,c_clickCountAvg,c_dragCountAvg,c_movieInListPosAvg,c_preferecControl,c_moviePosAvg,v_surveyTime,v_totalTime,v_attention2,q_dem_onlineUsage,q_dem_movieUsage,q_dem_age,c_ageGroup,q_dem_gender,c_dem_genderCat,q_sys_freqUse,q_sys_complex,q_sys_easeUse,q_sys_techNeed,q_sys_funcInteg,q_sys_inconsist,q_sys_learnUse,q_sys_cumbUse,q_sys_confUse,q_sys_learnToUse,c_sys_SUS,q_proc_searchSim,q_proc_decidDiff,q_proc_recImprove,q_proc_control,q_proc_sorting,c_outc_listSatAvg,q_outc_diversity,q_outc_novelty,q_outc_serendipity,q_outc_relevance,q_comment,c_All_IndexAvg,c_Title_IndexAvg,c_Image_IndexAvg,c_Plot_IndexAvg,c_Genre_IndexAvg,c_Stars_IndexAvg,c_Director_IndexAvg,c_Date_IndexAvg,c_Tag_IndexAvg,c_SVD_IndexAvg,c_Baseline_IndexAvg,c_All_Picked,c_Title_Picked,c_Image_Picked,c_Plot_Picked,c_Genre_Picked,c_Stars_Picked,c_Director_Picked,c_Date_Picked,c_Tag_Picked,c_SVD_Picked,c_Baseline_Picked
KFZ8XMLXV3F3P,2020-10-07T10:26:02.679Z,1,FALSE,2412.json,Genre-Director-Title-Image-All-Plot-Date-SVD-Tag-Baseline-Stars,Genre-Director-Title-Image-All-Plot-Date-SVD-Tag-Baseline-Stars,Director,1954.json,1,0,0,0,0,0,50.09,0,2,0,1387.json,Title-Stars-SVD-Tag-All-Genre-Baseline-Image-Date-Director-Plot,Title-Stars-SVD-Tag-All-Genre-Baseline-Image-Date-Director-Plot,Title,2.json,0,0,0,0,0,0,8.41,0,4,4,2115.json,Title-All-Plot-Tag-Stars-Genre-Date-Image-Baseline-Director-SVD,Title-All-Plot-Tag-Stars-Genre-Date-Image-Baseline-Director-SVD,Tag,480.json,3,0,0,0,0,0,13.6,0,3,4,1882.json,Plot-Director-Tag-Title-Genre-Baseline-Image-SVD-Stars-All-Date,Plot-Director-Tag-Title-Genre-Baseline-Image-SVD-Stars-All-Date,Director,589.json,1,0,0,0,0,0,6.66,0,4,0,1214.json,Plot-Baseline-Stars-Date-All-Director-Image-Genre-SVD-Title-Tag,Plot-Baseline-Stars-Date-All-Director-Image-Genre-SVD-Title-Tag,Baseline,2186.json,1,0,0,0,0,0,6.33,0,2,4,0,0,0,0,0,2.4,0,1.2,87.87,315.36,TRUE,1,7,33,2,Male,2,4,2,5,1,4,2,5,1,5,1,90,3,4,2,3,4,3,5,4,4,2,It works nicely overall.,22,14,29,17,21,25,25,33,26,34,29,0,1,0,0,0,0,2,0,1,0,1
KFZBKJE8U65OI,2020-10-07T11:39:33.346Z,1,FALSE,2571.json,Director-Title-Baseline-Genre-All-Date-Image-Stars-Plot-SVD-Tag,Director-Title-Baseline-Genre-All-Date-Image-Stars-Plot-SVD-Tag,Director,27660.json,0,0,0,0,0,0,82.69,2,4,2,2959.json,Baseline-Genre-Director-All-Title-Date-Tag-Image-SVD-Plot-Stars,Baseline-Genre-Director-All-Title-Date-Tag-Image-SVD-Plot-Stars,Tag,51255.json,6,0,0,0,0,0,30.2,0,3,2,4239.json,Genre-SVD-Plot-Date-All-Stars-Tag-Director-Baseline-Title-Image,Genre-SVD-Plot-Date-All-Stars-Tag-Director-Baseline-Title-Image,Genre,858.json,0,0,0,0,0,0,12.09,0,4,3,56782.json,Date-Director-Stars-Plot-Title-Tag-Baseline-Genre-Image-All-SVD,Date-Director-Stars-Plot-Title-Tag-Baseline-Genre-Image-All-SVD,Date,56757.json,0,0,0,0,0,0,15.28,0,3,2,56757.json,Genre-All-Image-SVD-Title-Director-Date-Baseline-Stars-Plot-Tag,Genre-All-Image-SVD-Title-Director-Date-Baseline-Stars-Plot-Tag,All,37729.json,1,0,0,0,0,0,11.8,0,3,3,0,0,0,0,0,2.4,0,1.4,74.86,323.12,FALSE,1,1,36,3,Male,2,4,2,4,2,4,2,4,2,4,2,75,4,2,4,2,4,3.4,3,4,3,3,na                ,21,22,33,31,11,32,15,19,37,31,23,1,0,0,0,1,0,1,1,1,0,0
KFZ6ULXED3DL7,2020-10-07T09:27:28.509Z,1,FALSE,2167.json,Plot-Title-Date-All-Stars-Baseline-Image-Director-SVD-Genre-Tag,Plot-Title-Date-All-Stars-Baseline-Image-Director-SVD-Genre-Tag,Plot,8985.json,0,0,0,0,0,0,14.97,2,5,0,89745.json,All-Director-Image-Baseline-Stars-SVD-Title-Tag-Genre-Date-Plot,All-Director-Image-Baseline-Stars-SVD-Title-Tag-Genre-Date-Plot,All,122892.json,0,0,0,0,0,0,6.34,0,5,0,59315.json,Tag-Genre-Stars-Plot-Image-All-Date-Title-Director-SVD-Baseline,Tag-Genre-Stars-Plot-Image-All-Date-Title-Director-SVD-Baseline,Tag,77561.json,0,0,0,0,0,0,6.09,0,5,0,4881.json,All-Plot-Director-Stars-Date-Tag-Title-Baseline-SVD-Genre-Image,All-Plot-Director-Stars-Date-Tag-Title-Baseline-SVD-Genre-Image,Plot,2125.json,1,0,0,0,0,0,21.73,0,5,4,4005.json,SVD-Baseline-Director-Image-All-Genre-Date-Plot-Tag-Stars-Title,SVD-Baseline-Director-Image-All-Genre-Date-Plot-Tag-Stars-Title,SVD,3082.json,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0.8,0,0.2,96.43,337.37,FALSE,1,6,40,3,Female,1,5,3,5,4,5,4,4,5,5,4,60,4,5,5,4,5,5,4,4,5,4,Nothing,12,30,25,21,32,22,20,27,30,30,26,1,0,0,2,0,0,0,0,1,1,0
KFZ8USI5JBQFK,2020-10-07T10:23:34.266Z,1,TRUE,3526.json,Title-Image-SVD-Tag-Baseline-Director-Plot-Stars-Genre-All-Date,Title-Image-SVD-Tag-Baseline-Director-Plot-Stars-Genre-All-Date,Image,30825.json,1,0,0,0,0,0,18.75,0,5,3,3948.json,Genre-Baseline-Date-Image-Plot-Title-SVD-Director-All-Tag-Stars,Genre-Baseline-Date-Image-Plot-Title-SVD-Director-All-Tag-Stars,Date,3991.json,2,0,0,0,0,0,18.36,0,5,0,3991.json,Tag-Plot-Director-Image-Genre-Baseline-All-Date-SVD-Title-Stars,Tag-Plot-Director-Image-Genre-Baseline-All-Date-SVD-Title-Stars,Tag,711.json,0,0,0,0,0,0,7.45,0,5,2,711.json,Baseline-Image-All-Title-SVD-Date-Genre-Director-Plot-Tag-Stars,Baseline-Image-All-Title-SVD-Date-Genre-Director-Plot-Tag-Stars,Image,104211.json,1,0,0,0,0,0,14.82,0,5,2,104211.json,Genre-Tag-Title-Plot-SVD-Date-Director-Baseline-Image-All-Stars,Genre-Tag-Title-Plot-SVD-Date-Director-Baseline-Image-All-Stars,Tag,95441.json,1,0,0,0,0,0,12.99,0,5,0,0,0,0,0,0,1.4,0,1,118.34,365.37,TRUE,2,2,68,5,Female,1,4,2,4,2,4,2,4,2,4,2,75,2,2,4,4,4,5,4,4,4,4,none,34,19,16,22,18,47,27,29,22,24,17,0,0,2,0,0,0,0,1,2,0,0
KFZBLHF70IO5V,2020-10-07T11:37:49.622Z,1,FALSE,4642.json,Stars-Title-Plot-Image-SVD-Date-Baseline-Tag-Director-All-Genre,Stars-Title-Plot-Image-SVD-Date-Baseline-Tag-Director-All-Genre,Plot,1683.json,2,0,0,0,0,0,14.41,2,5,4,14.json,Genre-Tag-Baseline-Title-Date-Image-SVD-Plot-Stars-All-Director,Genre-Tag-Baseline-Title-Date-Image-SVD-Plot-Stars-All-Director,Date,15.json,4,0,0,0,0,0,17.89,0,5,0,5.json,Title-SVD-Director-Plot-Stars-Image-Date-All-Tag-Genre-Baseline,Title-SVD-Director-Plot-Stars-Image-Date-All-Tag-Genre-Baseline,Plot,2518.json,3,0,0,0,0,0,10,0,5,3,81591.json,Stars-All-Plot-Baseline-Date-Image-SVD-Genre-Title-Tag-Director,Stars-All-Plot-Baseline-Date-Image-SVD-Genre-Title-Tag-Director,Title,49530.json,8,0,0,0,0,0,14.03,0,3,1,724.json,All-Title-Director-Genre-Stars-Tag-Plot-Baseline-Image-Date-SVD,All-Title-Director-Genre-Stars-Tag-Plot-Baseline-Image-Date-SVD,Director,550.json,2,0,0,0,0,0,6.13,0,5,0,0,0,0,0,0,1.6,0,3.8,98.03,375.11,TRUE,2,3,35,3,Male,2,5,1,5,1,5,1,4,5,5,3,82.5,1,4,5,5,5,4.6,4,5,4,4,,26,13,26,20,29,16,32,28,30,27,28,0,1,0,2,0,0,1,1,0,0,0
KFZAJKIVJNIHP,2020-10-07T11:12:34.703Z,1,FALSE,1907.json,All-Stars-SVD-Image-Plot-Tag-Title-Date-Director-Genre-Baseline,All-Stars-SVD-Image-Plot-Tag-Title-Date-Director-Genre-Baseline,All,1064.json,0,0,0,0,0,0,17.01,0,5,0,58559.json,Tag-SVD-Date-Stars-Baseline-Director-Image-Plot-Genre-All-Title,Tag-SVD-Date-Stars-Baseline-Director-Image-Plot-Genre-All-Title,Tag,33794.json,0,0,0,0,0,0,8.46,2,5,0,8972.json,Plot-Tag-All-Director-Genre-Stars-Date-Baseline-Image-SVD-Title,Plot-Tag-All-Director-Genre-Stars-Date-Baseline-Image-SVD-Title,Plot,45447.json,0,0,0,0,0,0,5.06,0,5,1,54001.json,Image-Baseline-Director-All-Plot-SVD-Date-Title-Genre-Stars-Tag,Image-Baseline-Director-All-Plot-SVD-Date-Title-Genre-Stars-Tag,Image,81834.json,0,0,0,0,0,0,3.4,0,5,0,5349.json,Director-Title-Genre-Tag-Date-Image-SVD-Baseline-Plot-Stars-All,Director-Title-Genre-Tag-Date-Image-SVD-Baseline-Plot-Stars-All,Director,8636.json,0,0,0,0,0,0,3.18,0,5,0,0,0,0,0,0,0.2,0,0,122.77,377.82,TRUE,1,7,26,2,Male,2,5,5,5,5,4,5,4,4,4,5,45,2,1,5,5,4,5,5,5,5,5,It was interesting.,24,34,22,23,31,27,18,25,19,23,29,1,0,1,1,0,0,1,0,1,0,0
KFZ7UTBL4K1N3,2020-10-07T09:55:43.108Z,1,FALSE,87222.json,Baseline-Director-Tag-Plot-Date-Stars-All-Genre-Title-SVD-Image,Baseline-Director-Tag-Plot-Date-Stars-All-Genre-Title-SVD-Image,Baseline,3365.json,0,0,0,0,0,0,14.46,2,5,1,67923.json,SVD-Title-Director-Genre-Stars-Tag-Baseline-Date-Plot-All-Image,SVD-Title-Director-Genre-Stars-Tag-Baseline-Date-Plot-All-Image,SVD,79695.json,0,0,0,0,0,0,11.75,1,4,4,45186.json,Title-SVD-All-Director-Tag-Plot-Baseline-Date-Genre-Image-Stars,Title-SVD-All-Director-Tag-Plot-Baseline-Date-Genre-Image-Stars,Title,5459.json,0,0,0,0,0,0,17.21,2,4,4,586.json,Tag-SVD-Image-All-Title-Genre-Plot-Director-Baseline-Date-Stars,Tag-SVD-Image-All-Title-Genre-Plot-Director-Baseline-Date-Stars,SVD,2953.json,1,0,0,0,0,0,11.13,1,5,0,1240.json,All-Tag-Date-Genre-Plot-Baseline-Image-Stars-Director-SVD-Title,All-Tag-Date-Genre-Plot-Baseline-Image-Stars-Director-SVD-Title,All,68791.json,0,0,0,0,0,0,8.74,1,5,3,0,0,0,0,0,2.4,0,0.2,101.98,379.37,TRUE,2,4,23,1,Male,2,4,2,4,5,4,4,5,3,4,4,57.5,5,4,5,5,5,4.6,5,3,4,5,The films are interesting ,20,23,37,26,26,36,21,29,12,20,25,1,1,0,0,0,0,0,0,0,2,1
KFZ975AHFH4IU,2020-10-07T10:33:22.962Z,1,FALSE,1527.json,Director-Title-Genre-Tag-Stars-Baseline-SVD-Plot-Date-All-Image,Director-Title-Genre-Tag-Stars-Baseline-SVD-Plot-Date-All-Image,Director,111360.json,0,0,0,0,0,0,73.92,0,4,3,3100.json,All-Plot-Date-Title-Genre-SVD-Director-Tag-Stars-Image-Baseline,All-Plot-Date-Title-Genre-SVD-Director-Tag-Stars-Image-Baseline,Plot,1124.json,1,0,0,0,0,0,12.78,0,4,1,102445.json,Baseline-Image-Date-Director-Title-Tag-SVD-All-Plot-Genre-Stars,Baseline-Image-Date-Director-Title-Tag-SVD-All-Plot-Genre-Stars,Baseline,64575.json,0,0,0,0,0,0,8.48,0,2,2,2628.json,Image-Genre-Baseline-SVD-Director-Stars-Date-All-Tag-Title-Plot,Image-Genre-Baseline-SVD-Director-Stars-Date-All-Tag-Title-Plot,Image,1210.json,0,0,0,0,0,0,18.88,0,4,3,4041.json,SVD-Image-All-Baseline-Genre-Title-Director-Stars-Date-Tag-Plot,SVD-Image-All-Baseline-Genre-Title-Director-Stars-Date-Tag-Plot,Image,1231.json,1,0,0,0,0,0,20.3,0,3,1,0,0,0,0,0,2,0,0.4,98.99,396.39,TRUE,2,1,55,5,Male,2,4,2,4,1,4,1,5,1,5,1,90,1,1,2,3,3,3.4,4,4,4,4,None,25,22,21,36,20,34,19,26,32,20,20,0,0,2,1,0,0,1,0,0,0,1
KFZA3ERBYRXWR,2020-10-07T10:58:30.036Z,1,FALSE,3578.json,Director-Plot-Baseline-Genre-Tag-Date-All-Stars-Title-Image-SVD,Director-Plot-Baseline-Genre-Tag-Date-All-Stars-Title-Image-SVD,Director,134130.json,0,0,0,0,0,0,30.36,0,5,0,68358.json,Title-Image-Genre-Plot-Baseline-Stars-Date-Tag-Director-All-SVD,Title-Image-Genre-Plot-Baseline-Stars-Date-Tag-Director-All-SVD,Plot,122882.json,3,0,0,0,0,0,14.89,0,5,0,329.json,SVD-Title-Genre-All-Plot-Date-Stars-Director-Tag-Baseline-Image,SVD-Title-Genre-All-Plot-Date-Stars-Director-Tag-Baseline-Image,SVD,1373.json,0,0,0,0,0,0,13.2,1,5,0,5944.json,SVD-Title-All-Genre-Plot-Baseline-Tag-Director-Stars-Image-Date,SVD-Title-All-Genre-Plot-Baseline-Tag-Director-Stars-Image-Date,Plot,2393.json,4,0,0,0,0,0,15.03,0,3,2,5620.json,All-Stars-Image-Date-Genre-Plot-Baseline-Title-SVD-Tag-Director,All-Stars-Image-Date-Genre-Plot-Baseline-Title-SVD-Tag-Director,Genre,4489.json,4,0,0,0,0,0,14.47,0,5,0,0,0,0,0,0,0.4,0,2.2,148.61,401.29,TRUE,1,2,44,3,Female,1,5,1,5,1,5,1,5,1,4,1,97.5,4,2,3,5,5,4.6,4,4,4,5,thanks,20,17,31,17,14,27,32,29,34,28,26,0,0,0,2,1,0,1,0,0,1,0
KFZ91EO05PUDU,2020-10-07T10:28:38.743Z,1,FALSE,104243.json,Plot-Director-Baseline-Genre-Image-Stars-SVD-Title-All-Tag-Date,Plot-Director-Baseline-Genre-Image-Stars-SVD-Title-All-Tag-Date,Baseline,2273.json,2,0,0,0,0,0,39.7,0,2,0,493.json,Stars-Plot-SVD-Title-All-Genre-Tag-Image-Director-Date-Baseline,Stars-Plot-SVD-Title-All-Genre-Tag-Image-Director-Date-Baseline,Stars,42.json,0,0,0,0,0,0,37.62,0,2,0,7438.json,Stars-SVD-Baseline-Genre-Director-Date-Title-Image-Plot-Tag-All,Stars-SVD-Baseline-Genre-Director-Date-Title-Image-Plot-Tag-All,SVD,6874.json,1,0,0,0,0,0,31.4,2,2,0,6888.json,All-Director-Baseline-SVD-Tag-Title-Stars-Image-Genre-Date-Plot,All-Director-Baseline-SVD-Tag-Title-Stars-Image-Genre-Date-Plot,Plot,61132.json,10,0,0,0,0,0,47.36,0,3,1,114180.json,Baseline-Director-All-Title-Tag-SVD-Genre-Date-Image-Plot-Stars,Baseline-Director-All-Title-Tag-SVD-Genre-Date-Image-Plot-Stars,Tag,56174.json,4,0,0,0,0,0,33.93,0,5,0,0,0,0,0,0,0.2,0,3.4,100.37,463.95,TRUE,1,1,22,1,Female,1,4,2,4,2,3,2,4,3,3,1,70,1,1,5,4,4,2.8,3,3,3,4,,24,24,33,28,25,21,15,40,32,17,16,0,0,0,1,0,1,0,0,1,1,1
