sessionName,time,condition,v_attention1,v_refMovie_1,v_preListOrder_1,v_postListOrder_1,v_listSelectedFrom1,v_movieSelected1,v_moviePosition1,v_clickCount1,v_dragCount1,v_moveDistanceA1,v_moveDistanceC1,v_moveDistanceD1,v_browsingTime1,v_zoomPressed1,q_outc_satisfactionScore1,c_movieInListPos1,v_refMovie_2,v_preListOrder_2,v_postListOrder_2,v_listSelectedFrom2,v_movieSelected2,v_moviePosition2,v_clickCount2,v_dragCount2,v_moveDistanceA2,v_moveDistanceC2,v_moveDistanceD2,v_browsingTime2,v_zoomPressed2,q_outc_satisfactionScore2,c_movieInListPos2,v_refMovie_3,v_preListOrder_3,v_postListOrder_3,v_listSelectedFrom3,v_movieSelected3,v_moviePosition3,v_clickCount3,v_dragCount3,v_moveDistanceA3,v_moveDistanceC3,v_moveDistanceD3,v_browsingTime3,v_zoomPressed3,q_outc_satisfactionScore3,c_movieInListPos3,v_refMovie_4,v_preListOrder_4,v_postListOrder_4,v_listSelectedFrom4,v_movieSelected4,v_moviePosition4,v_clickCount4,v_dragCount4,v_moveDistanceA4,v_moveDistanceC4,v_moveDistanceD4,v_browsingTime4,v_zoomPressed4,q_outc_satisfactionScore4,c_movieInListPos4,v_refMovie_5,v_preListOrder_5,v_postListOrder_5,v_listSelectedFrom5,v_movieSelected5,v_moviePosition5,v_clickCount5,v_dragCount5,v_moveDistanceA5,v_moveDistanceC5,v_moveDistanceD5,v_browsingTime5,v_zoomPressed5,q_outc_satisfactionScore5,c_movieInListPos5,c_moveDistanceAavg,c_moveDistanceCavg,c_moveDistanceDavg,c_clickCountAvg,c_dragCountAvg,c_movieInListPosAvg,c_preferecControl,c_moviePosAvg,v_surveyTime,v_totalTime,v_attention2,q_dem_onlineUsage,q_dem_movieUsage,q_dem_age,c_ageGroup,q_dem_gender,c_dem_genderCat,q_sys_freqUse,q_sys_complex,q_sys_easeUse,q_sys_techNeed,q_sys_funcInteg,q_sys_inconsist,q_sys_learnUse,q_sys_cumbUse,q_sys_confUse,q_sys_learnToUse,c_sys_SUS,q_proc_searchSim,q_proc_decidDiff,q_proc_recImprove,q_proc_control,q_proc_sorting,c_outc_listSatAvg,q_outc_diversity,q_outc_novelty,q_outc_serendipity,q_outc_relevance,q_comment,c_All_IndexAvg,c_Title_IndexAvg,c_Image_IndexAvg,c_Plot_IndexAvg,c_Genre_IndexAvg,c_Stars_IndexAvg,c_Director_IndexAvg,c_Date_IndexAvg,c_Tag_IndexAvg,c_SVD_IndexAvg,c_Baseline_IndexAvg,c_All_Picked,c_Title_Picked,c_Image_Picked,c_Plot_Picked,c_Genre_Picked,c_Stars_Picked,c_Director_Picked,c_Date_Picked,c_Tag_Picked,c_SVD_Picked,c_Baseline_Picked
KG0S612BV8BB1,2020-10-08T12:12:08.051Z,2,FALSE,2297.json,Stars-Plot-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Stars-Plot-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Stars,6796.json,0,0,0,0,0,0,86.6,2,4,1,4.json,Stars-Plot-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Stars-Plot-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Plot,3186.json,1,0,0,0,0,0,15.44,0,3,4,8972.json,Plot-Stars-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Plot-Stars-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Plot,45447.json,0,0,0,0,0,0,5.94,0,4,1,4247.json,Plot-Stars-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Plot-Stars-Title-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Title,5970.json,2,0,0,0,0,0,15.89,0,4,1,631.json,Title-Plot-Stars-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Title-Plot-Stars-Date-SVD-Director-Genre-Image-Tag-All-Baseline,Plot,4039.json,1,0,0,0,0,0,10.8,0,3,2,0,0,0,0,0,1.8,0,0.8,219.78,586.97,TRUE,1,4,34,2,Female,1,3,5,3,1,3,1,3,3,2,1,57.5,2,2,4,4,3,3.6,5,4,3,3,"I liked that it gave ideas for movies that part was nice, because sometimes recommendations are very helpful. But I thought the process of how to pick the movies might take a little time to catch on.",45,8,35,3,30,4,25,15,40,20,50,0,1,0,3,0,1,0,0,0,0,0
KG0S7NUN10ZFJ,2020-10-08T12:13:10.827Z,2,FALSE,316.json,Baseline-Image-Date-SVD-Stars-Genre-All-Title-Director-Plot-Tag,Baseline-Image-Date-SVD-Stars-Genre-All-Title-Director-Plot-Tag,Image,64497.json,1,0,0,0,0,0,14.83,0,4,0,2529.json,Image-Baseline-Date-SVD-Stars-Genre-All-Title-Director-Plot-Tag,Image-Baseline-Date-SVD-Stars-Genre-All-Title-Director-Plot-Tag,SVD,1129.json,3,0,0,0,0,0,17.75,0,5,3,1356.json,SVD-Image-Baseline-Date-Stars-Genre-All-Title-Director-Plot-Tag,SVD-Image-Baseline-Date-Stars-Genre-All-Title-Director-Plot-Tag,SVD,1374.json,0,0,0,0,0,0,17.38,0,5,3,99149.json,SVD-Image-Baseline-Date-Stars-Genre-All-Title-Director-Plot-Tag,SVD-Image-Baseline-Date-Stars-Genre-All-Title-Director-Plot-Tag,Director,41571.json,8,0,0,0,0,0,38.06,0,5,3,4085.json,Director-SVD-Image-Baseline-Date-Stars-Genre-All-Title-Plot-Tag,Director-SVD-Image-Baseline-Date-Stars-Genre-All-Title-Plot-Tag,Director,420.json,0,0,0,0,0,0,12.35,0,5,4,0,0,0,0,0,2.6,0,2.4,58.52,297.62,TRUE,2,2,52,4,Male,2,4,2,4,2,4,2,5,2,4,1,80,2,2,4,4,4,4.8,4,4,4,3,"It was fun, lots of good reco's",31,36,5,45,26,21,32,14,50,7,8,0,0,1,0,0,0,2,0,0,2,0
KG0S6LKR163VM,2020-10-08T12:13:29.614Z,2,FALSE,2153.json,Image-SVD-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,Image-SVD-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,SVD,3113.json,1,0,0,0,0,0,21.69,0,4,2,4223.json,SVD-Image-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,SVD-Image-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,Image,2000.json,1,0,0,0,0,0,9.37,0,5,2,3821.json,Image-SVD-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,Image-SVD-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,SVD,3968.json,1,0,0,0,0,0,11.82,0,3,4,2529.json,SVD-Image-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,SVD-Image-Baseline-Director-Title-Date-Plot-Genre-Stars-Tag-All,Baseline,1301.json,2,0,0,0,0,0,22.53,0,4,3,1275.json,Baseline-SVD-Image-Director-Title-Date-Plot-Genre-Stars-Tag-All,Baseline-SVD-Image-Director-Title-Date-Plot-Genre-Stars-Tag-All,SVD,1587.json,1,0,0,0,0,0,8.85,0,5,0,0,0,0,0,0,2.2,0,1.2,67.34,347.51,TRUE,1,4,53,4,Male,2,5,1,4,1,4,1,4,1,4,1,90,2,1,4,4,4,4.2,4,4,4,4,,50,20,4,30,35,40,15,25,45,3,8,0,0,1,0,0,0,0,0,0,3,1
KG0S3UJ1U31QG,2020-10-08T12:14:44.208Z,2,FALSE,3421.json,Baseline-SVD-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,Baseline-SVD-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD,3552.json,1,0,0,0,0,0,142.9,3,5,0,2791.json,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD,2109.json,0,0,0,0,0,0,21.07,0,5,1,2953.json,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD,2082.json,0,0,0,0,0,0,20.35,0,5,0,79132.json,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD,134130.json,0,0,0,0,0,0,20.61,0,5,4,1194.json,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD-Baseline-Genre-Director-All-Title-Tag-Stars-Image-Plot-Date,SVD,2109.json,0,0,0,0,0,0,9.69,0,5,3,0,0,0,0,0,1.6,0,0.2,423.23,1210.03,TRUE,1,2,38,3,Male,2,4,3,1,3,4,4,2,5,3,1,45,4,5,3,3,2,5,4,3,3,3,The interface could use some redsigning ,20,25,40,45,10,35,15,50,30,1,4,0,0,0,0,0,0,0,0,0,5,0
KG0S9QYFPDYBV,2020-10-08T12:15:00.834Z,2,FALSE,5872.json,Date-Plot-SVD-Baseline-All-Stars-Image-Tag-Genre-Director-Title,Date-Plot-SVD-Baseline-All-Stars-Image-Tag-Genre-Director-Title,Plot,49278.json,1,0,0,0,0,0,68.69,2,5,3,112171.json,Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Director-Title,Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Director-Title,Director,79695.json,9,0,0,0,0,0,18.7,0,5,1,2735.json,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Director,9.json,0,0,0,0,0,0,15.1,0,5,2,6548.json,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Director,4701.json,0,0,0,0,0,0,5.47,0,5,3,349.json,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Director-Plot-Date-SVD-Baseline-All-Stars-Image-Tag-Genre-Title,Plot,1687.json,1,0,0,0,0,0,11.02,0,5,0,0,0,0,0,0,1.8,0,2.2,127.22,437.98,TRUE,2,3,42,3,Female,1,5,1,5,1,5,1,5,1,5,1,100,1,1,5,5,5,5,5,5,5,5,,23,50,33,4,43,28,18,7,38,13,18,0,0,0,2,0,0,3,0,0,0,0
KG0SAPAK34HKO,2020-10-08T12:15:30.602Z,2,FALSE,106782.json,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,Stars,62374.json,1,0,0,0,0,0,35.38,0,5,2,31685.json,Stars-SVD-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,Stars-SVD-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,SVD,69406.json,1,0,0,0,0,0,4.04,0,3,3,2268.json,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,Stars,53129.json,1,0,0,0,0,0,4.97,0,5,1,5816.json,Stars-SVD-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,Stars-SVD-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,SVD,54001.json,1,0,0,0,0,0,5.37,0,5,3,4369.json,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,SVD-Stars-Date-Genre-Baseline-All-Director-Plot-Title-Image-Tag,Director,5507.json,6,0,0,0,0,0,5.78,0,5,0,0,0,0,0,0,1.8,0,2,72.58,222.19,TRUE,1,2,41,3,Male,2,5,2,5,2,4,2,5,2,4,2,82.5,2,1,5,4,4,4.6,4,4,5,4,,25,40,45,35,15,3,30,10,50,2,20,0,0,0,0,0,2,1,0,0,2,0
KG0S9TJIRHEUP,2020-10-08T12:16:23.706Z,2,FALSE,2841.json,Baseline-Tag-SVD-Genre-Title-All-Director-Date-Plot-Image-Stars,Baseline-Tag-SVD-Genre-Title-All-Director-Date-Plot-Image-Stars,Genre,2719.json,3,0,0,0,0,0,94.02,0,3,4,152077.json,Genre-Baseline-Tag-SVD-Title-All-Director-Date-Plot-Image-Stars,Genre-Baseline-Tag-SVD-Title-All-Director-Date-Plot-Image-Stars,Director,4643.json,6,0,0,0,0,0,45.09,0,3,3,260.json,Director-Genre-Baseline-Tag-SVD-Title-All-Date-Plot-Image-Stars,Director-Genre-Baseline-Tag-SVD-Title-All-Date-Plot-Image-Stars,Tag,1210.json,3,0,0,0,0,0,14.33,0,4,1,3489.json,Tag-Director-Genre-Baseline-SVD-Title-All-Date-Plot-Image-Stars,Tag-Director-Genre-Baseline-SVD-Title-All-Date-Plot-Image-Stars,Tag,118696.json,0,0,0,0,0,0,18.02,0,4,4,2717.json,Tag-Director-Genre-Baseline-SVD-Title-All-Date-Plot-Image-Stars,Tag-Director-Genre-Baseline-SVD-Title-All-Date-Plot-Image-Stars,Genre,2174.json,2,0,0,0,0,0,20.76,0,5,2,0,0,0,0,0,2.8,0,2.8,79.89,605.33,TRUE,3,1,57,5,Female,1,2,4,3,2,3,3,2,3,3,4,42.5,3,4,3,2,3,3.8,5,4,3,3,I hope I did this correctly. I tried my best.,28,23,45,40,8,50,14,35,6,17,9,0,0,0,0,2,0,1,0,2,0,0
KG0SC7RLE1MTP,2020-10-08T12:17:12.127Z,2,FALSE,1213.json,Baseline-SVD-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,Baseline-SVD-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD,1222.json,1,0,0,0,0,0,28.7,1,5,4,553.json,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD,266.json,0,0,0,0,0,0,4.22,0,4,2,68358.json,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD,122904.json,0,0,0,0,0,0,3.16,0,4,2,1584.json,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,SVD-Baseline-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,Baseline,1438.json,1,0,0,0,0,0,6.6,0,5,0,3489.json,Baseline-SVD-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,Baseline-SVD-All-Title-Genre-Stars-Date-Image-Tag-Plot-Director,Baseline,1726.json,0,0,0,0,0,0,3.64,0,5,1,0,0,0,0,0,1.8,0,0.4,70.55,219.26,FALSE,1,3,36,3,Male,2,4,1,4,5,5,1,5,1,4,5,72.5,5,4,3,4,5,4.6,5,4,5,5,thanks!,10,15,35,45,20,25,50,30,40,2,3,0,0,0,0,0,0,0,0,0,3,2
KG0SEPMW4CQIU,2020-10-08T12:19:04.396Z,2,FALSE,8949.json,All-Plot-Stars-Baseline-SVD-Title-Date-Image-Genre-Tag-Director,All-Plot-Stars-Baseline-SVD-Title-Date-Image-Genre-Tag-Director,SVD,40278.json,4,0,0,0,0,0,119.95,1,1,4,119141.json,SVD-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag-Director,SVD-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag-Director,Director,69122.json,10,0,0,0,0,0,63.34,1,4,0,4041.json,Director-SVD-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag,Director-SVD-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag,SVD,3791.json,1,0,0,0,0,0,59.26,1,2,2,1101.json,SVD-Director-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag,SVD-Director-All-Plot-Stars-Baseline-Title-Date-Image-Genre-Tag,Stars,2268.json,4,0,0,0,0,0,30.23,1,3,3,912.json,Stars-SVD-Director-All-Plot-Baseline-Title-Date-Image-Genre-Tag,Stars-SVD-Director-All-Plot-Baseline-Title-Date-Image-Genre-Tag,Plot,73.json,4,0,0,0,0,0,47.89,1,2,3,0,0,0,0,0,2.4,0,4.6,129.11,693.25,TRUE,2,2,45,4,Female,1,3,2,4,1,3,4,5,2,5,1,75,4,4,2,1,2,2.4,3,4,2,2,I don't know exactly how helpful I would find this. It seemed more random than anything. ,8,28,38,13,43,13,23,33,48,6,22,0,0,0,1,0,1,1,0,0,2,0
KG0SFUETB6EX1,2020-10-08T12:19:30.004Z,2,FALSE,1270.json,SVD-Stars-All-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,SVD-Stars-All-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,SVD,2918.json,0,0,0,0,0,0,69.7,2,3,1,318.json,SVD-Stars-All-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,SVD-Stars-All-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,All,1276.json,2,0,0,0,0,0,19.07,0,3,4,51255.json,All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,All,58998.json,0,0,0,0,0,0,18.83,0,2,2,8636.json,All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date-Tag,Tag,112852.json,10,0,0,0,0,0,22.57,0,2,4,102125.json,Tag-All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date,Tag-All-SVD-Stars-Image-Plot-Director-Baseline-Title-Genre-Date,All,122900.json,1,0,0,0,0,0,6.37,0,4,2,0,0,0,0,0,2.6,0,2.6,74.75,355.35,TRUE,2,1,36,3,Male,2,2,2,4,1,3,4,3,2,3,1,62.5,3,2,2,2,3,2.8,4,2,2,2,,5,36,16,21,41,9,26,46,40,4,31,3,0,0,0,0,0,0,0,1,1,0
